Plot ID,   PPW1343,Date,20190606,,Samplers,"TT, MO, MK, GH",,
Notes,ORIGINAL CORNER TAG,,,,,,,
Hobos downloaded? ,,Old Hobo:,1,New Hobo:,1,Tennis Balls,1,Photo
GPS Coordinates - Plot Corners,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,
UTM-E:,,UTM-E:,,UTM-E:,,,UTM-E:,
UTM-N:,,UTM-N:,,UTM-N:,,,UTM-N:,
Pictures? (check if complete),,,Slope,,,Aspect ,,
Quads Completed: ,,,,,,,,
,Start Tag: ,,End Tag:,,,,,
Soil Depth (cm),,,,,,,,
B2SW-,"N5, E9, S0, W5",B4SW-,"N3, E3, S0, W5",D2SW-,"N2, E8, S6, W3",,D4SW-,"N5, E2, S1, W6"
C3SW(center)- ,"N7, E3, S1, W2",,,,,,,
Enviromental Notes: ,,COUNTS OPEN,,,,,,
,,,,,,,,
,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes
A1,0,10,5,10,25,50,100,
A2,0,15,0,25,25,35,100,
A3,0,15,0,35,20,30,100,
A4,0,5,0,40,35,20,100,
B1,0,5,0,15,25,55,100,
B2,0,10,0,20,20,50,100,
B3,0,2,0,15,18,65,100,
B4,0,15,0,55,25,15,110,
C1,0,0,0,10,20,70,100,
C2,0,2,0,18,25,55,100,
C3,0,8,0,17,25,55,105,
C4,0,20,0,30,20,30,100,
D1,0,2,0,3,25,70,100,
D2,0,6,0,8,20,66,100,
D3,0,10,0,20,20,50,100,
D4,0,35,0,25,25,15,100,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
