Plot ID,   PPW1341,Date,20190604,,Samplers,"MK, MO, TT, GH",,
Notes,"TONS OF THISTLE, RESPROUTS BROWSED (DEER), ORIGINAL CORNER TAG",,,,,,,
Hobos downloaded? ,,Old Hobo:,NA,New Hobo:,NA,Tennis Balls,1,Photo
GPS Coordinates - Plot Corners,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,
UTM-E:,,UTM-E:,,UTM-E:,,,UTM-E:,
UTM-N:,,UTM-N:,,UTM-N:,,,UTM-N:,
Pictures? (check if complete),,,Slope,,,Aspect ,,
Quads Completed: ,,,,,,,,
,Start Tag: ,,End Tag:,,,,,
Soil Depth (cm),,,,,,,,
B2SW-,"S42, W24, N38, E28",B4SW-,"S52, W44, N30, E33",D2SW-,"S43, W31, N11, E49",,D4SW-,"S25, W43, N13, E31"
C3SW(center)- ,"S36, W54, N22, E20",,,,,,,
Enviromental Notes: ,,ALL COUNTS OPEN,,,,,,
,,,,,,,,
,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes
A1,0,10,2,3,50,35,100,"""1"" TRANSCRIBED IN QUAD SECTION"
A2,0,10,0,5,70,15,100,"""1"" TRANSCRIBED IN QUAD SECTION"
A3,0,15,1,4,45,35,100,
A4,0,3,2,5,55,35,100,"""1"" TRANSCRIBED IN QUAD SECTION"
B1,0,2,0,0,58,40,100,
B2,0,2,0,3,50,45,100,
B3,0,0,1,7,70,22,100,
B4,0,15,2,8,45,30,100,"""5?"" & ""1"" TRANSCRIBED IN QUAD SECTION"
C1,0,4,1,5,50,40,100,
C2,0,10,1,5,50,34,100,
C3,0,5,0,5,70,20,100,
C4,0,15,0,20,35,30,100,"""1"" TRANSCRIBED IN QUAD SECTION "
D1,0,3,2,5,60,30,100,"""1"" TRANSCRIBED IN QUAD SECTION "
D2,0,5,0,5,45,45,100,"""1"" TRANSCRIBED IN QUAD SECTION "
D3,0,12,3,10,40,35,100,"""1"" TRANSCRIBED IN QUAD SECTION "
D4,0,20,0,20,25,25,90,"""1"" TRANSCRIBED IN QUAD SECTION, TOTAL MISCALCULATED IN ORIGINAL DATA "
,,,,,,,,
,,,,,,,,
