Plot ID,   PPW1311,Date,20190613,,Samplers,"MO, TT, GH",,
Notes,NO OLD HOBO,,,,,,,
Hobos downloaded? ,,Old Hobo:,0,New Hobo:,1,Tennis Balls,1,Photo
GPS Coordinates - Plot Corners,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,
UTM-E:,,UTM-E:,,UTM-E:,,,UTM-E:,
UTM-N:,,UTM-N:,,UTM-N:,,,UTM-N:,
Pictures? (check if complete),,,Slope,,,Aspect ,,
Quads Completed: ,,,,,,,,
,Start Tag: ,,End Tag:,,,,,
Soil Depth (cm),,,,,,,,
B2SW-,"N77, E93,S96, W15",B4SW-,"N31,E87, E92, W44",D2SW-,"N64, E80, S83, W84",,D4SW-,"N62, E84,S46, W60"
C3SW(center)- ,"N81, E93, S96, W55",,,,,,,
Enviromental Notes: ,,COUNTING CLOSED ON CANOPY,,,,,,
,,,,,,,,
,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes
A1,0,0,0,1,91,8,100,
A2,0,3,0,0,82,15,100,
A3,0,0,0,0,80,20,100,
A4,0,0,0,0,88,12,100,
B1,0,0,0,0,75,25,100,
B2,0,0,0,1,64,35,100,
B3,0,2,0,1,70,27,100,
B4,0,0,0,0,75,25,100,
C1,0,2,0,0,73,25,100,
C2,0,0,0,5,75,20,100,
C3,0,0,0,1,75,24,100,
C4,0,4,1,1,75,19,100,
D1,0,0,0,1,90,9,100,
D2,0,0,2,0,80,18,100,
D3,0,0,0,0,85,15,100,
D4,0,2,0,0,85,13,100,
