Plot ID,   PPW1329,Date,20190624,,Samplers,NA,,
Notes,OLD HOBO FAILED TO READOUT/ NEW HOBO NOT SHOWING ON TABLET- CANNOT CONNECT? READOUT? BATTERY DEAD?/ ORIGINAL CORENER TAG,,,,,,,
Hobos downloaded? ,,Old Hobo:,0,New Hobo:,0,Tennis Balls,0,Photo
GPS Coordinates - Plot Corners,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,
UTM-E:,,UTM-E:,,UTM-E:,,,UTM-E:,
UTM-N:,,UTM-N:,,UTM-N:,,,UTM-N:,
Pictures? (check if complete),,,Slope,,,Aspect ,,
Quads Completed: ,,,,,,,,
,Start Tag: ,,End Tag:,,,,,
Soil Depth (cm),,,,,,,,
B2SW-,"N15, E5, S3, W2",B4SW-,"N16, E8, S0, W15",D2SW-,"N12, E18, S16, W11",,D4SW-,"N15, E7, S11, W22"
C3SW(center)- ,"N19, E22, S8, W7",,,,,,,
Enviromental Notes: ,,COUNTS OPEN,,,,,,
,,,,,,,,
,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes
A1,0,20,0,5,35,40,100,
A2,0,15,0,7,30,48,100,
A3,0,2,15,3,35,45,100,
A4,0,10,10,5,40,35,100,
B1,0,5,0,1,25,75,106,
B2,15,0,15,1,25,44,100,
B3,0,5,10,0,30,55,100,
B4,5,10,10,0,25,50,100,
C1,2,2,10,1,15,70,100,
C2,5,2,20,3,15,55,100,
C3,0,2,2,1,25,70,100,
C4,2,10,0,3,35,50,100,
D1,5,15,20,5,20,35,100,
D2,0,10,0,10,25,55,100,
D3,0,15,0,2,45,38,100,
D4,0,20,8,2,30,40,100,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
