Plot ID,   PPW1342,Date,20180731,,Samplers,"MK,MO,KO,AC",,
Notes,,,,,,,,
Hobos downloaded? ,,Old Hobo:,Y,New Hobo:,Y,,,
GPS Coordinates - Plot Corners,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,
UTM-E:,,UTM-E:,,UTM-E:,,,UTM-E:,
UTM-N:,,UTM-N:,,UTM-N:,,,UTM-N:,
Pictures? (check if complete),,,Slope,,,Aspect ,,
Quads Completed: ,,,,,,,,
,Start Tag: ,,End Tag:,,,,,
Soil Depth (cm),,,,,,,,
B2SW-,"S12,E14,N10,W9",B4SW-,"S5,E4,N18,W18",D2SW-,"S5,W15,N9,E1",,D4SW-,"S9,E6,N6,W12"
C3SW(center)- ,"S11,E13,N8,W37",,,,,,,
Enviromental Notes: ,,canopy cover counts are closed- subtract above values from 96,,,,,,
,,,,,,,,
,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes
A1,0,62,0,10,18,10,100,
A2,0,59,0,12,17,12,100,
A3,0,58,0,10,22,10,100,
A4,0,57,0,10,18,15,100,
B1,0,60,0,10,20,10,100,
B2,0,60,0,10,20,10,100,
B3,0,62,0,8,20,10,100,
B4,0,50,0,5,30,15,100,
C1,0,50,0,5,25,20,100,
C2,0,45,0,5,30,20,100,
C3,0,45,0,5,30,20,100,
C4,0,40,0,5,45,20,110,
D1,0,30,0,5,45,20,100,
D2,0,35,0,5,35,25,100,
D3,0,45,0,5,35,15,100,
D4,0,40,0,5,40,15,100,
