Plot ID,   PPW1316,Date,20180703,,Samplers,"MO,MK,AC,KO",,
Notes,THISTLE & STEEP,,,,,,,
Hobos downloaded? ,,Old Hobo:,YES,New Hobo:,YES,,,
GPS Coordinates - Plot Corners,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,
UTM-E:,,UTM-E:,,UTM-E:,,,UTM-E:,
UTM-N:,,UTM-N:,,UTM-N:,,,UTM-N:,
Pictures? (check if complete),,,Slope,,,Aspect ,,
Quads Completed: ,,,,,,,,
,Start Tag: ,,End Tag:,,,,,
Soil Depth (cm),,,,,,,,
B2SW-,"S34,W20,N25,E9",B4SW-,,D2SW-,"N29,W10,E18,S14",,D4SW-,"N7,W23,S20,E3"
C3SW(center)- ,"N17,W11,S15,E10",,,,,,,
Enviromental Notes: ,,,,,,,,
,,,,,,,,
,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes
A1,0,40,0,15,20,25,100,
A2,0,30,0,15,30,25,100,
A3,0,20,0,10,30,40,100,
A4,0,25,0,10,38,27,100,
B1,0,15,0,5,40,40,100,
B2,0,20,2,8,35,35,100,
B3,0,15,0,10,40,35,100,
B4,0,10,0,5,35,50,100,
C1,0,8,0,7,45,40,100,
C2,0,20,2,13,35,30,100,
C3,0,35,0,10,35,20,100,
C4,0,20,0,7,35,38,100,
D1,0,15,0,10,45,30,100,
D2,0,15,0,10,42,33,100,
D3,0,20,0,15,30,35,100,
D4,0,20,0,15,32,33,100,
