Plot ID,   PPW1853,Date,20180814,,Samplers,"MK,MO,DK,AC,KO",,
Notes,,,,,,,,
Hobos downloaded? ,,Old Hobo:,,New Hobo:,LAUNCHED,,,
GPS Coordinates - Plot Corners,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,
UTM-E:,4269624,UTM-E:,4269642,UTM-E:,4269635,,UTM-E:,4269618
UTM-N:,527387,UTM-N:,527393,UTM-N:,527410,,UTM-N:,527404
Pictures? (check if complete),,,Slope,30,,Aspect ,80,
Quads Completed: ,,,,,,,,
,Start Tag: ,,End Tag:,,,,,
Soil Depth (cm),,,,,,,,
B2SW-,"W46,N11,E5,S11",B4SW-,"W30,N22,E6,S14",D2SW-,"W38,N22,E10,S7",,D4SW-,"W21,N19,E3,S18"
C3SW(center)- ,"W44,S13,E13,N18",,,,,,,
Enviromental Notes: ,,canopy cover counts are closed- subtract above values from 96,,,,,,
,,,,,,,,
,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes
A1,0,35,3,19,40,3,100,
A2,0,43,1,20,32,4,100,
A3,0,40,2,20,35,3,100,
A4,0,50,2,19,25,4,100,
B1,0,40,4,22,30,4,100,
B2,0,55,2,22,18,3,100,
B3,0,60,0,18,18,4,100,
B4,0,45,2,20,30,3,100,
C1,0,45,3,22,25,5,100,
C2,0,52,4,18,22,4,100,
C3,0,35,3,17,40,5,100,
C4,0,40,2,18,35,5,100,
D1,0,52,2,23,18,5,100,
D2,0,40,1,19,35,5,100,
D3,0,25,3,22,45,5,100,
D4,0,45,3,22,25,5,100,
