Plot ID,1340,Date,20180720,,Samplers,"AC,MO,MK,KO",,
Notes,,,,,,,,
Hobos downloaded? ,,Old Hobo:,YES,New Hobo:,YES,,,
GPS Coordinates - Plot Corners,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,
UTM-E:,,UTM-E:,,UTM-E:,,,UTM-E:,
UTM-N:,,UTM-N:,,UTM-N:,,,UTM-N:,
Pictures? (check if complete),,,Slope,,,Aspect ,,
Quads Completed: ,,,,,,,,
,Start Tag: ,,End Tag:,,,,,
Soil Depth (cm),,,,,,,,
B2SW-,"W8,S10,E15,N34",B4SW-,"W5,S12,E21,N24",D2SW-,"W11,S10,E15,N23",,D4SW-,"W25,S17,E33,N33"
C3SW(center)- ,"W20,S4,E10,N13",,,,,,,
Enviromental Notes: ,,,,,,,,
,,,,,,,,
,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes
A1,0,35,0,5,25,35,100,
A2,0,25,0,5,45,25,100,
A3,0,20,0,5,35,45,100,
A4,0,15,0,10,45,30,100,
B1,0,25,0,5,30,30,100,
B2,0,45,0,5,20,30,100,
B3,0,23,2,5,45,25,100,
B4,0,25,3,12,25,35,100,
C1,0,35,1,5,14,45,100,
C2,0,25,0,5,35,35,100,
C3,0,10,1,5,54,30,100,
C4,0,10,10,5,40,35,100,
D1,0,20,0,5,25,50,100,
D2,0,20,0,5,25,50,100,
D3,0,13,3,4,50,30,100,
D4,0,27,3,5,30,35,100,
