Plot ID,   PPW1347,Date,20180806,,Samplers,"MK,DK,MO,AC",,
Notes,,,,,,,,
Hobos downloaded? ,,Old Hobo:,YES,New Hobo:,YES,,,
GPS Coordinates - Plot Corners,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,
UTM-E:,,UTM-E:,,UTM-E:,,,UTM-E:,
UTM-N:,,UTM-N:,,UTM-N:,,,UTM-N:,
Pictures? (check if complete),,,Slope,,,Aspect ,,
Quads Completed: ,,,,,,,,
,Start Tag: ,,End Tag:,,,,,
Soil Depth (cm),,,,,,,,
B2SW-,"S3,W14,N6,E3",B4SW-,"S0,W1,N14,E12",D2SW-,"S7,W6,N22,E16",,D4SW-,"S2,W4,N20,E5"
C3SW(center)- ,"S2,W4,N24,E2",,,,,,,
Enviromental Notes: ,,,,,,,,
,,,,,,,,
,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes
A1,0,20,0,18,20,42,100,
A2,0,19,1,15,20,45,100,
A3,0,20,0,20,15,45,100,
A4,0,5,0,20,45,30,100,
B1,0,15,0,20,20,45,100,
B2,0,5,0,20,35,40,100,
B3,0,14,1,17,28,40,100,
B4,0,5,2,23,20,50,100,
C1,0,15,0,18,30,37,100,
C2,0,15,0,10,35,40,100,
C3,0,20,0,10,35,35,100,
C4,0,10,0,15,35,40,100,
D1,0,23,2,5,40,30,100,
D2,0,10,0,10,45,35,100,
D3,0,20,0,5,40,35,100,
D4,0,10,0,10,40,40,100,
