Plot ID,   PPW1343,Date,20180626,,Samplers,"MK,MO,KO,AC",,
Notes,,,,,,,,
Hobos downloaded? ,,Old Hobo:,Y,New Hobo:,Y,,,
GPS Coordinates - Plot Corners,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,
UTM-E:,,UTM-E:,,UTM-E:,,,UTM-E:,
UTM-N:,,UTM-N:,,UTM-N:,,,UTM-N:,
Pictures? (check if complete),,,Slope,,,Aspect ,,
Quads Completed: ,,,,,,,,
,Start Tag: ,,End Tag:,,,,,
Soil Depth (cm),,,,,,,,
B2SW-,"N6,WS,SE,E6",B4SW-,"N3,E2,S0,W2",D2SW-,"N0,W8,S4,E4",,D4SW-,"E2,N2,W6,S3"
C3SW(center)- ,"N8,E6,S2,W4",,,,,,,
Enviromental Notes: ,,,,,,,,
,,,,,,,,
,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes
A1,0,15,0,15,10,60,100,
A2,0,20,0,25,5,50,100,
A3,0,20,0,30,5,45,100,
A4,0,20,0,40,5,35,100,
B1,0,20,0,30,5,45,100,
B2,0,20,0,35,5,40,100,
B3,0,15,0,30,5,50,100,
B4,0,25,0,50,5,20,100,
C1,0,20,0,35,15,30,100,
C2,0,15,0,25,5,55,100,
C3,0,15,0,35,5,45,100,
C4,0,15,0,30,10,45,100,
D1,0,25,0,35,10,30,100,
D2,0,25,0,35,5,35,100,
D3,0,10,0,20,5,65,100,
D4,0,15,0,30,5,50,100,
