Plot ID,   PPW1854,Date,20180810,,Samplers,"MK,DK,MO,AC",,
Notes,,,,,,,,
Hobos downloaded? ,,Old Hobo:,,New Hobo:,launched,,,
GPS Coordinates - Plot Corners,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,
UTM-E:,4269508,UTM-E:,4269528,UTM-E:,4269537,,UTM-E:,4269523
UTM-N:,527310,UTM-N:,527304,UTM-N:,527319,,UTM-N:,527327
Pictures? (check if complete),,,Slope,35,,Aspect ,130,
Quads Completed: ,,,,,,,,
,Start Tag: ,,End Tag:,,,,,
Soil Depth (cm),,,,,,,,
B2SW-,"S4,E7,N10,W4",B4SW-,"S7,E21,N15,W16",D2SW-,"E3,S6,N3,W4",,D4SW-,"S6,E6,N22,W4"
C3SW(center)- ,"S4,E14,N26,W6",,,,,,,
Enviromental Notes: ,,CANOPY COVER COUNTS; CLOSED CANOPY,,,,,,
,,,,,,,,
,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes
A1,0,50,5,13,22,10,100,
A2,0,43,3,17,27,10,100,
A3,0,60,14,16,10,10,110,
A4,0,45,10,15,25,5,100,
B1,0,49,3,10,28,5,95,
B2,0,50,4,18,18,10,100,
B3,0,50,8,17,20,5,100,
B4,6,45,8,16,20,5,100,
C1,0,60,3,10,25,2,100,
C2,4,60,6,10,10,10,100,
C3,0,45,10,15,25,5,100,
C4,6,42,10,17,20,5,100,
D1,2,58,5,12,18,5,100,
D2,15,40,10,12,15,3,95,
D3,0,47,12,18,18,5,100,
D4,6,40,12,17,20,5,100,
