Plot ID,   PPW1329,Date,20180702,,Samplers,"MK,KO,MO,AC",,
Notes,D4SW - W COORDINATE MISSING ,,,,,,,
Hobos downloaded? ,,Old Hobo:,YES,New Hobo:,YES,,,
GPS Coordinates - Plot Corners,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,
UTM-E:,,UTM-E:,,UTM-E:,,,UTM-E:,
UTM-N:,,UTM-N:,,UTM-N:,,,UTM-N:,
Pictures? (check if complete),,,Slope,,,Aspect ,,
Quads Completed: ,,,,,,,,
,Start Tag: ,,End Tag:,,,,,
Soil Depth (cm),,,,,,,,
B2SW-,"W14,N32,E3,S13",B4SW-,"S8,W16,N9,E9",D2SW-,"W10,N11,E7,S14",,D4SW-,"S12,E6,N14,W"
C3SW(center)- ,"S6,W10,N36,E12",,,,,,,
Enviromental Notes: ,,,,,,,,
,,,,,,,,
,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes
A1,0,30,0,5,25,40,100,
A2,0,15,3,2,35,45,100,
A3,0,15,5,5,35,40,100,
A4,0,25,10,0,20,45,100,
B1,0,25,0,5,30,40,100,
B2,0,12,20,5,25,38,100,
B3,0,12,10,3,30,45,100,
B4,0,14,6,5,30,45,100,
C1,0,20,10,0,20,50,100,
C2,0,20,15,0,15,50,100,
C3,0,20,5,5,30,40,100,
C4,0,15,3,2,40,40,100,
D1,0,20,25,0,20,35,100,
D2,0,25,3,2,40,30,100,
D3,0,20,3,2,30,45,100,
D4,0,25,5,5,35,30,100,
