Plot ID,   PPW1323,Date,20180627,,Samplers,"AC,MK,KO,MO",,
Notes,,,,,,,,
Hobos downloaded? ,,Old Hobo:,YES,New Hobo:,YES,,,
GPS Coordinates - Plot Corners,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,
UTM-E:,,UTM-E:,,UTM-E:,,,UTM-E:,
UTM-N:,,UTM-N:,,UTM-N:,,,UTM-N:,
Pictures? (check if complete),,,Slope,,,Aspect ,,
Quads Completed: ,,,,,,,,
,Start Tag: ,,End Tag:,,,,,
Soil Depth (cm),,,,,,,,
B2SW-,"W4,N2,E6,S4",B4SW-,W1 N19 E12 S8,D2SW-,"E18,S4,W8,N10",,D4SW-,"N8,W9,S0,E16"
C3SW(center)- ,"N22,W11,S4,E3",,,,,,,
Enviromental Notes: ,,NA,,,,,,
,,,,,,,,
,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes
A1,0,10,5,10,25,50,100,
A2,0,20,5,5,35,35,100,
A3,0,20,5,10,30,35,100,
A4,0,15,0,20,25,40,100,
B1,0,30,2,5,18,45,100,
B2,0,25,10,0,25,40,100,
B3,0,25,5,2,20,35,100,
B4,0,30,0,10,25,35,100,
C1,0,20,5,5,25,45,100,
C2,0,20,15,0,25,40,100,
C3,0,25,5,5,25,40,100,
C4,0,20,0,5,40,35,100,
D1,0,25,8,15,22,30,100,
D2,0,20,15,5,30,30,100,
D3,0,25,5,7,28,35,100,
D4,0,15,5,5,40,30,100,
