Plot ID,   PPW1335,Date,20180716,,Samplers,"MK,KO,AC,MO",,
Notes,,,,,,,,
Hobos downloaded? ,,Old Hobo:,YES,New Hobo:,YES,,,
GPS Coordinates - Plot Corners,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,
UTM-E:,,UTM-E:,,UTM-E:,,,UTM-E:,
UTM-N:,,UTM-N:,,UTM-N:,,,UTM-N:,
Pictures? (check if complete),,,Slope,,,Aspect ,,
Quads Completed: ,,,,,,,,
,Start Tag: ,,End Tag:,,,,,
Soil Depth (cm),,,,,,,,
B2SW-,"N15,E16,S6,W17",B4SW-,"W40,N28,E9,S4",D2SW-,"S3,E9,N7,W5",,D4SW-,"N12,E25,S1,W29"
C3SW(center)- ,"N13,E7,S8,W19",,,,,,,
Enviromental Notes: ,,,,,,,,
,,,,,,,,
,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes
A1,0,15,0,5,50,30,100,
A2,0,10,0,5,45,45,105,
A3,0,5,0,5,35,55,100,
A4,0,10,0,5,25,60,100,
B1,0,14,1,5,45,35,100,
B2,0,15,0,5,40,40,100,
B3,0,15,0,5,35,45,100,
B4,0,15,0,5,20,60,100,
C1,0,23,2,5,35,35,100,
C2,0,20,0,5,20,55,100,
C3,0,20,0,5,25,50,100,
C4,0,20,0,5,35,40,100,
D1,0,25,0,15,20,40,100,
D2,0,30,0,13,15,42,100,
D3,0,30,0,5,25,40,100,
D4,0,35,0,5,25,35,100,
