Plot ID,   PPW1304,Date,20180723,,Samplers,"KO,MK,MO,AC",,
Notes,,,,,,,,
Hobos downloaded? ,,Old Hobo:,Not Present,New Hobo:,Yes,,,
GPS Coordinates - Plot Corners,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,
UTM-E:,,UTM-E:,,UTM-E:,,,UTM-E:,
UTM-N:,,UTM-N:,,UTM-N:,,,UTM-N:,
Pictures? (check if complete),,,Slope,,,Aspect ,,
Quads Completed: ,,,,,,,,
,Start Tag: ,,End Tag:,,,,,
Soil Depth (cm),,,,,,,,
B2SW-,"N28, E43, S34, W76",B4SW-,"S28, W18, N16, E14",D2SW-,"W29, S48, E25, N17",,D4SW-,"S20, W29, N15, E14"
C3SW(center)- ,"S33, E34, N10, W14",,,,,,,
Enviromental Notes: ,,None,,,,,,
,,,,,,,,
,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes
A1,0,15,20,3,47,15,100,
A2,0,15,20,3,45,17,100,
A3,0,2,30,1,55,12,100,
A4,0,5,60,3,22,1,100,
B1,0,5,30,1,50,14,100,
B2,0,5,35,2,45,15,100,
B3,0,4,40,1,45,10,100,
B4,0,2,35,1,45,17,100,
C1,0,3,40,2,40,15,100,
C2,0,3,40,2,40,15,100,
C3,0,10,32,3,40,15,100,
C4,0,3,60,2,20,15,100,
D1,0,2,60,3,20,15,100,
D2,0,10,52,3,25,10,100,
D3,0,10,62,3,15,10,100,
D4,0,3,25,2,55,15,100,
