Plot ID,   PPW1349,Date,20180717,,Samplers,"MK,MO,AC,KO",,
Notes,,,,,,,,
Hobos downloaded? ,,Old Hobo:,,New Hobo:,,,,
GPS Coordinates - Plot Corners,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,
UTM-E:,,UTM-E:,,UTM-E:,,,UTM-E:,
UTM-N:,,UTM-N:,,UTM-N:,,,UTM-N:,
Pictures? (check if complete),,,Slope,,,Aspect ,,
Quads Completed: ,,,,,,,,
,Start Tag: ,,End Tag:,,,,,
Soil Depth (cm),,,,,,,,
B2SW-,"S9,E15,N38,W26",B4SW-,"N84,E88,S68,W73",D2SW-,"S68,E78,N76,W6",,D4SW-,"S80,W75,N89,E86"
C3SW(center)- ,"S85,W52,N86,E88",,,,,,,
Enviromental Notes: ,,,,,,,,
,,,,,,,,
,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes
A1,0,25,0,3,30,42,100,
A2,0,25,0,3,12,60,100,
A3,0,40,0,5,15,40,100,
A4,0,20,0,3,12,65,100,
B1,0,20,0,3,12,65,100,
B2,0,30,0,3,7,60,100,
B3,0,35,4,4,22,35,100,
B4,0,30,0,3,32,35,100,
C1,2,15,2,3,13,65,100,
C2,2,23,3,2,15,55,100,
C3,0,15,5,0,15,65,100,
C4,0,30,0,3,27,40,100,
D1,0,15,0,2,18,65,100,
D2,0,30,0,3,27,40,100,
D3,0,20,0,5,15,60,100,
D4,0,20,3,2,20,55,100,
