Plot ID,PPW1313,Date,20180629,,Samplers,"MO,MK,DA,KO",,
Notes,,,,,,,,
Hobos downloaded? ,,Old Hobo:,YES,New Hobo:,YES,,,
GPS Coordinates - Plot Corners,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,
UTM-E:,,UTM-E:,,UTM-E:,,,UTM-E:,
UTM-N:,,UTM-N:,,UTM-N:,,,UTM-N:,
Pictures? (check if complete),,,Slope,,,Aspect ,,
Quads Completed: ,,,,,,,,
,Start Tag: ,,End Tag:,,,,,
Soil Depth (cm),,,,,,,,
B2SW-,"W9, S7, E18, N24",B4SW-,"W4, N20, E7, S9",D2SW-,"E11, N12, W13, S14",,D4SW-,"W10,S9, E12, N14"
C3SW(center)- ,"W16, N14, E11, S6",,,,,,,
Enviromental Notes: ,,,,,,,,
,,,,,,,,
,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes
A1,0,50,0,10,20,20,100,
A2,0,40,0,10,30,20,100,
A3,0,20,0,10,30,40,100,
A4,0,35,0,10,25,30,100,
B1,0,25,0,10,30,35,100,
B2,0,30,0,10,35,25,100,
B3,0,50,0,5,30,15,100,
B4,0,25,0,5,20,50,100,
C1,0,45,0,15,20,20,100,
C2,0,20,0,10,40,30,100,
C3,0,20,0,10,45,25,100,
C4,0,30,0,5,40,25,100,
D1,0,40,0,20,20,20,100,
D2,0,60,0,10,10,20,100,
D3,0,25,0,15,30,30,100,
D4,0,30,0,5,45,20,100,
