Plot ID,PPW1330,Date,20180711,,Samplers,"MK, KO, MO, AC",,
Notes,,,,,,,,
Hobos downloaded? ,,Old Hobo:,YES,New Hobo:,YES,,,
GPS Coordinates - Plot Corners,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,
UTM-E:,,UTM-E:,,UTM-E:,,,UTM-E:,
UTM-N:,,UTM-N:,,UTM-N:,,,UTM-N:,
Pictures? (check if complete),,,Slope,,,Aspect ,,
Quads Completed: ,,,,,,,,
,Start Tag: ,,End Tag:,,,,,
Soil Depth (cm),,,,,,,,
B2SW-,"E13, S7, W11, N27",B4SW-,"S15, E14, N15, W18",D2SW-,"S9, E14, N15, W18",,D4SW-,"S4, E11, N21, W11"
C3SW(center)- ,"W8, S19, E17, N10",,,,,,,
Enviromental Notes: ,,,,,,,,
,,,,,,,,
,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes
A1,0,15,0,5,35,45,100,
A2,0,20,0,5,40,35,100,
A3,0,25,0,5,35,35,100,
A4,0,35,0,5,25,35,100,
B1,0,15,0,5,40,40,100,
B2,0,20,1,4,40,35,100,
B3,0,15,0,5,40,40,100,
B4,0,20,0,5,35,40,100,
C1,0,20,1,4,35,40,100,
C2,0,20,0,5,35,40,100,
C3,0,10,0,5,15,70,100,
C4,0,20,0,5,20,55,100,
D1,0,25,1,4,25,45,100,
D2,0,15,1,4,25,55,100,
D3,0,20,0,5,35,40,100,
D4,0,15,0,5,20,60,100,
