Plot ID,   PPW1322,Date,20180725,,Samplers,"MK,MO,AC,KO",,
Notes,,,,,,,,
Hobos downloaded? ,,Old Hobo:,YES,New Hobo:,YES,,,
GPS Coordinates - Plot Corners,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,
UTM-E:,,UTM-E:,,UTM-E:,,,UTM-E:,
UTM-N:,,UTM-N:,,UTM-N:,,,UTM-N:,
Pictures? (check if complete),,,Slope,,,Aspect ,,
Quads Completed: ,,,,,,,,
,Start Tag: ,,End Tag:,,,,,
Soil Depth (cm),,,,,,,,
B2SW-,"W17,S8,E18,N2",B4SW-,"W10,S13,E16,N23",D2SW-,"W0,S0,E5,N0",,D4SW-,"W18,S14,E3,N14"
C3SW(center)- ,"W14,S16,E23,N26",,,,,,,
Enviromental Notes: ,,,,,,,,
,,,,,,,,
,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes
A1,0,5,10,0,60,25,100,
A2,0,5,10,2,35,48,100,
A3,0,4,10,1,60,25,100,
A4,0,15,15,5,40,25,100,
B1,0,15,15,5,40,25,100,
B2,5,3,10,2,30,50,100,
B3,5,7,5,3,50,30,100,
B4,0,15,10,5,60,10,100,
C1,1,13,14,2,40,30,100,
C2,0,5,20,5,30,40,100,
C3,15,10,10,5,40,20,100,
C4,5,15,10,1,60,9,100,
D1,4,10,10,1,60,15,100,
D2,10,5,10,5,40,25,95,
D3,25,5,5,5,40,20,100,
D4,5,25,20,5,30,15,100,
