Plot ID,   PPW1319,Date,20180703,,Samplers,"MK,MO,AC,KO",,
Notes,,,,,,,,
Hobos downloaded? ,,Old Hobo:,Y,New Hobo:,Y,,,
GPS Coordinates - Plot Corners,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,
UTM-E:,,UTM-E:,,UTM-E:,,,UTM-E:,
UTM-N:,,UTM-N:,,UTM-N:,,,UTM-N:,
Pictures? (check if complete),,,Slope,,,Aspect ,,
Quads Completed: ,,,,,,,,
,Start Tag: ,,End Tag:,,,,,
Soil Depth (cm),,,,,,,,
B2SW-,"N30,W63,S18,E46",B4SW-,"N41,W50,S28,E19",D2SW-,"E26,S45,W70,N72",,D4SW-,"W26,S55,E48,N5"
C3SW(center)- ,"N16,E41,S22,W38",,,,,,,
Enviromental Notes: ,,,,,,,,
,,,,,,,,
,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes
A1,5,20,0,5,55,15,100,
A2,0,45,0,5,25,25,100,
A3,0,35,0,5,50,10,100,
A4,15,15,0,5,40,25,100,
B1,0,20,2,5,58,15,100,
B2,0,15,0,5,65,15,100,
B3,0,20,0,5,60,15,100,
B4,0,30,0,10,40,20,100,
C1,0,35,0,5,35,25,100,
C2,0,15,0,5,40,40,100,
C3,0,25,0,5,45,25,100,
C4,0,17,0,8,50,25,100,
D1,0,20,0,5,50,25,100,
D2,0,15,0,5,45,35,100,
D3,0,15,0,5,40,40,100,
D4,0,35,0,5,40,20,100,
