Plot ID,   PPW1851,Date,20180815,,Samplers,"MK,MO,AC,KO",,
Notes,STEEP,,,,,,,
Hobos downloaded? ,,Old Hobo:,NA,New Hobo:,LAUNCHED,,,
GPS Coordinates - Plot Corners,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,
UTM-E:,4269561,UTM-E:,4269561,UTM-E:,4269546,,UTM-E:,4269539
UTM-N:,527198,UTM-N:,527201,UTM-N:,527214,,UTM-N:,527201
Pictures? (check if complete),,,Slope,45,,Aspect ,214,
Quads Completed: ,,,,,,,,
,Start Tag: ,,End Tag:,,,,,
Soil Depth (cm),,,,,,,,
B2SW-,"S5,E15,W9,N36",B4SW-,"S9,E7,N11,W7",D2SW-,"W18,N23,E26,S15",,D4SW-,"S11,W24,N18,E14"
C3SW(center)- ,"W12,N33,S5,E7",,,,,,,
Enviromental Notes: ,,,,,,,,
,,,,,,,,
,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes
A1,0,55,2,20,13,10,100,
A2,0,70,2,15,8,5,100,
A3,0,65,4,25,10,6,110,
A4,0,60,5,20,13,2,100,
B1,0,50,2,15,18,15,100,
B2,0,60,2,20,13,5,100,
B3,2,55,3,21,15,4,100,
B4,0,55,5,20,15,5,100,
C1,0,50,2,18,15,15,100,
C2,0,55,5,25,7,8,100,
C3,0,50,2,20,20,8,100,
C4,15,52,4,10,15,4,100,
D1,0,67,1,20,8,4,100,
D2,0,65,5,20,5,5,100,
D3,2,60,3,15,15,5,100,
D4,20,45,4,6,20,5,100,
