DATE,PLOT,INITALS,SPECIES,A2_cover,A2_pheno,A3_cover,A3_pheno,A4_cover,A4_pheno,B4_cover,B4_pheno,C4_cover,C4_pheno,D4_cover,D4_pheno,D3_cover,D3_pheno,D2_cover,D2_pheno,D1_cover,D1_pheno,C1_cover,C1_pheno,B1_cover,B1_pheno,A1_cover,A1_pheno,NOTES
20170419,1339,"RLO, PW",BRADIS,6,FLR,14,FLR,11,FLR,1,FLR,8,FLR,12,FLR,8,FLR,7,FLR,6,FLR,17,FLR,1,FLR,1,FLR,
20170419,1339,"RLO, PW",MELTOR,5,FLR,2,FLR,,,4,FLR,,,,,15,FLR,,,1,FLR,,,1,FLR,,,
20170419,1339,"RLO, PW",ELYGLA,3,VEG,2,VEG,,,,,,,,,,,,,1,VEG,,,,,,,
20170419,1339,"RLO, PW",BRODIA,,,1,FLR,,,,,1,FLR,1,VEG,1,FLR,,,,,,,,,1,FLR,
20170419,1339,"RLO, PW",BROCAR,,,,,,,,,,,,,,,,,,,,,,,,,
20170419,1339,"RLO, PW",CYNECH,,,,,,,,,1,VEG,1,VEG,1,VEG,,,,,1,VEG,,,,,
20170419,1339,"RLO, PW",FESBRO,,,,,,,,,,,1,FLR,,,,,,,,,,,,,
20170419,1339,"RLO, PW",POASEC,,,,,,,,,,,,,,,,,,,,,,,,,
20170419,1339,"RLO, PW",OSMBER,,,,,,,1,VEG,,,,,,,,,,,,,1,VEG,,,
20170419,1339,"RLO, PW",GALAPA,,,,,1,FRT,1,FRT,1,FRT,,,1,FRT,1,FRT,1,FRT,1,FRT,1,FRT,1,FRT,
20170419,1339,"RLO, PW",TOXDIV,11,VEG,15,VEG,,,1,VEG,,,,,,,37,VEG,,,,,3,VEG,20,VEG,
20170419,1339,"RLO, PW",STARIG,5,FLR,,,,,,,,,,,,,,,1,VEG,,,,,,,
20170419,1339,"RLO, PW",VICSAT,1,FLR,2,FRT,4,FRT,,,2,FRT,2,FRT,1,FLR,,,,,,,,,,,
20170419,1339,"RLO, PW",LATVES,1,VEG,,,,,,,,,,,3,VEG,,,3,VEG,,,3,VEG,13,VEG,
20170419,1339,"RLO, PW",RANOCC,1,FRT,,,2,FRT,,,1,FRT,1,VEG,1,VEG,1,FRT,5,FRT,,,,,,,
20170419,1339,"RLO, PW",SANCRA,4,FRT,,,1,VEG,1,VEG,2,VEG,1,VEG,,,,,,,1,VEG,,,,,
20170419,1339,"RLO, PW",TORARV,2,VEG,2,VEG,2,VEG,2,VEG,1,VEG,4,VEG,6,VEG,2,VEG,1,VEG,1,VEG,1,VEG,,,
20170419,1339,"RLO, PW",GALPOR,3,FLR,,,,,,,,,,,,,1,FLR,2,FLR,1,FLR,,,,,
20170419,1339,"RLO, PW",CARPYC,1,VEG,1,VEG,,,,,,,,,,,,,,,,,,,26,VEG,
20170419,1339,"RLO, PW",ANIMAD,,,1,VEG,,,,,,,,,,,,,,,,,,,,,
20170419,1339,"RLO, PW",MEDPOL,,,,,,,,,1,FLR,,,,,,,,,,,,,,,
20170419,1339,"RLO, PW",TRIF_SP,,,,,,,,,,,1,VEG,,,,,,,,,,,,,
20170419,1339,"RLO, PW",CARCAL,,,,,,,,,1,VEG,1,VEG,,,,,,,,,,,,,
20170419,1339,"RLO, PW",DICCAP,,,1,VEG,,,,,1,VEG,,,1,VEG,,,,,,,,,,,
20170419,1339,"RLO, PW",HYPGLA,,,,,,,,,,,19,FLR,1,FLR,,,,,,,,,,,
20170419,1339,"RLO, PW",PETDUB,,,,,,,,,,,1,FLR,,,,,,,,,,,,,
20170419,1339,"RLO, PW",CERGLO,,,,,,,,,,,2,FRT,1,FRT,,,,,,,,,,,
20170419,1339,"RLO, PW",GALPAR,,,,,,,,,,,1,VEG,,,,,1,FLR,,,,,,,
20170419,1339,"RLO, PW",TRIBIF,,,,,,,,,,,2,FRT,1,FRT,,,,,,,,,,,
20170419,1339,"RLO, PW",TRIMICCEP,,,,,,,,,,,2,FLR,,,,,,,,,,,,,
20170419,1339,"RLO, PW",TRIOLI,,,,,,,,,,,4,FRT,,,,,,,,,,,,,
20170419,1339,"RLO, PW",TRICIL,,,,,,,,,,,,,,,,,,,,,,,,,
20170419,1339,"RLO, PW",STEMED,,,,,,,,,,,,,1,FLR,,,,,,,,,,,
20170419,1339,"RLO, PW",CHLPOM,,,,,,,,,,,,,,,,,4,VEG,,,,,,,
20170419,1339,"RLO, PW",MICCAL,,,,,,,,,,,,,,,,,,,,,,,,,
20170419,1339,"RLO, PW",ACMWRA,,,,,,,,,,,,,,,,,,,,,,,,,
20170419,1339,"RLO, PW",HYPRAD,,,,,,,,,,,,,,,,,,,,,,,,,
20170419,1339,"RLO, PW",CIROCC,,,,,,,,,,,,,,,,,,,,,,,,,WAS TYPO CEROCC- MKQC2022
20170419,1339,"RLO, PW",LONHIS,,,,,,,,,,,,,,,,,,,,,,,,,
20170419,1339,"RLO, PW",FESELM,,,,,,,,,,,,,,,3,FLR,,,,,,,,,
20170419,1339,"RLO, PW",BROLAE,,,,,,,,,,,,,,,,,,,2,FLR,,,,,
20170419,1339,"RLO, PW",AVEBAR,,,,,,,,,,,,,,,1,FLR,,,,,,,,,
