Plot ID,   PPW1346,,,,Sampler(s),"MK,MO,AC,KO",,,Date ,20180706
Notes,,,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
B1,UMBCAL,1,,0,,,,,,
B1,HETARB,0,,1,,,,,,
B1,QUEGAR,0,,1,,,,,,
C1,CERBET,0,,2,,,,,,
D1,QUEAGR,1,,0,,,,,,
D1,CERBET,1,,0,,,,,,
A2,UMBCAL,0,,2,,,,,,
A2,HETARB,0,,1,,,,,,
A2,BACPIL,1,,0,,,,,,
A3,UMBCAL,0,,2,,,,,,
A3,QUEGAR,1,,0,,,,,,
A4,QUEGAR,1,,0,,,,,,
D4,AMOCAL,0,,1,,,,,,
B4,UMBCAL,1,,0,,,,,,
C4,QUEKEL,1,,0,,,,,,
B3,AMOCAL,0,,1,,,,,,
B3,UMBCAL,2,,0,,,,,,
B3,QUEAGR,1,,0,,,,,,
B3,HETARB,0,,1,,,,,,
