Plot ID,   PPW1341,,,,Sampler(s),"MK,MO,AC,KO",,,Date ,20180720
Notes,,,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
D4,BACPIL,6,,7,,1,,,,
D2,ARCMAN,1,,0,,0,,,,
D2,BACPIL,0,,2,,0,,,,
D1,BACPIL,0,,4,,0,,,,
D1,ARCMAN,0,,1,,0,,,,
C1,BACPIL,1,,2,,0,,,,
C2,BACPIL,0,,3,,0,,,,
C3,BACPIL,0,,1,,0,,,,
C3,PSEMEN,1,,0,,0,,,,
C4,BACPIL,3,,7,,0,,,,
C4,ARCMAN,2,,1,,0,,,,
B4,ARCMAN,4,,0,,0,,,,
B4,CEACUN,1,,0,,0,,,,
B4,BACPIL,0,,1,,0,,,,
A4,ARCMAN,5,,1,,0,,,,
A4,BACPIL,0,,1,,0,,,,
A3,ARCMAN,2,,1,,0,,,,
A3,BACPIL,1,,0,,0,,,,
A3,CEACUN,4,,0,,0,,,,
A3,SAMNIG,2,,1,,0,,,,
A2,CEACUN,10,,8,,0,,,,
A2,ARBMEN,1,,0,,0,,,,
A2,ARCMAN,0,,1,,0,,,,
A2,PSEMEN,1,,2,,0,,,,
A1,CEACUN,0,,2,,0,,,,
A1,PSEMEN,1,,2,,0,,,,
A1,ARCMAN,0,,1,,0,,,,
B1,CEACUN,1,,4,,0,,,,
B1,SAMNIG,0,,1,,0,,,,
B1,BACPIL,0,,2,,0,,,,
B1,ARCMAN,1,,0,,0,,,,
B1,PSEMEN,1,,2,,0,,,,
B2,BACPIL,1,,5,,0,,,,
B2,CEACUN,6,,9,,0,,,,
B2,PSEMEN,1,,1,,0,,,,
B3,BACPIL,0,,1,,0,,,,
B3,CEACUN,2,,0,,0,,,,
B3,PSEMEN,1,,1,,0,,,,
B3,ARCMAN,2,,1,,0,,,,
