Plot ID,   PPW1319,,,,Sampler(s),"MO,MK,AC,KO",,,Date ,20180703
Notes,,,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
D1,QUEAGR,2,,1,,0,,,,
D1,QUEKEL,0,,2,,0,,,,
D2,QUEAGR,1,,0,,0,,,,
D3,QUEAGR,3,,1,,0,,,,
D3,QUEDOU,0,,1,,0,,,,
D3,QUEKEL,0,,2,,0,,,,
D3,QUEGAR,0,,1,,0,,,,
D4,QUEAGR,4,,0,,0,,,,
D4,QUEKEL,0,,1,,0,,,,
C4,QUEAGR,1,,2,,0,,,,
C3,QUEKEL,0,,1,,0,,,,
C3,QUEAGR,2,,0,,0,,,,
C2,QUEAGR,5,,3,,0,,,,
C2,ARCMAN,1,,0,,0,,,,
C2,UMBCAL,0,,1,,0,,,,
C2,QUEKEL,1,,0,,0,,,,
C1,QUEAGR,6,,4,,0,,,,
B1,QUEAGR,1,,3,,0,,,,
B1,QUEGAR,0,,1,,0,,,,
B1,UMBCAL,0,,1,,0,,,,
B2,QUEAGR,1,,2,,0,,,,
B2,UMBCAL,0,,1,,0,,,,
B3,ARCMAN,0,,1,,0,,,,
B4,UMBCAL,0,,2,,0,,,,
A4,QUEAGR,2,,1,,0,,,,
A4,UMBCAL,2,,0,,0,,,,
A3,UMBCAL,0,,1,,0,,,,
A3,QUEGAR,2,,1,,0,,,,
A2,QUEAGR,2,,4,,0,,,,
A2,QUEGAR,8,,15,,0,,,,
A2,UMBCAL,1,,0,,0,,,,
A1,QUEAGR,3,,1,,0,,,,
A1,UMBCAL,0,,1,,0,,,,
A1,QUEGAR,1,,0,,0,,,,
