Plot ID,   PPW1335,,,,Sampler(s),"MK,MO,AC,KO",,,Date ,20180716
Notes,,,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A4,UMBCAL,0,,4,,0,,,,
A4,QUEGAR,1,,0,,0,,,,
B4,QUEGAR,1,,3,,0,,,,
B4,UMBCAL,0,,1,,0,,,,
C4,UMBCAL,0,,5,,0,,,,
D4,UMBCAL,0,,11,,0,,,,
A3,QUEGAR,3,,3,,0,,,,
A3,UMBCAL,1,,1,,0,,,,
A2,UMBCAL,1,,7,,0,,,,
D3,UMBCAL,0,,1,,0,,,,
A1,UMBCAL,5,,14,,1,,,,
B3,UMBCAL,0,,3,,0,,,,
C3,QUEGAR,0,,0,,1,,,,
C3,UMBCAL,0,,1,,0,,,,
B2,UMBCAL,0,,5,,1,,,,
D2,UMBCAL,0,,11,,0,,,,
B1,UMBCAL,0,,7,,0,,,,
B1,QUEGAR,0,,1,,0,,,,
C2,UMBCAL,0,,5,,0,,,,
C1,UMBCAL,0,,13,,0,,,,
D1,UMBCAL,3,,4,,0,,,,
D1,QUEGAR,1,,0,,0,,,,
,,,,,,,,,,
