Plot ID,   PPW1336,,,,Sampler(s),"MO,MK,KO,AC",,,Date ,20180716
Notes,,,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A3,QUEGAR,1,,1,,,,,,
A4,QUEGAR,1,,2,,,,,,
A4,UMBCAL,0,,1,,,,,,
B4,QUEGAR,0,,3,,,,,,
B3,QUEGAR,0,,3,,,,,,
B3,QUEGAGR,1,,0,,,,,,
B3,UMBCAL,0,,1,,,,,,
A2,UMBCAL,1,,1,,,,,,
A2,ARBMEN,1,,0,,,,,,
B1,QUEGAR,2,,1,,,,,,
C2,BACPIL,0,,1,,,,,,
C2,UMBCAL,0,,2,,,,,,
C2,ARBMEN,2,,0,,,,,,
C4,QUEGAR,1,,2,,,,,,
C3,QUEGAR,0,,1,,,,,,
D4,ARCMAN,1,,0,,,,,,
D3,UMBCAL,1,,0,,,,,,
A1,QUEGAR,8,,4,,,,,,
D2,QUEGAR,2,,1,,,,,,
D2,UMBCAL,0,,2,,,,,,
D1,QUEGAR,1,,1,,,,,,
