Plot ID,   PPW1853,,,,Sampler(s),"MK,MO,AC,KO,DK",,,Date ,20180814
Notes,,,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
D1,CEACUN,15,,67,,0,,,,
D1,BACPIL,1,,5,,0,,,,
D1,UMBCAL,1,,0,,0,,,,
D1,ARCMAN,2,,0,,0,,,,
D2,ARCMAN,0,,1,,0,,,,
D2,CEACUN,13,,70,,0,,,,
D2,BACPIL,0,,1,,0,,,,
D4,BACPIL,0,,2,,0,,,,
D4,CEACUN,22,,88,,0,,,,
D3,BACPIL,2,,1,,0,,,,
D4,ARCMAN,0,,1,,0,,,,
D3,CEACUN,41,,127,,0,,,,
C1,CEATHY,0,,2,,0,,,,
C1,ARCMAN,2,,0,,0,,,,
C1,CEACUN,10,,42,,0,,,,
C1,BACPIL,0,,1,,0,,,,
C2,CEATHY,0,,1,,0,,,,
C2,BACPIL,0,,4,,0,,,,
C2,ARCMAN,0,,1,,0,,,,
C2,CEACUN,88,,129,,0,,,,
C2,CEACUN,0,,55,,0,,,,
C4,BACPIL,0,,2,,0,,,,
C4,CEACUN,0,,5,,0,,,,
C3,CEACUN,31,,58,,0,,,,
C3,ARCMAN,0,,1,,0,,,,
C3,BACPIL,0,,2,,0,,,,
C3,UMBCAL,0,,1,,0,,,,
B4,BACPIL,0,,1,,0,,,,
B4,ARCMAN,1,,0,,0,,,,
B4,CEACUN,2,,59,,0,,,,
B3,BACPIL,0,,1,,0,,,,
B3,UMBCAL,0,,1,,0,,,,
B3,CEACUN,102,,230,,0,,,,
A4,CEACUN,8,,170,,0,,,,
A4,BACPIL,0,,4,,0,,,,
A4,ARCMAN,0,,2,,0,,,,
B3,CEACUN,0,,70,,0,,,,
B2,CEACUN,184,,250,,0,,,,
B2,BACPIL,0,,1,,0,,,,
B2,ARCMAN,3,,13,,0,,,,
B2,CEACUN,0,,123,,0,,,,
B2,UMBCAL,0,,1,,0,,,,
A3,CEACUN,40,,106,,0,,,,
A3,ARCMAN,0,,1,,0,,,,
B1,PSEMEN,0,,1,,0,,,,
A3,CEATHY,0,,3,,0,,,,
B1,ARCMAN,1,,1,,0,,,,
A3,CEACUN,0,,50,,0,,,,
A3,UMBCAL,0,,1,,0,,,,
A3,BACPIL,0,,1,,0,,,,
B1,CEACUN,42,,126,,6,,,,
B1,BACPIL,0,,1,,0,,,,
B1,CEACUN,0,,70,,0,,,,
A2,BACPIL,0,,4,,0,,,,
A2,CEACUN,64,,160,,1,,,,
A2,ARCMAN,0,,3,,0,,,,
A2,CEACUN,0,,115,,0,,,,
A1,BACPIL,0,,1,,0,,,,
A1,ARCMAN,0,,1,,0,,,,
A1,CEACUN,6,,80,,0,,,,
A1,CEATHY,0,,1,,0,,,,
