Plot ID,   PPW1303,,,,Sampler(s),"MO,MK,AC,KO",,,Date ,20180723
Notes,,,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
D4,QUEAGR,0,,3,,0,,,,
C4,UMBCAL,0,,3,,0,,,,
B4,UMBCAL,2,,2,,0,,,,
B4,QUEAGR,1,,1,,0,,,,
B4,QUEDOU,0,,1,,0,,,,
A4,UMBCAL,0,,1,,0,,,,
A4,QUEDOU,0,,3,,0,,,,
A4,QUEAGR,1,,0,,0,,,,
A3,UMBCAL,2,,1,,0,,,,
A3,QUEDOU,2,,3,,0,,,,
A3,QUEGAR,0,,3,,0,,,,
A3,QUEAGR,1,,0,,0,,,,
A2,QUEDOU,1,,8,,0,,,,
A2,QUEAGR,2,,2,,0,,,,
A1,QUEDOU,7,,30,,0,,,,
A1,QUEGAR,0,,4,,0,,,,
A1,UMBCAL,3,,0,,0,,,,
B1,QUEGAR,0,,5,,0,,,,
B1,QUEDOU,3,,3,,0,,,,
B1,UMBCAL,1,,0,,0,,,,
B2,QUEAGR,0,,1,,0,,,,
B2,QUEGAR,3,,3,,0,,,,
B2,QUEDOU,1,,1,,0,,,,
B2,UMBCAL,0,,1,,0,,,,
B3,QUEDOU,0,,7,,0,,,,
B3,QUEGAR,0,,4,,0,,,,
B3,UMBCAL,0,,1,,0,,,,
B3,QUEAGR,0,,1,,0,,,,
D3,QUEDOU,0,,6,,0,,,,
C2,QUEDOU,0,,1,,0,,,,
D2,QUEDOU,0,,2,,0,,,,
C1,QUEAGR,0,,1,,0,,,,
D1,QUEDOU,0,,11,,0,,,,
