Plot ID,   PPW1307,,,,Sampler(s),"MK,MO,AC,KO",,,Date ,20180719
Notes,,,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A4,ARBMEN,0,,2,,0,,,,
A4,UMBCAL,2,,0,,0,,,,
A4,QUEGAR,1,,1,,0,,,,
A3,ARBMEN,9,,2,,0,,,,
A3,QUEGAR,0,,2,,0,,,,
A3,QUEKEL,0,,2,,0,,,,
A3,QUEAGR,0,,1,,0,,,,
A3,BACPIL,1,,0,,0,,,,
A2,ARBMEN,5,,0,,0,,,,
A2,UMBCAL,1,,1,,0,,,,
A2,QUEKEL,0,,1,,0,,,,
A1,QUEGAR,0,,1,,0,,,,
A1,BACPIL,0,,1,,0,,,,
A1,ARBMEN,3,,0,,0,,,,
B1,UMBCAL,0,,1,,0,,,,
B1,ARBMEN,1,,0,,0,,,,
B1,QUEGAR,0,,1,,0,,,,
B1,BACPIL,0,,1,,0,,,,
B2,ARBMEN,3,,0,,0,,,,
B2,UMBCAL,0,,1,,0,,,,
B3,ARBMEN,13,,1,,0,,,,
B3,QUEAGR,0,,2,,0,,,,
B3,QUEGAR,1,,0,,0,,,,
B4,QUEGAR,1,,0,,0,,,,
B4,ARBMEN,0,,3,,0,,,,
B4,UMBCAL,1,,0,,0,,,,
B4,QUEKEL,0,,1,,0,,,,
C4,QUEGAR,5,,2,,0,,,,
C4,ARBMEN,0,,1,,0,,,,
C4,UMBCAL,1,,2,,0,,,,
C3,QUEGAR,3,,1,,0,,,,
C3,QUEKEL,0,,1,,0,,,,
C3,UMBCAL,1,,1,,0,,,,
C2,QUEGAR,0,,2,,0,,,,
C2,ARBMEN,1,,0,,0,,,,
C2,UMBCAL,1,,0,,0,,,,
C2,ARCMAN,1,,0,,0,,,,
C2,QUEKEL,1,,0,,0,,,,
C1,BACPIL,0,,1,,0,,,,
D1,ARCMAN,3,,2,,0,,,,
D2,ARBMEN,1,,0,,0,,,,
D2,UMBCAL,0,,1,,0,,,,
D3,QUEGAR,0,,2,,0,,,,
D3,ARBMEN,2,,0,,0,,,,
D3,UMBCAL,1,,0,,0,,,,
D3,ARCMAN,1,,0,,0,,,,
D4,UMBCAL,1,,2,,0,,,,
D4,QUEAGR,2,,4,,0,,,,
D4,QUEGAR,0,,1,,0,,,,
