Plot ID,   PPW1349,,,,Sampler(s),"MO,AC,KO,MK",,,Date ,20180717
Notes,,,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
D3,ARCMAN,0,,1,,0,,,,
D4,ARCMAN,2,,1,,0,,,,
D4,QUEKEL,1,,0,,0,,,,
D4,BACPIL,2,,0,,0,,,,
C3,ARCMAN,0,,1,,0,,,,
C3,UMBCAL,0,,2,,0,,,,
C3,ARCMAN,0,,1,,0,,,,
C3,UMBCAL,0,,2,,0,,,,
C4,ARCMAN,0,,1,,0,,,,
B4,QUEKEL,0,,1,,0,,,,
B4,ARCMAN,8,,5,,0,,,,
A4,ARCMAN,2,,3,,0,,,,
A4,BACPIL,1,,1,,0,,,,
A3,ARCMAN,1,,1,,0,,,,
A3,BACPIL,2,,2,,0,,,,
A3,UMBCAL,1,,0,,0,,,,
B2,ARCMAN,3,,1,,0,,,,
B2,BACPIL,3,,0,,0,,,,
D2,QUEKEL,0,,2,,0,,,,
D2,BACPIL,0,,1,,0,,,,
B2,ARCMAN,2,,1,,0,,,,
B2,BACPIL,0,,1,,0,,,,
B2,PSEMEN,2,,1,,0,,,,
A2,UMBCAL,0,,1,,0,,,,
A2,ARCMAN,2,,2,,0,,,,
A2,BACPIL,1,,1,,0,,,,
B1,ARCMAN,0,,2,,0,,,,
C1,QUEKEL,1,,2,,0,,,,
C1,ARCMAN,1,,0,,0,,,,
C1,BCPIL,1,,0,,0,,,,
D1,QUEKEL,0,,2,,0,,,,
A4,ACEMAC,1,,0,,0,,,,
B3,ACEMAC,0,,1,,0,,,,
