Plot ID,   PPW1325,,,,Sampler(s),AC MO KO MK,,,Date ,20180717
Notes,,,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
D1,QUEGAR,4,,,,0,,,,
D1,QUEAGR,1,,0,,0,,,,
D1,QUEDOU,4,,0,,0,,,,
D2,QUEDOU,9,,0,,0,,,,
D2,QUEGAR,1,,0,,0,,,,
D3,QUEDOU,5,,1,,0,,,,
D3,QUEGAR,1,,5,,0,,,,
D4,ARBMEN,0,,1,,0,,,,
C4,QUEGAR,1,,1,,0,,,,
C4,ARCMAN,11,,2,,0,,,,
C3,ARCMAN,20,,0,,0,,,,
C3,QUEGAR,0,,0,,0,,,,
A1,QUEDOU,0,,1,,0,,,,
B1,QUEDOU,1,,1,,0,,,,
C2,QUEAGR,0,,0,,0,,,,
C1,ARCMAN,1,,1,,0,,,,
C1,QUEDOU,1,,0,,0,,,,
A2,UMBCAL,0,,0,,0,,,,
A2,QUEAGR,0,,1,,0,,,,
A2,ARCMAN,3,,1,,0,,,,
B2,ARCMAN,1,,0,,1,,,,
B2,QUEDOU,0,,0,,0,,,,
B2,QUEAGR,1,,1,,0,,,,
A3,ARCMAN,5,,0,,1,,,,
A3,QUEGAR,1,,0,,0,,,,
B3,ARCMAN,27,,0,,2,,,,
B3,QUEAGR,1,,0,,0,,,,
B3,QUEDOU,1,,0,,0,,,,
B3,UMBCAL,0,,1,,0,,,,
A4,ARCMAN,3,,1,,0,,,,
A4,QUEGAR,0,,2,,0,,,,
B4,ARCMAN,13,,0,,0,,,,
B4,QUEKEL,0,,1,,0,,,,
B4,QUEGAR,0,,1,,0,,,,
