Plot ID,   PPW1322,,,,Sampler(s),"MK,MO,KO,AC",,,Date ,20180725
Notes,,,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
D4,QUEAGR,0,,1,,0,,,,
D4,QUEDOU,1,,12,,0,,,,
D3,QUEDOU,2,,4,,0,,,,
C1,BACPIL,1,,0,,0,,,,
C1,QUEDOU,0,,1,,0,,,,
C2,QUEDOU,0,,1,,0,,,,
A1,QUEKEL,1,,1,,0,,,,
A1,QUEDOU,1,,2,,0,,,,
A1,QUEGAR,0,,1,,0,,,,
A1,QUEAGR,0,,1,,0,,,,
A2,QUEDOU,2,,4,,0,,,,
A2,QUEGAR,1,,1,,0,,,,
A2,QUEAGR,0,,1,,0,,,,
B2,QUEDOU,2,,4,,0,,,,
B2,QUEGAR,0,,3,,0,,,,
B2,QUEAGR,1,,2,,0,,,,
B3,QUEGAR,1,,2,,0,,,,
B3,QUEDOU,0,,2,,0,,,,
B4,QUEGAR,0,,1,,0,,,,
A4,QUEGAR,0,,3,,0,,,,
A4,QUEDOU,0,,2,,0,,,,
C3,QUEDOU,2,,5,,0,,,,
C3,QUEGAR,0,,1,,0,,,,
A3,QUEAGR,0,,1,,0,,,,
A3,QUEDOU,1,,1,,0,,,,
C4,QUEGAR,0,,2,,0,,,,
C4,QUEDOU,0,,2,,0,,,,
B1,QUEDOU,1,,3,,0,,,,
B1,QUEKEL,0,,1,,0,,,,
B1,QUEAGR,0,,2,,0,,,,
B1,QUEGAR,1,,1,,0,,,,
