Plot ID,PPW1328,,Sampler(s),"DDA, MNB, APW, MFO",,,,,Date ,"20130426, 20130502",,
Notes,CHANGED QUEAGR TO QUEAGR IN 'SPECIES' ; 20130605 MFO,,,,,,,,,,,
,,,,,,,,,,,,
Quad,Type,Tree Tag No.,Species,Confidence ,Dead/ Stump,SA or Stump Height (cm),SA or Stump BD (cm),SA  Branch #,DBH (cm), X (cm),Y (cm),Notes
A1,TR,4670,QUEAGR,1,,,,,10.1,37,115,
A1,TR,4671,QUEAGR,1,,,,,12.35,95,103,
A1,SA,4682,PSEMEN,1,,69,0.52,1,,69,87,
A1,SA,4620,PSEMEN,1,,61,0.79,1,,223,58,
A1,SA,4619,PSEMEN,1,,56,0.5,1,,-136,50,
A1,TR,4617,PSEMEN,1,,,,,4,-38,97,
A1,SA,4616,PSEMEN,1,,57,0.4,1,,-230,180,
A1,SA,4615,PSEMEN,1,,63,0.56,1,,-240,168,
A1,SA,4679,PSEMEN,1,,61,0.56,1,,-253,140,
A1,TR,4668,QUEAGR,1,,,,,10.1,157,137,
A1,TR,4669,QUEAGR,1,,,,,8,133,153,
A1,TR,,QUEAGR,0,D,,,,4.5,107,138,
A1,SA,,QUEAGR,0,D,10,6,1,,115,117,
A1,SA,,QUEAGR,0,D,10,4.5,1,,69,129,
A1,TR,4672,QUEAGR,1,,,,,17.2,37,176,
A1,SA,4680,QUEAGR,1,,78,0.47,1,,125,161,SWITCHED HEIGHT AND BD
A1,TR,4667,QUEAGR,1,,,,,12.5,147,184,
A1,TS,4681,QUEAGR,1,,91,6.9,,,83,200,RESPROUTING FROM STUMP
A1,TR,,QUEAGR,1,S,10,4,,,64,233,
A1,TR,4666,QUEAGR,1,,,,,7.65,133,235,
A1,SA,4623,ARBMEN,1,,93,1.32,1,,-251,-212,SPECIES CHANGED TO ARBMEN FROM 'ARMBEN' ; 20130605 MFO
A1,TR,4629,QUEAGR,1,,,,,17.95,149,-203,
A1,SA,4624,QUEAGR,1,,57,0.43,1,,132,157,
A1,TR,4628,QUEAGR,1,,,,,6,90,170,TRUNK SPROUT WITH DEAD CROWN 
A1,TR,4645,QUEAGR,1,,,,,5.3,64,-212,
A1,TR,,QUEAGR,1,D,,,,4,93,-196,
A1,TR,,QUEAGR,1,D,,,,5,99,-114,
A1,TR,4625,PSEMEN,1,,,,,3.55,-170,-156,
,,,,,,,,,,,,
A1,SA,4627,PSEMEN,1,,158,1.5,1,,-75,-105,
A1,SA,4626,PSEMEN,1,,51,0.41,1,,-10,-200,
A2,SA,4746,PSEMEN,1,,52,0.35,1,,102,126,
A2,SA,4641,PSEMEN,1,,60,0.55,1,,175,48,
A2,SA,4675,PSEMEN,1,,55,0.48,1,,250,95,
A2,SA,4674,PSEMEN,1,,62,0.74,1,,232,112,
A2,SA,4640,PSEMEN,1,,88,0.62,1,,-38,104,
A2,SA,4639,PSEMEN,1,,120,1.14,1,,-51,11,
A2,SA,4642,PSEMEN,1,,60,0.45,1,,-67,76,
A2,SA,4643,PSEMEN,1,,58,0.52,1,,-71,106,
A2,SA,4677,PSEMEN,1,,59,0.59,1,,-191,155,
A2,SA,4695,PSEMEN,1,,51,0.52,1,,-150,197,
A2,SA,4676,PSEMEN,1,,55,0.67,1,,-134,224,
A2,SA,4747,PSEMEN,1,,51,0.46,1,,-91,260,
A2,TR,4678,QUEAGR,1,,,,,42.5,-201,-214,"INPUTED DBH, MISSED; 20130602 MFO"
A2,TR,4678.1,QUEAGR,1,,,,,47,-201,-214,"INPUTED DBH, MISSED; 20130602 MFO"
A2,TS,4678.2,QUEAGR,1,,61,0.73,5,,-201,-214,
A2,SA,4748,PSEMEN,1,,69,0.74,1,,-10,-80,INPUTED 1 FOR SA BANCH # ; 201306065 MFO
A2,SA,4760,PSEMEN,1,,,0.36,1,,-191,-7,"INPUTED 1 FOR SA BANCH #, HEIGHT IS MISSING ; 201306065 MFO"
A2,TR,4752,PSEMEN,1,,,,,2.95,-229,-11,"INPUTED DBH, MISSED; 20130602 MFO"
A2,SA,4751,PSEMEN,1,,,0.35,1,,-243,-25,INPUTED 1 FOR SA BANCH # ; 201306065 MFO
A2,SA,4750,PSEMEN,1,,,0.56,1,,-261,-69,INPUTED 1 FOR SA BANCH # ; 201306065 MFO
A2,SA,4822,PSEMEN,1,,,0.59,1,,-270,-94,INPUTED 1 FOR SA BANCH # ; 201306065 MFO
A2,SA,4749,QUEAGR,1,,154,11.5,1,,-182,-78,INPUTED 1 FOR SA BANCH # ; 201306065 MFO
A2,TS,4749.1,QUEAGR,1,,84,0.47,5,,-182,-78,
A3,SA,4756,PSEMEN,1,,111,1,1,,76,159,
A3,SA,4754,UMBCAL,1,,64,0.73,2,,111,102,
A3,SA,4755,PSEMEN,1,,72,0.57,1,,136,117,
,,,,,,,,,,,,
A3,SA,4753,PSEMEN,1,,88,0.8,1,,188,33,
A3,SA,4758,PSEMEN,1,,56,0.59,1,,224,153,
A3,SA,4757,PSEMEN,1,,74,0.64,1,,211,184,
A3,TR,4761,QUEAGR,1,,,,,17.8,-142,56,
A3,TS,4832,QUEAGR,1,,68,3.55,6,,-71,76,ERODED STUMP
A3,SA,4759,PSEMEN,1,,54,0.47,1,,-126,199,
A3,SA,4763,PSEMEN,1,,60,0.68,1,,-102,268,
A3,SA,4762,PSEMEN,1,,65,0.81,1,,-51,270,
A3,SA,4764,PSEMEN,1,,89,0.99,1,,-81,-166,
A3,SA,4765,PSEMEN,1,,172,0.53,1,,-79,-122,
A3,SA,4834,PSEMEN,1,,64,0.56,1,,-161,-205,
A3,SA,4767,PSEMEN,1,,58,0.52,1,,-187,-182,
A3,TR,,ARCMAN,0,D,,,3,9.2,143,-122,
A4,SA,4777,PSEMEN,1,,144,2.13,1,,163,9,
A4,SA,4780,PSEMEN,1,,106,1.16,1,,164,59,
A4,SA,4779,PSEMEN,1,,107,1.39,1,,192,53,
A4,SA,4778,PSEMEN,1,,69,0.4,1,,189,34,
A4,SA,4772,PSEMEN,1,,70,0.74,1,,233,58,
A4,SA,4768,PSEMEN,1,,59,0.64,1,,-103,7,
A4,SA,4766,PSEMEN,1,,78,0.73,1,,-108,10,changed from 4466 after 2022QC MK
A4,SA,4771,PSEMEN,1,,65,0.88,1,,-162,106,
A4,SA,4773,PSEMEN,1,,67,0.54,1,,-260,113,
A4,SA,4769,PSEMEN,1,,63,0.64,1,,-272,145,
A4,SA,4770,PSEMEN,1,,83,0.51,1,,-287,172,
A4,SA,4775,PSEMEN,1,,53,0.38,1,,-264,215,
A4,SA,4776,FRACAL,1,,142,0.99,2,,-274,236,
A4,SA,4774,PSEMEN,1,,66,0.71,1,,-193,234,
A4,SA,4803,PSEMEN,1,,56,0.49,1,,-182,325,
,,,,,,,,,,,,
A4,SA,4781,FRACAL,1,,54,0.23,1,,81,129,
A4,TR,4782,PSEMEN,1,,,,,2.02,54,174,
A4,SA,4783,ARBMEN,1,,51,0.54,3,,97,192,
A4,SA,4784,UMBCAL,1,,98,1.46,4,,78,282,
A4,SA,,PSEMEN,1,D,103,0.95,1,,47,-167,
A4,SA,4786,PSEMEN,1,,130,1.39,1,,140,-173,
A4,SA,4785,PSEMEN,1,,92,1.05,1,,66,-94,
A4,SA,4796,PSEMEN,1,,144,0.97,1,,201,-220,
A4,SA,4795,UMBCAL,1,,106,0.93,1,,252,-163,
A4,SA,4800,PSEMEN,1,,120,0.79,1,,266,-150,
A4,SA,4794,PSEMEN,1,,95,0.77,1,,-168,-122,
A4,SA,4793,FRACAL,1,,125,0.75,3,,-170,-159,
A4,TR,4797,QUEAGR,1,,,,,6.8,-146,-205,
A4,TR,4802,QUEAGR,1,,,,,8.6,-197,-228,
A4,TR,4799,QUEAGR,1,,,,,13.6,-256,-210,
A4,TR,4798,QUEAGR,1,,,,,19.3,-212,-160,
A4,TS,4797.1,QUEAGR,1,,51,8.3,1,,-146,-205,
A4,SA,4792,PSEMEN,1,,61,0.41,1,,-67,-39,
A4,SA,,PSEMEN,1,,69,0.65,1,,-32,-21,
A4,SA,4790,PSEMEN,1,,168,1.34,1,,-21,-7,
A4,TR,4789,QUEAGR,1,,,,,16.9,-18,-38,
A4,TR,4791,QUEAGR,1,,,,,22,-68,-79,
A4,TR,4788,QUEAGR,1,,,,,19.2,-101,-14,
A4,TR,4787,PSEMEN,1,,,,,10.2,133,-10,
B4,TR,4831,ARBMEN,1,,,,,2.85,260,126,
B4,TR,4831.1,ARBMEN,1,,,,,1.32,260,126,
B4,TR,4831.2,ARBMEN,1,,,,,1.39,260,126,
B4,TR,,QUEAGR,0,D,,,,12.78,-219,210,
,,,,,,,,,,,,
B4,SA,4817,PSEMEN,1,,69,0.64,1,,68,-250,
B4,TS,4821,QUEAGR,1,,50,23,3,,110,287,
B4,SA,4804,FRACAL,1,,180,0.96,1,,47,-240,
B4,TR,4811,QUEAGR,1,,,,,50,11,-100,
B4,TR,4808,QUEAGR,1,,,,,28,44,-220,
B4,TR,4807,QUEAGR,1,,,,,64,92,-200,
B4,TR,4806,QUEAGR,1,,,,,48,135,-210,
B4,SA,4809,PSEMEN,1,,95,1.1,1,,23,-46,
B4,SA,4810,PSEMEN,1,,53,0.47,1,,9,-41,
B4,SA,4805,PSEMEN,1,,69,0.78,1,,109,-50,
B4,SA,4812,PSEMEN,1,,65,0.54,1,,-200,-23,
B4,SA,4813,QUEAGR,1,,62,0.79,2,,-67,-42,
B4,SA,4816,FRACAL,1,,101,0.57,1,,-38,-13,
B4,TR,4824,QUEAGR,1,,,,,60,-40,-110,
B4,SA,4825,FRACAL,1,,118,0.93,1,,-18,-53,
B4,SA,4815,PSEMEN,1,,85,0.95,1,,-30,-116,
B4,SA,4814,PSEMEN,1,,72,0.81,1,,-242,-232,
B4,SA,4818,PSEMEN,1,,76,0.79,1,,-138,-219,
B4,SA,4820,PSEMEN,1,,71,0.56,1,,-122,-273,
B4,SA,4819,PSEMEN,1,,68,0.57,1,,-20,260,
B4,SA,4826,PSEMEN,1,,50,0.57,1,,-48,225,
B4,TR,4830,QUEAGR,1,,,,,25,-141,200,
B4,TR,,QUEAGR,1,D,,,,31,-170,174,
B4,TR,,QUEAGR,0,D,,,,3.65,-59,191,
B4,TS,4827,QUEAGR,1,,74,0.33,4,,-5,185,
B4,SA,4828,FRACAL,1,,83,0.47,1,,-26,37,
B4,TR,4829,PSEMEN,1,,,,,2.01,-31,18,
,,,,,,,,,,, ,
B3,SA,4835,PSEMEN,1,,59,0.44,1,,64,-122,
B3,TR,4836,PSEMEN,1,,,,,1.2,94,-208,
B3,TR,4850,QUEAGR,1,,,,,3.89,58,152,
B3,SA,4849,PSEMEN,1,,65,0.63,1,,29,94,
B3,SA,4848,PSEMEN,1,,78,0.67,1,,38,69,
B3,SA,4847,PSEMEN,1,,78,0.59,1,,56,49,
B3,SA,5050,PSEMEN,1,,54,0.62,1,,48,16,
B3,SA,4833,FRACAL,1,,116,0.84,2,,93,38,
B3,SA,4845,PSEMEN,1,,57,0.68,1,,-103,8,
B3,SA,4844,QUEAGR,1,,85,0.5,1,,-175,53,
B3,TR,4843,QUEAGR,1,,,,,22.9,-74,193,
B3,TR,4838,QUEAGR,1,,,,,28.9,-52,-84,
B3,SA,4839,PSEMEN,1,,200,2.12,1,,-51,-135,
B3,SA,4840,AMOCAL,1,,90,0.45,1,,-23,-144,
B3,SA,4841,QUEAGR,1,,76,0.69,1,,-105,227,
B3,SA,4842,PSEMEN,1,,164,1.11,1,,-35,229,
B3,SA,4837,AMOCAL,1,,94,0.51,2,,-113,-16,
B3,SA,5051,AMOCAL,1,,74,0.31,2,,-173,-62,
B2,TR,4846,QUEAGR,1,,,,,22.05,-185,-15,
B2,SA,4855,FRACAL,1,,52,0.36,3,,-148,-19,
B2,SA,4851,PSEMEN,1,,82,0.79,1,,24,63,
B2,SA,4852,QUEAGR,1,,93,0.59,4,,44,-151,TYPE CHANGED TO SA; 20130603 MFO
B2,SA,4853,QUEAGR,1,,62,0.46,2,,-153,-291,
B2,TR,,QUEAGR,1,D,,11,,,55,-202,
B2,TR,4858,QUEAGR,1,,,,,19.2,-153,-196,
B2,TR,4857,QUEAGR,1,,,,,18,-109,-287,
B2,TR,,QUEAGR,1,D,,,,5.6,-62,-224,
,,,,,,,,,,,,
B2,TR,4854,PSEMEN,1,,,,,2.83,-145,128,
B1,SA,4863,QUEAGR,1,,62,0.54,1,,-72,234,
B1,SA,4862,PSEMEN,1,,107,0.95,1,,-145,207,
B1,TR,4872,QUEAGR,1,,,,,29.5,-50,302,
B1,TR,4871,QUEAGR,1,,,,,26.8,-33,186,
B1,TR,4873,QUEAGR,1,,,,,1.42,-70,162,
B1,SA,4859,PSEMEN,1,,86,0.56,1,,151,254,
B1,SA,4860,PSEMEN,1,,88,0.72,1,,187,242,
B1,TR,4870,QUEAGR,1,,,,,14,160,244,
B1,TR,,QUEAGR,1,D,,,,4.59,130,220,
B1,TR,4867,QUEAGR,1,,,,,9.2,130,180,
B1,TS,4874,QUEAGR,1,,75,8.2,1,,150,163,SIDE BRANCH ON STUMP
B1,TR,4869,QUEAGR,1,,,,,11.5,155,130,
B1,TR,4868,QUEAGR,1,,,,,5.9,178,135,
B1,TR,4865,FRACAL,1,,,,,2.5,52,197,
B1,TR,4865.2,FRACAL,1,,,,,1.5,52,197,
B1,TS,4865.1,FRACAL,1,,79,0.43,6,,52,197,
B1,SA,4864,UMBCAL,1,,64,0.36,1,,74,199,
B1,TR,4866,UMBCAL,1,,,,,1.1,98,105,
B1,SA,4875,PSEMEN,1,,64,0.51,1,,52,26,
B1,SA,4876,PSEMEN,1,,65,0.44,1,,90,19,
B1,SA,4861,PSEMEN,1,,59,0.34,1,,226,141,
C1,SA,,ARBMEN,0,D,61,2.1,1,,16,-68,
C1,SA,,ARBMEN,0,D,117,3.9,1,,109,-63,
C1,TR,4877,QUEAGR,1,,,,,4.3,238,197,
C1,TR,4877.1,QUEAGR,1,,,,,2.94,238,197,
C1,TR,4878,PSEMEN,1,,,,,1.9,-115,240,
C1,TR,4879,PSEMEN,1,,,,,1.26,-113,-52,
