Plot ID,PPW1322,,Sampler(s),"MFO, MNB, JEC, PP, JAR",,,,,Date ,20130307,,
Notes,,,,,,,,,,,,
Quad,Type,Tree Tag No.,Species,Confidence ,Dead/ Stump,SA or Stump Height (cm),SA or Stump BD (cm),SA  Branch #,DBH (cm), X (cm),Y (cm),Notes
A1,TR,2453,QUEDOU,0,,,,,40.2,-141,96,
A1,TR,2487,QUEDOU,0,,,,,20.6,-19,-122,
A1,SA,2488,QUEAGR,1,,84,1.45,1,,-99,478,
A2,TR,,QUEDOU,0,S,10,16.8,1,,475,-210,
A3,TR,2489,QUEDOU,0,,,,,40.9,58,-149,CHANGED TREE NUM FROM 2486 AFTER AUG20130 RESURVEY 20130810  MFO
B4,TR,,QUEAGR,1,S,10,7.4,1,,117,-87,
B3,TR,2490,QUEDOU,0,,,,,32.85,99,240,
B3,TR,,QUEDOU,0,S,,,,13.5,-226,43,
B4,TR,2000,QUEDOU,0,,,,,31.7,-26,253,
B2,TR,2491,QUEDOU,0,,,,,34.8,-165,-24,
B2,TR,2492,QUEAGR,1,,,,,41.4,-258,-59,
B2,TR,2493,QUEDOU,0,,,,,27.5,-120,60,
B1,TR,2495,BACPIL,1,,,,,2.31,-10,198
B1,TR,2495.1,BACPIL,1,,,,,1.52,-10,198
B1,TR,2495.2,BACPIL,1,,,,,1.89,-10,198
B1,TR,2495.3,BACPIL,1,,,,,1.6,-10,198
B1,TR,2495.4,BACPIL,1,,,,,1.3,-10,198
B1,TR,2495.5,BACPIL,1,,,,,1.53,-10,198
B1,TR,2495.6,BACPIL,1,,,,,1.84,-10,198
B1,TR,2495.7,BACPIL,1,,,,,1.78,-10,198
B1,TR,2495.8,BACPIL,1,,,,,1.39,-10,198
B1,TS,2495.9,BACPIL,1,,206,1.4,5,,-10,198
B1,TR,2494,QUEDOU,0,,,,,28.3,18,18
B1,TR,2496,QUEDOU,0,,,,,27.9,133,-133
C2,TR,2497,QUEDOU,0,,,,,36.8,-70,-123
C2,TR,2497.1,QUEDOU,0,,,,,32.25,-70,-123
D3,SA,2502,QUEAGR,1,,53,1.79,2,,14,-22
D3,TR,2505,QUEDOU,0,,,,,33.35,-76,-184
D3,SA,2503,QUEAGR,1,,93,1.58,3,,215,-65
D3,SA,2506,QUEAGR,1,,70,1.85,1,,-69,-216
D3,SA,2504,QUEAGR,1,,180,1.7,1,,-173,-189
D2,SA,2507,ARBMEN,1,,89,1.33,4,,-138,-151
