Plot ID,PPW1326,,Sampler(s),"MMJ,MFO,MNB,KMG",,,,,Date ,20130327,,
Notes,DOUG FIR / MIXED HARDWOOD ; ARBUTUS IN FLOWER,,,,,,,,,,,
,,,,,,,,,,,,
Quad,Type,Tree Tag No.,Species,Confidence ,Dead/ Stump,SA or Stump Height (cm),SA or Stump BD (cm),SA  Branch #,DBH (cm), X (cm),Y (cm),Notes
A1,SA  ,3501,UMBCAL,1,,171,1.05,1,,150,64,
A1,SA  ,3502,UMBCAL,1,,108,0.96,2,,141,89,
A1,TR,3397,PSEMEN,1,,,,,30.85,239,25,
A1,TR,3504,UMBCAL,1,,,,,1.99,168,269,
A1,SA,3511,UMBCAL,1,,180,1.69,2,,-30,172,
A1,TR,3400,PSEMEN,1,,,,,11.4,-30,55,
A1,TR,3543,UMBCAL,1,,,,,1.01,-44,83,
A1,SA,3503,UMBCAL,1,,76,0.84,4,,-183,210,
A1,SA,3506,UMBCAL,1,,63,0.37,1,,-188,247,
A1,SA,3510,UMBCAL,1,,87,0.64,1,,-152,264,GROWING FROM UNDER LOG
A1,TR,,QUEXXX,0,S,,,,19.1,-64,293,DBH AT 100 CM
A1,TR,,PSEMEN,1,D,,,,1.14,-70,-136,
A1,TR,3512,PSEMEN,1,,,,,13.2,-132,-140,
A1,SA,3508,UMBCAL,1,,113,0.89,2,,-166,-168,RING NOT AROUND STEM
A1,SA,3509,UMBCAL,1,,79,0.68,1,,-194,-184,
A1,TR,3514,PSEMEN,1,,,,,2.78,30,304,
A1,SA,3513,UMBCAL,1,,65,0.7,2,,61,-17,
A1,SA,3507,UMBCAL,1,,73,0.81,1,,-222,-40,
A2,TR,3515,PSEMEN,1,,,,,1.54,110,133,
A2,SA,,PSEMEN,1,D,200,1.99,1,,158,166,
A2,TR,,PSEMEN,1,D,,,,1.17,133,192,
A2,TR,3522,PSEMEN,1,,,,,14.6,160,211,
A2,SA,3516,UMBCAL,1,,63,0.92,1,,-269,180,
A2,SA,3518,UMBCAL,1,,69,1,3,,21,-67,
A2,SA,3520,UMBCAL,1,,57,1.23,2,,59,-57,
A2,SA,3519,UMBCAL,1,,75,1.04,1,,41,-259,
A2,TR,,PSEMEN,1,D,,,,12.5,250,-50,
A2,SA,3517,UMBCAL,1,,64,0.61,1,,-20,-160,ERODED AT 1.4 METERS
A2,SA,3521,UMBCAL,1,,104,0.99,1,,-58,-100,
,,,,,,,,,,,,
A3,TR,3523,QUEGAR,0,,,,,21.2,110,129,
A3,SA ,3524,UMBCAL,1,,60,0.55,1,,-92,-166,
A3,SA,3527,UMBCAL,1,,109,0.95,2,,140,120,
A3,SA,3525,UMBCAL,1,,97,0.78,2,,-246,-46,
A3,TR,3526,UMBCAL,1,,,,,1.26,181,-141,
A3,SA,3531,UMBCAL,1,,101,1.07,1,,68,155,
