Plot ID,PPW1316,,Sampler(s),"MMJ, MFO, MNB, JEC",,,,,Date ,20130314,,
Notes,,,,,,,,,,,,
Quad,Type,Tree Tag No.,Species,Confidence ,Dead/ Stump,SA or Stump Height (cm),SA or Stump BD (cm),SA  Branch #,DBH (cm), X (cm),Y (cm),Notes
A2,TR,2843,QUEAGR,1,,,,,30.7,146,140,
A2,TS,2843.1,QUEAGR,1,,53,0.39,1,,146,140,
A2,SA,2840,PSEMEN,1,,144,2.1,1,,-35,175,
A3,TR,2841,QUEAGR,1,,,,,42.4,-215,-320,
A3,TR,2846,QUEAGR,1,,,,,27,-145,-250,
A3,TR,2842,QUEKEL,1,,,,,45,-260,-240,
A3,SA,2847,QUEAGR,1,,106,1.14,1,,-160,-220,
A4,SA,2850,UMBCAL,1,,76,0.9,1,,147,130,
A4,SA,2848,BACPIL,1,,80,0.48,17,,-65,147,CHANGED NUM FROM 2840 AFTER AUG2013 RESURVEY 20130810 MFO
A4,TR,2849,QUEAGR,1,,,,,46.2,197,-220,
A4,TR,2849.1,QUEAGR,1,,,,,52.2,197,-220,
A4,TS,2849.2,QUEAGR,1,,,,,1.23,197,-220,
A4,TS,2849.3,QUEAGR,1,,,,,3.15,197,-220,
B3,TR,2852,QUEGAR,0,,,,,20.3,-163,-233,Split in tree
B2,SA,2801,UMBCAL,1,,68,1.06,2,,15,288,
B2,TR,2853,QUEAGR,1,,,,,35.3,70,50,
B2,TR,2853.1,QUEAGR,1,,,,,3.11,70,50,
B1,SA,2844,UMBCAL,1,,93,1.33,1,,131,-1,
B1,TR,2845,QUEAGR,1,,,,,2.17,190,-145,
B1,SA,2802,UMBCAL,1,,116,1.44,1,,3,-164,
B1,SA,2803,UMBCAL,1,,93,1.47,1,,-310,-215,
C2,TR,2854,QUEAGR,1,,,,,33.9,90,-120,
C2,TS,2854.1,QUEAGR,1,,114,1.57,1,,90,-120,
C3,SA,2851,UMBCAL,1,,56,0.97,1,,132,-70,
C3,TR,2855,QUEAGR,1,,,,,28.05,-50,-350,
C3,TR,2855.1,QUEAGR,1,,,,,1.01,-50,-350,
C3,TR,2856,QUEAGR,1,,,,,58.5,-145,-190,Sudden Oak Death
C3,TR,2856.1,QUEAGR,1,,,,,38,-145,-190,Sudden Oak Death
D4,TR,2839,QUEAGR,1,,,,,61.3,-72,-139,
D4,TR,2839.1,QUEAGR,1,,,,,21,-72,-139,
D4,TR,2839.2,QUEAGR,1,,,,,24,-72,-139,
D2,TR,2857,QUEAGR,1,,,,,31.3,-193,23,POISON OAK DBH TAKEN AT A DISTANCE WITH A METRE TAPE
D2,TR,2857.1,QUEAGR,1,,,,,1.55,-193,23,
D1,SA,2858,UMBCAL,1,,80,1.99,1,,-75,-77,
