Plot ID,PPW1336,,Sampler(s),"MFO, MNB, JSF, PAP",,,,,Date ,20130315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quad,Type,Tree Tag No.,Species,Confidence ,Dead/ Stump,SA or Stump Height (cm),SA or Stump BD (cm),SA  Branch #,DBH (cm), X (cm),Y (cm),Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2,TR,2901,QUEAGR,1,,,,,15.8,-11,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3,TR,2904,QUEAGR,1,,,,,28,244,230,DBH at 130cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3,TR,2905,QUEAGR,1,,,,,10,229,-140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3,TR,2902,QUEAGR,1,,,,,35,-57,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3,TR,2902.1,QUEAGR,1,,,,,30.2,-57,93,DBH at 150cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3,TR,2903,QUEAGR,1,,,,,21.5,-35,123,DBH at 150cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3,SA,2906,PSEMEN,1,,67,1.31,1,,213,-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4,TR,2911,QUEAGR,1,,,,,26.4,-177,133,DBH at 150cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4,TR,2908,QUEAGR,1,,,,,11.5,239,-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4,TR,2908.1,QUEAGR,1,,,,,2.59,239,-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4,TR,2910,QUEAGR,1,,,,,13.5,-140,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4,TR,2910.1,QUEAGR,1,,,,,1.54,-140,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4,SA,2907,UMBCAL,1,,63,1.01,1,,-204,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4,TR,2909,QUEDEC,0,,,,,23.5,-204,-235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B4,TR,2912,QUEKEL,0,,,,,36.6,95,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B4,TR,2913,QUEKEL,0,,,,,10.3,58,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3,TR,,QUEAGR,1,D,,,,9,-276,-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3,SA,2914,PSEMEN,1,,100,1.72,1,,-191,-172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,TR,2915,QUEAGR,1,,,,,29.5,234,-132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,TR,2915.1,QUEAGR,1,,,,,21.5,234,-132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,TR,,UNKNOW,0,D,,,,6.8,219,-167,"MARKED as stump, but I guess Dead ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,TR,2916,QUEKEL,0,,,,,14,293,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,TR,2917,QUEAGR,1,,,,,10.4,-130,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,TR,2917.1,QUEAGR,1,,,,,7.6,-130,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,TR,2917.2,QUEAGR,1,,,,,4.1,-130,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1,TR,2918,QUEDEC,0,,,,,25.2,97,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1,TR,2919,QUEAGR,1,,,,,30.9,-270,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1,TR,2920,QUEDEC,0,,,,,25.7,-210,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2,TR,2921,QUEAGR,1,,,,,31.8,-35,-60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2,SA,2928,PSEMEN,1,,88,1.24,1,,189,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3,SA,2924,UMBCAL,1,,66,1.26,1,,-74,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3,TR,2922,QUEAGR,1,,,,,47.6,158,-155,Suspiciously matched DBH measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3,TR,2923,QUEAGR,1,,,,,47.6,154,-86,"DBH ar 155cm, Suspiciously matched DBH measures ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3,TR,2923.1,QUEAGR,1,,,,,27.8,154,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4,SA,2925,UMBCAL,1,,84,2.09,2,,-32,-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4,TR,,ARCMAN,0,D,,,,9.5,187,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4,TR,2926,QUEAGR,1,,,,,16.15,255,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,TR,2927,QUEAGR,1,,,,,13.6,5,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4,TR,,QUEAGR,0,D,,,,12,-181,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
