Plot ID,PPW1305,,Sampler(s),"MFO, MNB, MMJ, JEC",,,,,Date ,20130207,,
Notes,,,,,,,,,,,,
Quad,Type,Tree Tag No.,Species,Confidence ,Dead/ Stump,SA or Stump Height (cm),SA or Stump BD (cm),SA  Branch #,DBH (cm), X (cm),Y (cm),Notes
A1,TR,1047,HETARB,1,,,,,7.3,119,335,TOYON
A1,TR,1047.1,HETARB,1,,,,,5.91,119,335,
A1,TS,1047.2,HETARB,1,,,,,2.8,119,335,
A2,SA,1049,UMBCAL,1,,74,5.9,1,,354,30,
A2,TR,1048,UMBCAL,1,,,,,13.8,98,117,
A2,TR,1050,UMBCAL,1,,,,,20.5,126,245,
A2,TR,1050.1,UMBCAL,1,,,,,16.7,126,245,
A2,TS,1050.2,UMBCAL,1,,,,,1.8,126,245,
A2,TS,1050.3,UMBCAL,1,,,,,2.17,126,245,
A2,TR,1052,HETARB,1,,,,,4.96,68,423,TOYON
A2,TS,1052.1,HETARB,1,,,,,4.44,68,423,
A2,TS,1052.2,HETARB,1,,,,,2.98,68,423,
A2,TS,1052.3,HETARB,1,,,,,4.77,68,423,
A2,TS,1052.4,HETARB,1,,,1.64,,,68,423,DBH at 10cm bc DBH<1cm
A3,TR,1053,QUEAGR,1,,,,,46.6,30,40,
A3,TR,1054,HETARB,1,,,,,3.95,94,46,
A3,TS,1054.2,HETARB,1,,,,,1.88,94,46,
A3,TS,1054.3,HETARB,1,,,,,4.04,94,46,
A3,TS,1054.1,HETARB,1,,,,,2.01,94,46,
A4,SA,1056,UMBCAL,1,,54,0.86,2,,380,24,
A4,TR,1055,UMBCAL,1,,,,,31.95,183,457,
A4,TS,1055.3,UMBCAL,1,,,,,5.45,183,457,
A4,TS,1055.2,UMBCAL,1,,,,,5.5,183,457,
A4,TS,1055.1,UMBCAL,1,,,,,8.05,183,457,
A4,TS,1055.5,UMBCAL,1,,,,,2.1,183,457,
B4,SA,1057,UMBCAL,1,,63,0.84,1,,278,184,
B4,SA,1058,QUEAGR,1,,179,1.82,2,,427,287,
B3,TR,1059,QUEAGR,1,,,,,28.4,84,397,
B3,TR,1060,UMBCAL,1,,,,,2.07,121,162
B3,SA,1066,UMBCAL,1,,76,0.72,1,,199,190
B3,SA,1062,QUEAGR,1,,147,1.64,2,,305,75
B3,SA,1063,UMBCAL,1,,51,0.43,1,,365,229
B2,SA,1064,UMBCAL,1,,59,0.61,1,,228,410
B2,TR,1065,UMBCAL,1,,,,,14.6,176,306
B2,TS,1065.1,UMBCAL,1,,,,,11.85,176,306
B2,TS,1065.2,UMBCAL,1,,,,,7.2,176,306
B2,TS,1065.3,UMBCAL,1,,,,,11.5,176,306
B2,TS,1065.4,UMBCAL,1,,,,,8.65,176,306
B2,TR,1067,UMBCAL,1,,,,,14.4,125,116
B2,TS,1067.1,UMBCAL,1,,,,,9.3,125,116
B2,TS,1067.2,UMBCAL,1,,,,,10.9,125,116
B2,TS,1067.3,UMBCAL,1,,,,,4.3,125,116
B2,TR,1068,UMBCAL,1,,,,,16.25,280,38
B2,TR,1068.1,UMBCAL,1,,,,,15.4,280,38
B1,TR,1069,UMBCAL,1,,,,,14,117,389,
B1,TR,1069.2,UMBCAL,1,,,,,9.9,117,389,
B1,TR,1069.1,UMBCAL,1,,,,,3.02,117,389,
B1,TR,1069.3,UMBCAL,1,,,,,8.05,117,389,
B1,TR,1070,UMBCAL,1,,,,,7.4,146,196,
B1,SA,1072,UMBCAL,1,,170,1.74,2,,161,41,
C1,SA,1074,UMBCAL,1,,164,2.84,1,,102,102,
C1,SA ,1076,UMBCAL,1,,64,0.58,1,,159,167,
C1,SA,1077,UMBCAL,1,,77,1.01,2,,177,143,
C1,TR,1075,QUEAGR,1,,,,,50.25,236,114,
C1,SA,1078,UMBCAL,1,,154,2.98,2,,398,27,
C1,SA,1079,UMBCAL,1,,60,0.99,2,,382,210,
C1,SA,1080,UMBCAL,1,,65,0.91,2,,411,244,
C1,SA,1083,ARBMEN,1,,53,1.73,2,,208,499,madrone
C2,TR,1084,QUEAGR,1,,,,,34.5,203,444,
C3,SA,1085,QUEAGR,1,,249,4.65,2,,109,474,
C4,TR,1086,QUEAGR,1,,,,,2.61,86,96,
C4,SA,1088,QUEAGR,1,,120,1.09,1,,183,196,
C4,SA,1087,UMBCAL,1,,109,1.28,1,,95,305,
C4,TR,1093,QUEAGR,1,,,,,2.84,358,94,
C4,SA,1089,UMBCAL,1,,183,2.16,1,,146,207,
C4,SA,1090,UMBCAL,1,,110,1.94,3,,221,349,"1090.1 REMOVED, INCORRECT TAGGING, ADDED 1 TO BRANCH NUM; 20130614 MFO "
C4,SA ,1091,UMBCAL,1,,145,2.58,1,,100,433,POISON OAK AND NOT A BAY?
D4,TR,1100,QUEAGR,1,,,,,4.68,24,309,
D4,TR,1095,QUEAGR,1,,,,2,6.71,79,219,
D4,SA,1098,UMBCAL,1,,67,1.46,1,,172,209,
D4,SA,1199,UMBCAL,1,,271,2.99,1,,322,209,
D4,SA,1198,QUEAGR,1,,185,2.03,3,,422,179,"1198.1 REMOVED, INCORRECT TAGGING, ADDED 1 TO BRANCH NUM; 20130614 MFO "
D4,SA,1099,UMBCAL,1,,81,1.14,1,,291,342,
D4,TR,1197,QUEAGR,1,,,,3,2.28,486,413,
D3,TR,1193,QUEAGR,1,,,,,92,117,182,
D3,SA,1195,UMBCAL,1,,118,1.2,1,,74,343,
D3,SA,1196,UMBCAL,1,,56,0.71,1,,130,329
D3,SA,1194,QUEAGR,1,,190,1.56,1,,96,393
D3,SA,1191,UMBCAL,1,,66,0.94,1,,348,115
D3,SA,1192,QUEAGR,1,,52,0.85,1,,19,21
D2,SA,1185,ARBMEN,1,,123,2.12,2,,74,308
D2,SA,1186,QUEAGR,1,,58,0.62,2,,211,186
D2,SA,1189,UMBCAL,1,,88,1.02,1,,353,235
D2,SA,1188,UMBCAL,1,,145,2.1,1,,372,194
D2,SA,1190,UMBCAL,1,,54,0.73,1,,444,236
D2,SA,1187,UMBCAL,1,,55,0.98,1,,479,7
D1,SA,1184,UMBCAL,1,,83,1.04,2,,499,487
D1,SA,1181,UMBCAL,1,,74,1.04,1,,178,244
D1,SA,1180,UMBCAL,1,,104,1.47,2,,151,186
D1,TR,1182,QUEAGR,1,,,,,31.8,302,132
D1,SA ,1183,UMBCAL,1,,32,1.18,1,,366,287
