Plot ID,PPW1327,,Sampler(s),"MNB,MFO",,,,,Date ,20130424,,
Notes,CHANGED ALL UNKN27 TO UNKN27 20130810 ,,,,,,,,,,,
,,,,,,,,,,,,
Quad,Type,Tree Tag No.,Species,Confidence ,Dead/ Stump,SA or Stump Height (cm),SA or Stump BD (cm),SA  Branch #,DBH (cm), X (cm),Y (cm),Notes
A1,TR,4347,PSEMEN,1,,,,,12.2,-152,104,
A1,SA,4348,HETARB,1,,145,1.16,1,,-236,74,
A1,TR,4350,HETARB,1,,,,,1.92,33,12,
A1,TR,4350.1,HETARB,1,,,,,1.28,33,12,
A1,TR,4350.2,HETARB,1,,,,,1.4,33,12,
A1,TS,4350.3,HETARB,1,,210,1.32,3,,33,12,
A1,TR,,PSEMEN,1,D,,,,1.63,4,190,
A1,TR,,PSEMEN,1,D,,,,3.5,56,180,
A1,SA,4351,HETARB,1,,119,0.68,2,,130,234,
A1,TR,4363,PSEMEN,1,,,,,2.82,41,-178,
A1,TR,4356,PSEMEN,1,,,,,3.11,46,-164,
A1,SA,4362,HETARB,1,,217,0.97,5,,37,-173,
A1,TR,4359,PSEMEN,1,,,,,4.97,41,-73,
A1,TS,4361,HETARB,1,,167,0.79,5,,51,-96,
A1,SA,4360,QUEBER,0,,80,0.26,6,,19,-81,
A1,TR,4358,PSEMEN,1,,,,,2.2,84,-13,
A1,TR,4357,PSEMEN,1,,,,,4.1,134,-17,
A1,TR,4352,PSEMEN,1,,,,,3.62,183,-112,
A1,SA,,PSEMEN,1,D,135,1.75,1,,206,-2,
A1,SA,4353,HETARB,1,,85,0.45,4,,-210,-108,
A1,TR,4354,QUEAGR,1,,,,,77.6,-166,-97,
A1,TR,4354.1,QUEAGR,1,,,,,63.5,-166,-97,
A2,SA,4355,HETARB,1,,57,0.32,4,,-115,33,
A2,TR,4365,PSEMEN,1,,,,,2.09,-269,145,
A2,TR,4368,PSEMEN,1,,,,,1.11,-222,157,
A2,TR,,PSEMEN,1,D,,,,1.05,-178,294,
A2,TR,4364,PSEMEN,1,,,,,2.84,72,93,
A2,SA,,PSEMEN,1,D,,1.68,1,,159,259,BROKEN 
A2,TR,4366,PSEMEN,1,,,,,4.01,193,212,
,,,,,,,,,,,,
A2,SA,4367,PSEMEN,1,,199,1.64,1,,260,233,
A2,TR,4370,ARBMEN,1,,,,,24.9,4,-119,
A2,TR,4370.1,ARBMEN,1,,,,,20.4,4,-119,
A2,SA ,4371,QUEBER,0,,53,0.34,1,,194,-89,
A2,TR,,PSEMEN,0,S,,,,13,-270,-48,
A2,TR,4374,HETARB,1,,,,,4.52,-175,-58,
A2,TR,4374.1,HETARB,1,,,,,3.39,-175,-58,
A2,TR,4374.2,HETARB,1,,,,,1.67,-175,-58,
A2,TR,4374.3,HETARB,1,,,,,1.73,-175,-58,
A2,TR,4374.4,HETARB,1,,,,,1.59,-175,-58,
A2,TR,4377,PSEMEN,1,,,,,9.05,-113,100,
A2,TR,4379,HETARB,1,,,,,1.96,-197,115,
A2,TR,4379.1,HETARB,1,,,,,1.95,-197,115,
A2,TR,4379.2,HETARB,1,,,,,1.26,-197,115,
A2,TS,4379.3,HETARB,1,,200,1.79,5,,-197,115,
A3,SA ,4375,PSEMEN,1,,136,1.18,1,,247,172,
A3,TR,4372,PSEMEN,1,,,,,24.7,28,97,
A3,SA,4376,QUEAGR,1,,268,0.41,1,,38,214,
A3,SA,4373,PSEMEN,1,,141,1.47,1,,102,255,
A3,TR,4382,HETARB,1,,,,,1.59,6,-112,
A3,TR,4382.1,HETARB,1,,,,,1.03,6,-112,
A3,TS,4382.2,HETARB,1,,198,0.89,1,,6,-112,
A3,SA,,PSEMEN,1,D,100,1.22,1,,127,-36,
A3,SA,4381,QUEAGR,1,,66,0.54,2,,153,-120,
A3,TR,4380,PSEMEN,1,,,,,1.63,303,-86,
A3,SA,,PSEMEN,1,D,178,2.2,1,,287,-158,
