Plot ID,PPW1321,,Sampler(s),"MNB, MFO, JEC",,,,,Date ,20130307,,
Notes,ALL UNKN21 REPLACED WITH AMOCAL AFTER AUG20130 RESURVEY 20130810 MFO,,,,,,,,,,,
Quad,Type,Tree Tag No.,Species,Confidence ,Dead/ Stump,SA or Stump Height (cm),SA or Stump BD (cm),SA  Branch #,DBH (cm), X (cm),Y (cm),Notes
A1,SA,2353,CERBET,0,,86,0.81,3,,-161,80,SPECIES CHANGED FROM CEOCUN TO CERBET 20141026
A1,TR,,QUEAGR,0,S,,,,20.9,-247,251,
A1,SA,2350,UMBCAL,1,,57,1.26,1,,-161,-191,
A1,SA,2352,UMBCAL,1,,64,1.37,1,,-143,-262,
A1,SA,2351,FRACAL,0,,66,0.68,1,,-230,-209,CHANGED TO 'FRACAL' SPECIES; 20130605
A2,SA,2355,UMBCAL,1,,57,0.7,1,,-63,194,
A2,SA,2354,UMBCAL,1,,74,1.18,1,,198,210,
A2,TR,2356,QUEGAR,0,,,,,25.5,-153,-70,
A2,SA,2358,UMBCAL,1,,72,1.3,3,,129,-18,
A3,SA,2360,UMBCAL,1,,97,1.1,1,,95,84,
A3,SA,2359,UMBCAL,1,,115,1.65,2,,23,11,
A2,TR,2357,QUEGAR,0,,,,,17,-97,-100,
A3,SA,2365,ARBMEN,1,,61,0.76,1,,36,-158,
A3,TR,2363,ARBMEN,1,,,,,44.9,35,267,
A3,SA,2364,UMBCAL,1,,66,0.63,2,,-122,138,
A3,SA,2361,UMBCAL,1,,54,0.65,2,,207,96,
A3,SA,2362,UMBCAL,1,,56,0.91,1,,336,173,
A3,TR,,PSEMEN,0,S,10,6.2,,,460,-140,
A3,SA,2367,UMBCAL,1,,73,0.93,1,,45,-19,
A3,SA,2366,UMBCAL,1,,84,1.23,1,,-92,-112,
A3,SA,2373,FRACAL,0,,52,0.3,1,,-53,-18,CHANGED TO 'FRACAL' SPECIES; 20130605
A4,SA,2368,UMBCAL,1,,52,0.47,1,,-128,3,
A4,SA,2371,FRACAL,0,,53,0.51,1,,61,146,CHANGED TO 'FRACAL' SPECIES; 20130605
A4,SA,2370,UMBCAL,1,,53,0.66,1,,146,153,
A4,SA,2369,UMBCAL,1,,66,0.98,1,,224,117,
A4,SA,2372,UMBCAL,1,,81,1.36,1,,185,247,
A4,SA,2375,UMBCAL,1,,43,0.66,2,,179,500,
A4,TR,2374,QUEGAR,0,,,,,22.55,-195,-78,
A4,SA,2376,UMBCAL,1,,59,1.12,2,,-105,-31,
B4,SA,2377,UMBCAL,1,,117,2.62,1,,52,-25,
B4,SA,2383,UMBCAL,1,,61,0.55,1,,31,252,
B4,SA,2382,UMBCAL,1,,82,1.15,1,,59,220,
B4,TR,2384,QUEKEL,0,,,,,21.5,39,201,
B4,SA,2379,UMBCAL,1,,53,1.09,1,,-78,-216,
B4,SA,2378,UMBCAL,1,,104,1.9,1,,224,-232,
B4,TR,2390,QUEGAR,0,,,,,21.45,313,-230,
B4,SA,2380,UMBCAL,1,,52,1.25,1,,-142,301,
B4,SA,2381,UMBCAL,1,,90,1.5,1,,-135,241,
B4,SA,2388,UMBCAL,1,,96,1.8,1,,-172,198,
B4,SA,2389,FRACAL,0,,68,0.7,1,,-125,115,CHANGED TO 'FRACAL' SPECIES; 20130605
B4,SA,2385,UMBCAL,1,,81,1.32,1,,115,67,
B4,SA,2386,FRACAL,0,,66,0.54,1,,175,37,
B4,TR,2387,QUEAGR,1,,,,,29.9,228,25,
B4,TR,2387.1,QUEAGR,1,,,,,12.65,228,25,Point 1? Damaged
B3,SA,2392,FRACAL,1,,66,0.68,1,,45,-171,CHANGED TO 'FRACAL' SPECIES; 20130605
B3,SA,2391,UMBCAL,0,,73,1.03,1,,182,-59,
B3,SA,2400,UMBCAL,1,,51,1.12,1,,133,38,
B3,SA,2399,UMBCAL,1,,62,1.11,1,,73,79,
B3,SA,2398,UMBCAL,1,,78,1.04,1,,119,122,
B3,SA,2397,QUEAGR,1,,53,0.4,2,,56,216,
B3,SA,2396,UMBCAL,1,,65,0.68,1,,-1,-129,
B3,SA,2394,ARBMEN,1,,73,0.82,2,,-2,-76,
B3,SA,2393,UMBCAL,1,,65,1.14,2,,-87,-39,
B2,SA,2401,PSEMEN,1,,79,1.36,2,,-74,236,
B2,SA,2402,PSEMEN,1,,71,1.1,1,,127,102,
B1,TR,2403,QUEGAR,0,,,,,28.45,175,291,
B1,SA,2402,FRACAL,0,,54,0.37,1,,72,38,CHANGED TO 'FRACAL' SPECIES; 20130605
C1,TR,2405,QUEGAR,0,,,,,31.5,115,237,
C1,SA,2406,UMBCAL,1,,67,1.48,1,,65,311,
C1,SA,2408,FRACAL,0,,64,0.34,1,,91,-73,CHANGED TO 'FRACAL' SPECIES; 20130605
C1,TR,2407,QUEGAR,0,,,,,29.7,142,-88,
C2,SA,2414,UMBCAL,1,,69,1.94,1,,-63,137,
C2,SA,2413,UMBCAL,1,,72,1.63,1,,-265,146,
C2,SA,2409,UMBCAL,1,,51,0.92,2,,-340,95,
C2,SA,2410,UMBCAL,1,,61,1.27,1,,89,-290,
C2,SA,2411,FRACAL,0,,60,0.75,1,,127,-257,CHANGED TO 'FRACAL' SPECIES; 20130605
C2,SA,2412,UMBCAL,1,,54,0.7,1,,181,-236,
C2,TR,2418,QUEGAR,0,,,,,25.55,110,-64,
C2,SA,2415,UMBCAL,1,,51,1.3,1,,141,-94,
C2,SA,2416,UMBCAL,1,,62,1.64,3,,157,-20,
C2,SA,2417,UMBCAL,1,,98,1.64,1,,217,500,
C3,TR,2419,UMBCAL,1,,,,,27,131,152,
C3,SA,2420,QUEGAR,0,,61,1.29,1,,58,243,
C3,SA,2424,UMBCAL,1,,81,1.33,1,,37,-212,
C3,SA,2423,UMBCAL,1,,77,0.99,1,,56,-189,
C3,SA,2484,UMBCAL,1,,52,0.69,1,,97,-164,
C3,SA,2421,UMBCAL,1,,63,0.94,1,,57,-130,
C3,SA,2395,UMBCAL,1,,52,1.14,2,,9,-48,
C3,TR,2425,QUEGAR,0,,,,,17.45,35,-151,
C3,SA,2422,UMBCAL,1,,68,1.34,2,,168,-70,
C3,SA,,PSEMEN,0,S,10,6.4,,,-39,215,
C3,SA,2426,UMBCAL,1,,53,0.56,1,,-88,-109,
C4,SA,2427,UMBCAL,1,,51,1.96,1,,180,164,
C4,SA,2429,FRACAL,0,,68,0.51,1,,18,98,CHANGED TO 'FRACAL' SPECIES; 20130605
C4,SA,2428,UMBCAL,1,,74,1.1,1,,63,65,
C4,SA,2430,FRACAL,0,,60,0.58,1,,-202,-5,CHANGED TO 'FRACAL' SPECIES; 20130605
C4,SA,2431,FRACAL,0,,52,0.47,1,,-262,-74,CHANGED TO 'FRACAL' SPECIES; 20130605
C4,TR,,PSEMEN,0,S,10,6.02,,,-265,-62,
C4,SA,2432,UMBCAL,1,,61,1.48,2,,-29,-141,
D4,SA,2433,UMBCAL,1,,77,1.2,2,,112,-62,
D4,SA,2434,UMBCAL,1,,84,1.88,1,,171,-47,
D4,SA,2435,UMBCAL,1,,61,1.14,1,,241,186,
D3,TR,2439,QUEGAR,0,,,,,20,17,-150,
D3,TR,,QUEGAR,0,S,,7.6,,,29,-80,
D3,SA,2485,UMBCAL,1,,53,0.68,1,,643,-132,
D3,SA,2436,UMBCAL,1,,61,1.15,1,,74,-105,
D3,SA,2437,UMBCAL,1,,55,1,1,,11,180,
D3,SA,2438,FRACAL,0,,85,0.52,1,,68,164,
D3,SA,2440,AMOCAL,0,,174,2.18,17,,185,133,AMOCAL - UNKNOWN PLANT FROM PLT 21
D3,SA,2441,UMBCAL,1,,93,1.24,1,,-105,232,
D3,SA,2486,UMBCAL,1,,52,0.9,1,,-134,22,
D3,TR,2442,QUEGAR,0,,,,,11.5,-26,164,
D2,TR,2448,QUEKEL,0,,,,,17.65,177,-51,
D2,TR,,PSEMEN,0,S,10,4.35,,,193,-44,
D2,SA,2445,UMBCAL,1,,61,0.72,1,,43,150,
D2,SA,2449,UMBCAL,1,,147,1.81,1,,150,167
D2,SA,2450,UMBCAL,1,,98,1.21,1,,171,135
D2,SA,2451,UMBCAL,1,,68,1.69,1,,137,210
D2,SA,2452,AMOCAL,0,,200,2.45,18,,205,226
D2,SA,2443,UMBCAL,1,,78,1.03,1,,27,-87
D2,SA,2444,AMOCAL,0,,203,1.72,3,,253,-134
D2,SA,2446,AMOCAL,0,,178,1.34,1,,262,-95
D2,SA,2447,AMOCAL,0,,251,2.35,2,,187,-164
D2,SA,2445,AMOCAL,0,,172,2.17,1,,178,-105
D2,SA,2456,AMOCAL,0,,121,1.35,2,,62,236
D2,SA,2457,AMOCAL,0,,104,1.26,1,,113,203
D2,SA,2461,AMOCAL,0,,148,1.47,2,,117,148
D2,SA,2460,AMOCAL,0,,112,0.95,2,,215,165
D2,SA,2458,UMBCAL,1,,155,1.05,1,,234,148
D2,SA,2459,AMOCAL,0,,114,1.78,5,,262,178
D2,SA,2454,AMOCAL,0,,196,1.94,2,,281,220
D2,TR,2462,QUEKEL,0,,,,,17.4,212,118
D2,SA,2472,AMOCAL,0,,114,1.45,1,,232,88
D2,SA,2471,UMBCAL,1,,81,0.65,1,,258,107
D2,SA,2473,AMOCAL,0,,196,1.28,3,,279,55
D2,SA,2464,AMOCAL,0,,119,1.18,1,,99,23
D2,SA,2465,UMBCAL,1,,126,1.37,1,,87,6
D2,SA,2466,AMOCAL,0,,161,1.49,2,,44,4
D2,SA,2478,AMOCAL,0,,163,1.62,1,,-186,178
D2,TR,2463,UMBCAL,1,,,,,1.28,-146,124
D2,SA,2467,AMOCAL,0,,205,1.53,5,,-135,100
D2,SA,2468,AMOCAL,0,,168,1.41,1,,-155,51
D2,SA,2479,UMBCAL,1,,62,0.79,1,,-110,44
D2,SA,2470,AMOCAL,0,,195,2.03,4,,-102,77
D2,SA,2469,AMOCAL,0,,157,1.64,3,,-95,112
D1,TR,2475,QUEGAR,0,,,,,15.3,-208,-12
D1,SA,2474,UMBCAL,1,,56,0.66,1,,-149,-70,
D1,SA,2476,UMBCAL,1,,54,0.97,1,,109,-89,
