SORT,Plot ID,PPW1330,,Sampler(s),"MFO, MNB, MAP, PP, JAR",,,,,Date ,20130329,,
1,Notes,,,,,,,,,,,,
2,,,,,,,,,,,,,
3,Quad,Type,Tree Tag No.,Species,Confidence ,Dead/ Stump,SA or Stump Height (cm),SA or Stump BD (cm),SA  Branch #,DBH (cm), X (cm),Y (cm),Notes
4,A1,TR,3454,QUEGAR,0,,,,,31.5,32,161,
5,A1,SA,3453,UMBCAL,1,,61,0.89,1,,146,63,
6,A1,SA,3447,UMBCAL,1,,193,1.41,1,,209,99,
7,A1,SA,3446,UNKN30,0,,183,1.05,29,,-272,44,FIRST UNKNOWN OF PLOT 1330 - RHAMNUS?
8,A1,SA,3412,UMBCAL,1,,188,1.18,1,,186,180,
9,A1,SA,3456,UMBCAL,1,,124,1.14,2,,211,238,
10,A1,SA,3457,AMOCAL,0,,140,0.98,1,,90,-174,AMOCAL OR QUERCUS ?
11,A1,SA,3421,UMBCAL,1,,100,1.23,1,,94,-214,
12,A1,TR,3455,PSEMEN,1,,,,,4.15,58,-191,
13,A1,SA,3419,UMBCAL,1,,200,2.36,1,,33,-180,
14,A1,SA,3422,AMOCAL,0,,151,0.97,1,,35,-159,
15,A1,SA,3418,UMBCAL,1,,200,1.8,1,,70,-87,
16,A1,SA,3417,AMOCAL,0,,174,1.32,1,,78,-146,
17,A1,SA,3423,FRACAL,0,,104,0.63,1,,160,-45,
18,A1,SA,3727,QUEAGR,1,,56,0.48,2,,198,-91,
19,A1,SA,3424,UMBCAL,1,,58,0.52,1,,235,-49,
20,A1,TR,3459,UMBCAL,1,,,,,1.42,-149,-31,
21,A1,TR,3459.1,UMBCAL,1,,,,,1.68,-149,-31,
22,A1,SA,3458,UMBCAL,1,,200,1.5,1,,-124,-133,
23,A1,SA,3469,UMBCAL,1,,162,1.27,1,,-98,-148,
24,A1,SA,3460,FRACAL,0,,138,0.8,1,,-171,-258,
25,A1,SA,3416,AMOCAL,0,,140,1.18,3,,315,217,
26,A1,TR,3415,AMOCAL,0,,,,,1.22,76,-41,
27,A1,TR,3415.1,AMOCAL,0,,,,,1.14,76,-41,
28,A1,TS,3415.2,AMOCAL,0,,167,1.68,2,,76,-41,
29,A1,SA,3413,QUEAGR,1,,112,0.76,6,,-20,176,
30,A1,SA,3463,UMBCAL,1,,161,1.28,1,,-7,219,
31,A1,SA,3462,UMBCAL,1,,104,0.87,1,,-34,197,
32,,,,,,,,,,,,,
33,A1,SA,3461,UMBCAL,1,,164,1.35,1,,-62,226,
34,A1,SA,3464,HETARB,1,,54,0.41,1,,-95,-219,
35,A1,SA,3465,QUEAGR,1,,70,0.47,1,,-42,-221,LOOKS LIKE DYING
36,A1,SA,3473,UMBCAL,1,,200,1.2,1,,-27,-101,
37,A1,SA,3471,UMBCAL,1,,90,0.43,1,,-43,-124,
38,A1,TR,3467,AMOCAL,0,,,,,1.16,-19,-129,
39,A1,SA,3467.1,AMOCAL,0,,200,1.3,2,,-19,-129,
40,A1,SA,3789,FRACAL,0,,200,1.54,1,,-8,-138,
41,A1,TR,3468,UMBCAL,1,,,,,2.3,-45,-142,"INPUTED 2.3 INTO 'DBH' FROM SCAN, MISSED; 20130603 MFO"
42,A1,SA,3426,UMBCAL,1,,78,0.69,1,,74,125,
43,A1,SA,3427,PSEMEN,1,,61,0.56,1,,65,141,
44,A1,TR,3428,FRACAL,0,,,,,1.76,36,155,
45,A2,TR,3474,QUEGAR,0,,,,,21.75,99,168,
46,A2,SA,3429,UMBCAL,1,,92,1.27,2,,24,176,
47,A2,SA,3430,UMBCAL,1,,52,0.28,1,,32,171,TINY!
48,A2,SA,3475,UMBCAL,1,,70,0.56,1,,22,204,
49,A2,SA,3799,UMBCAL,1,,200,1.4,3,,17,-93,
50,A2,SA,3481,AMOCAL,0,,140,0.83,3,,114,168,
51,A2,SA,3478,FRACAL,0,,109,1.02,1,,155,145,
52,A2,SA,3479,UMBCAL,1,,138,1.25,1,,115,209,
