Plot ID,PPw1350,,Sampler(s),"MFO, MJP, MNB",,,,,Date ,20130416,,
Notes,,,,,,,,,,,,
Quad,Type,Tree Tag No.,Species,Confidence ,Dead/ Stump,SA or Stump Height (cm),SA or Stump BD (cm),SA  Branch #,DBH (cm), X (cm),Y (cm),Notes
A1,TR,4194,QUEAGR,1,,,,,17.75,120,140,
A1,TR,4196,HETARB,1,,,,,2.5,170,115,
A1,TR,4196.1,HETARB,1,,,,,1.12,170,115,
A1,TR,4196.2,HETARB,1,,,,,1,170,115,
A1,TS,9196.3,HETARB,1,,200,0.9,9,,170,115,
A1,SA,4116,HETARB,1,,215,2.03,3,,-7,18,
A1,SA,4118,AMOCAL,1,,109,0.58,7,,-95,-244,
A1,SA,4117,AMOCAL,1,,139,0.66,3,,-171,207,
A1,SA,4121,UMBCAL,1,,65,0.67,1,,-244,-244,
A1,SA,4159,AMOCAL,1,,110,0.62,3,,20,-241,
A1,SA,4160,AMOCAL,1,,102,0.5,5,,130,-180,
A1,SA,4300,AMOCAL,1,,164,1.01,9,,-184,-163,
A1,SA,4067,AMOCAL,1,,171,1.53,8,,-190,-97,
A1,SA,4119,AMOCAL,1,,131,0.86,4,,-50,-72,
A1,TR,4120,UMBCAL,1,,,,,1,-33,-162,
A2,TR,4177,PSEMEN,1,,,,,41,105,145,
A2,TR,4170,PSEMEN,1,,,,,41.2,-30,85,
A2,TR,4166,PSEMEN,1,,,,,28.7,-120,230,
A2,SA,4188,UMBCAL,1,,101,1.26,1,,-74,-188,
A2,SA,4182,AMOCAL,1,,122,0.85,2,,-17,-175,
A2,SA,4169,AMOCAL,1,,78,0.48,6,,-9,-43,
A2,SA,4176,UMBCAL,1,,51,0.56,1,,54,208,"CHANGED TREE NUM FROM 4167,  AFTER AUG2013 RESURVEY 20130810 MFO"
A3,TR,4197,PSEMEN,1,,,,,12.5,12,51,
A3,SA,4187,UMBCAL,1,,61,0.88,1,,98,166,
A3,TR,4185,PSEMEN,1,,,,,6.8,190,214,
A3,TR,4168,QUEKEL,1,,,,,17.4,-83,-146,
A3,TR,4168.1,QUEKEL,1,,,,,16,-83,-146,
A3,TR,4168.2,QUEKEL,1,,,,,11.7,-83,-146,
A3,TR,4178,PSEMEN,1,,,,,18.1,-230,-10,
A3,TR,4181,HETARB,1,,,,,1.6,223,-30,
A3,TR,4181.1,HETARB,1,,,,,1,223,-30,
A3,TS,4181.2,HETARB,1,,210,1.86,5,,223,-30,
A4,TR,4155,PSEMEN,1,,,,,49.6,64,-102,
A4,TR,4198,HETARB,1,,,,,2,153,-28,
A4,TR,4198.1,HETARB,1,,,,,1.43,153,-28,
A4,TS,4198.2,HETARB,1,,230,2.62,6,,153,-28,
A4,TR,,PSEMEN,1,D,,,,2.6,166,130,SPLIT AT 130 ; 1.86 + 1.42 DBH
A4,TR,4179,PSEMEN,1,,,,,32,195,204,
A4,TR,4186,PSEMEN,1,,,,,1.84,-139,70,
A4,TR,4192,PSEMEN,1,,,,,30.5,145,-120,
A4,TR,4193,PSEMEN,1,,,,,37.5,95,-75,
A4,TR,4199,HETARB,1,,,,,2.09,-64,-185,
A4,TR,4199.1,HETARB,1,,,,,1.54,-64,-185,
A4,TR,4199.2,HETARB,1,,,,,1.02,-64,-185,
A4,TS,4199.3,HETARB,1,,210,1.08,5,,-64,-185,
B4,TR,4088,HETARB,1,,,,,4.2,100,-6,NO 4088.3; DBH AT 145 CM
B4,TR,4088.1,HETARB,1,,,,,2.02,100,-6,NO 4088.3
B4,TR,4088.2,HETARB,1,,,,,1.24,100,-6,NO 4088.3
B4,TS,4088.4,HETARB,1,,193,0.95,6,,100,-6,NO 4088.3
B4,TR,,PSEMEN,1,D,,,,5.5,-40,-125,HIGHLY ERODED SNAG
B4,TR,,PSEMEN,1,D,,,,1.6,-181,246,
B4,SA,4087,HETARB,1,,80,0.52,2,,246,214,
B3,TR,4090,QUEKEL,0,,,,,20.3,50,98,
B3,TR,4089,QUEKEL,0,,,,,14.4,87,140,
B3,TR,,QUEKEL,0,D,,,,11.4,75,170,
B3,SA,4091,AMOCAL,1,,72,0.45,3,,144,277,
B3,TR,4092,PSEMEN,1,,,,,18.4,17,-38,
B3,TR,4093,PSEMEN,1,,,,,12.3,225,215,
B3,TR,4096,HETARB,1,,,,,2.2,-122,57,
B3,TS,4096.1,HETARB,1,,200,1.23,7,,-122,57,
B3,TR,4099,HETARB,1,,,,,4.4,-999,-999,DYING; SHARES EXTENDED ROOT BALL WITH 4098 IN C3
B3,TS,4099.1,HETARB,1,,113,0.66,2,,-999,-999,
B2,SA,4100,AMOCAL,1,,121,0.59,8,,-52,-105,
B2,TR,4201,HETARB,1,,,,,1.19,265,-132,
B2,TS,4201.1,HETARB,1,,200,2.2,13,,265,-132,
B2,TR,4095,HETARB,1,,,,,2.2,177,-68,
B2,TS,4095.1,HETARB,1,,195,1.14,2,,177,-68,
B2,TR,4094,HETARB,1,,,,,1.04,105,-34,
B2,TS,4094.1,HETARB,1,,150,0.73,3,,105,-34,
B2,SA,4206,AMOCAL,1,,104,0.69,11,,53,-218,
B2,TR,4202,PSEMEN,1,,,,,31.5,-141,-216,
B2,SA,4205,AMOCAL,1,,185,0.97,9,,-130,175,
B2,SA,4203,UMBCAL,1,,121,1.08,1,,-11,174,
B1,TS,4208,QUEAGR,1,,89,0.61,12,,226,-155,HEIGHT IS BRANCH LENGTH OF ADEVENTITIOUS BRANCHING
B1,TR,,QUEAGR,1,D,,,,16.9,226,-155,STUMP ASSOCIATED WITH 4208 STUMP SPROUTS; BARK LOOSE AT DBH HEIGHT
B1,TR,4261,QUEAGR,1,,,,,18.85,-136,-170,"MANY ADVENTITIOUS STUMP SPROUTS BELOW 220 CM, DEAD CROWN"
B1,TR,4204,QUEAGR,1,,,,,30,-96,-195,"MANY DEAD BRANCHES, OVERTOPPED WITH POISON OAK "
B1,SA,4207,QUEAGR,0,,171,0.9,4,,-20,-141,
B1,SA,4213,PSEMEN,1,,184,1.77,1,,-39,-220,
B1,SA,4212,PSEMEN,1,,93,0.65,1,,-83,-262,
B1,SA,4214,PSEMEN,1,,61,0.64,1,,-37,-300,
B1,SA,4211,UMBCAL,1,,71,0.95,1,,-145,153,
B1,SA,4210,UMBCAL,1,,88,0.92,1,,191,189,
B1,SA,4209,HETARB,1,,138,1.16,3,,146,235,
B1,SA,4216,PSEMEN,1,,75,0.58,1,,-37,148,
B1,SA,4217,PSEMEN,1,,60,0.45,1,,-33,145,
B1,SA,4215,PSEMEN,1,,103,0.86,1,,-7,142,
C1,SA,4218,PSEMEN,1,,57,0.45,1,,167,74,
C1,SA,4219,PSEMEN,1,,109,0.89,1,,182,116,
C1,SA,4241,PSEMEN,1,,150,1.89,1,,235,115
C1,SA,,PSEMEN,1,D,54,0.32,1,,250,53
C1,SA,4180,PSEMEN,1,,141,1.14,1,,51,207
C1,SA,4221,PSEMEN,1,,67,0.35,1,,92,192
C1,SA,4220,PSEMEN,1,,57,0.42,1,,107,201
C1,SA,,PSEMEN,1,D,60,0.18,1,,119,190
C1,SA,4222,PSEMEN,1,,157,1.31,1,,24,-218
C1,TR,4223,PSEMEN,1,,,,,1.57,68,-54
C1,SA,4224,UMBCAL,1,,178,1.43,2,,169,-40
C1,SA,4225,AMOCAL,1,,182,0.88,7,,181,-40
C1,SA,4231,AMOCAL,1,,125,0.91,2,,-238,-94
C1,SA,4226,UMBCAL,1,,168,1.84,1,,-244,-143
C1,SA,4227,PSEMEN,1,,120,1.18,1,,-235,-166
C1,SA,4232,PSEMEN,1,,55,0.59,1,,-129,-110
C1,SA,4237,PSEMEN,1,,138,1.28,1,,-64,-157
C1,SA,4235,PSEMEN,1,,163,1.7,1,,-54,-133
