Plot ID,PPW1347,,Sampler(s),"MMJ, MNB, MFO, KMG, MJK",,,,,Date ,20130320,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
Quad,Type,Tree Tag No.,Species,Confidence ,Dead/ Stump,SA or Stump Height (cm),SA or Stump BD (cm),SA  Branch #,DBH (cm), X (cm),Y (cm),Notes
A1,SA,2929,UMBCAL,1,,113,1.19,1,,35,116,
A1,TR,2936,UMBCAL,1,,,,,1.1,112,212,
A1,TR,2930,UMBCAL,1,,,,,5.7,141,224,
A1,TR,2937,AMOCAL,1,,,,,1.64,121,263,WAS UMBCAL BEFORE AUG NAMES
A1,SA,2931,UMBCAL,1,,200,1.38,1,,-190,213,
A1,SA,2934,UMBCAL,1,,104,0.97,1,,-94,230,
A1,SA,2935,UMBCAL,1,,200,1.96,1,,-126,149,
A1,SA,2932,QUEAGR,1,,64,1.62,1,,-122,-210,
A1,SA,2943,UMBCAL,1,,85,1.04,1,,-8,290,"CHANGED TREE NUM FROM 2933, INPUTED AFTER AUG2013 RESURVEY 20130810 MFO"
A1,SA,2939,UMBCAL,1,,112,0.87,1,,86,-41,
A1,TR,2938,QUEGAR,0,,,,,26.85,61,-71,POISON OKA AROUND THE TRUNK / WAS QUEKEL BEFORE AUG NAMES 
A2,SA,2940,UMBCAL,1,,76,1.33,1,,80,154,
A2,TR,,QUEDEC,0,D,,,,25.5,120,-120,"HEAVILY ERODED, THE DBH IS JUST AN ESTIMATE"
A2,TR,2941,UMBCAL,1,,,,,2.01,-212,-135,
A3,TR,2942,QUEGAR,0,,,,,22.75,137,45,
A3,SA,2945,UMBCAL,1,,200,2.23,1,,-67,-201,
A3,TR,2944,UMBCAL,1,,,,,3.1,-178,-153,
A3,SA,2933,UMBCAL,1,,82,1.7,1,,104,-246,
A4,TR,2947,QUEGAR,0,,,,,21.4,233,21,changed from quekel to match future years mkqc2022
A4,SA,2951,UMBCAL,1,,202,1.9,1,,-150,-164,
A4,SA,2950,UMBCAL,1,,73,0.95,1,,-185,-134,
A4,SA,2946,UMBCAL,1,,199,1.61,1,,227,57,
A4,TR,2949,AMOCAL,0,,,,,2.61,31,180,NAPA FALSE INDIGO
A4,TR,2948,AMOCAL,0,,,,,1.99,188,-229,NAPA FALSE INDIGO
B4,SA,2953,UMBCAL,1,,73,1.04,1,,68,-118,
B4,SA,2952,UMBCAL,1,,65,1.14,2,,107,-133,
B4,SA,2954,UMBCAL,1,,60,1.66,1,,180,113,
,,,,,,,,,,,,
B4,SA,2958,UMBCAL,1,,111,0.82,1,,-85,175,
B4,SA,2957,UMBCAL,1,,142,1.13,2,,-70,130,
B4,SA,2956,UMBCAL,1,,127,1.04,1,,-125,69,
B4,SA,3002,AMOCAL,0,,150,0.91,2,,13,33,NAPA FALSE INDIGO
B4,TR,2964,AMOCAL,0,,,,,1.33,-149,15,
B4,TR,2955,UMBCAL,1,,,,,1.99,-187,76,
B3,TR,2960,UMBCAL,1,,,,,1.17,208,-75,
B3,TR,2963,UMBCAL,1,,,,,5.14,370,-130,
B3,TR,2963.1,UMBCAL,1,,,,,2.09,370,-130,
B3,TR,2963.2,UMBCAL,1,,,,,4.9,370,-130,
B3,TR,2963.3,UMBCAL,1,,,,,3.08,370,-130,
B3,TR,2963.4,UMBCAL,1,,,,,1.46,370,-130,
B3,TR,2963.5,UMBCAL,1,,,,,2.4,370,-130,
B3,TR,2963.6,UMBCAL,1,,,,,2.49,370,-130,
B3,SA,2962,UMBCAL,1,,59,1.21,1,,-204,175,
B3,SA,2966,UMBCAL,1,,86,1.14,1,,116,73,
B3,SA,2965,UMBCAL,1,,57,0.72,1,,131,92,
B3,SA,2961,UMBCAL,1,,81,1.43,1,,173,191,
B3,SA,2968,QUEAGR,1,,57,0.22,2,,291,36,
B3,TR,2967,PSEMEN,1,,,,,65.9,130,50,
B3,TR,3014,UMBCAL,1,,,,,1.98,30,216,
B3,TR,3015,UMBCAL,1,,,,,4,25,253,
B3,TS,3015.1,UMBCAL,1,,210,1.14,5,,25,253,
B2,SA,2971,UMBCAL,1,,140,1.13,1,,185,-89,
B2,SA,2972,UMBCAL,1,,90,1.31,1,,150,-136,
B2,SA,2969,UMBCAL,1,,66,0.77,1,,-142,-75,
B2,TR,2976,UMBCAL,1,,,,,1.53,-137,-214,
B2,SA,2977,QUEWIS,1,,57,0.66,1,,-109,-230,changed from queagr- mkqc 2022
,,,,,,,,,,,,
B2,TR,2978,UMBCAL,1,,,,,2.55,-70,-245,
B2,TR,2978.1,UMBCAL,1,,,,,1.83,-70,-245,
B2,SA,2974,QUEAGR,1,,98,0.64,3,,180,173,
B2,TR,2975,UMBCAL,1,,,,,5.3,155,139,
B2,SA,2973,UMBCAL,1,,96,1,1,,80,156,
B2,TS,2975.1,UMBCAL,1,,98,0.49,1,,155,139,
B1,TR,2979,UMBCAL,1,,,,,2.1,40,-165,
B1,TR,2980,PSEMEN,1,,,,,55.7,212,-206,
B1,TR,2981,UMBCAL,1,,,,,4.15,208,-287,
B1,TR,2982,UMBCAL,1,,,,,1.1,214,-312,
B1,TR,,QUEDEC,0,D,,,,15.7,220,172,
B1,TR,2985,UMBCAL,1,,,,,6.2,-135,-195,"DBH, JUST BELOW THE NAIL"
B1,TR,2984,UMBCAL,1,,,,,1.5,-70,240,
B1,TS,2985.1,UMBCAL,1,,200,1.08,1,,-135,-195,
B1,SA,2986,UMBCAL,1,,82,0.73,1,,-35,-125,
C1,SA,2987,UMBCAL,1,,55,0.74,1,,110,-130,
C1,SA,2991,UMBCAL,1,,90,0.98,1,,193,-88,
C1,SA,2990,UMBCAL,1,,92,1.14,1,,198,-48,
C1,SA,2988,UMBCAL,1,,71,0.81,2,,237,-200,
C1,SA,2989,UMBCAL,1,,50,0.59,1,,-120,-15,
C1,TR,2997,QUEAGR,1,,,,,9.7,-76,50,"MANY MANY BRANCHES, COULD BE ASSOCIATED WITH ANYONE OF 2966, 2998 OR 2997"
C1,TR,2996,QUEAGR,1,,,,,8.7,-131,39,"MANY MANY BRANCHES, COULD BE ASSOCIATED WITH ANYONE OF 2966, 2998 OR 2997"
C1,TR,2998,QUEAGR,1,,,,,10.4,-177,23,"MANY MANY BRANCHES, COULD BE ASSOCIATED WITH ANYONE OF 2966, 2998 OR 2997"
C1,TS,2998.1,QUEAGR,1,,59,0.28,50,,-177,23,"MANY MANY BRANCHES, COULD BE ASSOCIATED WITH ANYONE OF 2966, 2998 OR 2997"
C1,SA,2995,UMBCAL,1,,235,2,1,,-47,114,
C2,TR,2994,PSEMEN,1,,,,,43.6,-126,26,
C1,SA,3047,UMBCAL,1,,68,1.02,1,,-13,-16,
,,,,,,,,,,,,
C2,TR,3013,UMBCAL,1,,,,,1.33,-115,81,
C2,TR,2992,UMBCAL,1,,,,,1.84,-256,31,
C2,SA,2993,UMBCAL,1,,128,1.19,1,,-297,3,
C2,TR,3030,UMBCAL,1,,,,,2.15,-252,-13,
C2,SA,3000,UMBCAL,1,,194,1.73,1,,-296,-106,
C2,SA,3040,UMBCAL,1,,60,0.41,1,,86,-120,
C2,TR,3041,AMOCAL,0,,,,,1.46,21,-125,"NAPA FALSE INDIDGO, MAY HAVE >2 STEMS?"
C2,TS,3030.1,UMBCAL,1,,,,,2.13,-252,-13,
C2,TS,3041.1,AMOCAL,0,,235,1.27,1,,21,-125,"NAPA FALSE INDIDGO, MAY HAVE >2 STEMS?"
C3,SA,2999,UMBCAL,1,,59,0.71,1,,-109,64,
