Plot ID,PPW1348,,Sampler(s),"MFO, JEC, MNB, MMJ, MJK, TKM",,,,,Date ,20130321,,
Notes,AMOCAL = Napa false Indigo,,,,,,,,,,,
,,,,,,,,,,,,
Quad,Type,Tree Tag No.,Species,Confidence ,Dead/ Stump,SA or Stump Height (cm),SA or Stump BD (cm),SA  Branch #,DBH (cm), X (cm),Y (cm),Notes
A1,TR,3063,QUEKEL,0,,,,,11.2,266,27,
A1,SA,3062,HETARB,1,,57,0.49,1,,224,18,
A1,TS,3063.1,QUEKEL,0,,92,0.99,4,,266,27,
A1,TR,,QUEDEC,0,D,,,,8.5,283,90,
A1,TR,,QUEDEC,0,D,,,,5.5,283,90,DECAYED
A1,TR,3103,PSEMEN,1,,,,,5.3,-160,280,
A1,TR,3102,HETARB,1,,,,,6.8,-269,-260,
A1,TR,3102.1,HETARB,1,,,,,1.82,-269,-260,
A1,TR,3102.2,HETARB,1,,,,,3.74,-269,-260,
A1,TR,3102.3,HETARB,1,,,,,2.94,-269,-260,
A1,TR,3102.4,HETARB,1,,,,,1.13,-269,-260,
A1,TS,3102.5,HETARB,1,,92,1.16,3,,-269,-260,
A1,TR,,QUEAGR,0,D,,,,13.5,140,76,DBH at 100cm
A2,TR,3064,QUEGAR,0,,,,,18.9,-66,80,
A2,SA,3107,AMOCAL,1,,123,1.04,6,,-67,205,
A2,SA,3106,AMOCAL,1,,200,1.41,7,,-114,270,
A2,SA,3104,AMOCAL,1,,200,1.67,12,,174,160,
A2,SA,3069,AMOCAL,1,,200,0.99,1,,-230,300,
A2,SA,3071,AMOCAL,1,,177,0.93,5,,-162,-123,
A2,TR,,QUEDEC,0,D,,,,8.1,-147,-103,DBH at 40cm
A2,SA,3070,AMOCAL,1,,170,1.14,11,,-41,-39,
A2,TR,3066,QUEGAR,0,,,,,13.6,-151,-30,
A2,TR,3105,PSEMEN,1,,,,,11.1,-126,-135,
A2,SA,3151,AMOCAL,1,,200,0.84,1,,190,-186,
A2,SA,3068,AMOCAL,1,,133,1.06,2,,140,-121,
A2,TR,3067,AMOCAL,1,,,,,1.32,121,-93,DBH at 136cm
A2,SA,3065,QUEAGR,1,,89,0.65,4,,94,-46,
,,,,,,,,,,,,
A2,TR,3153,AMOCAL,1,,,,,1.09,228,-75,
A2,TR,,QUEDEC,0,D,,,,10,34,-11,
A2,TS,3153.1,AMOCAL,1,,200,1.28,8,,228,-75,
A3,TR,3108,QUEGAR,0,,,,,15.55,120,14,
A3,TR,3158,QUEGAR,0,,,,,8.7,53,135,Dead?
A3,TR,3159,QUEGAR,0,,,,,13.1,130,-220,
A3,TR,3160,QUEGAR,0,,,,,9.7,23,171,
A3,TR,3111,AMOCAL,1,,,,,1.17,158,72,
A3,TR,,QUEDEC,0,D,,,,9.3,77,210,DBH at 70cm
A3,TS,3111.1,AMOCAL,1,,,,,1.41,158,72,
A3,SA,3112,AMOCAL,1,,200,1.83,4,,198,93,
A3,SA,3115,HETARB,1,,193,1.5,7,,120,-225,INPUTED X & Y AFTER AUG2013 RESURVEY 20130810 MFO
A3,TR,3110,QUEGAR,0,,,,,15.3,215,110,
A3,SA,3161,AMOCAL,1,,115,1.02,3,,-216,38,
A3,SA,3072,AMOCAL,1,,108,1.19,4,,-140,40,
A3,SA,3077,AMOCAL,1,,122,1.19,4,,60,-40,
A3,SA,3073,AMOCAL,1,,210,1.48,5,,-140,132,
A3,SA,3076,AMOCAL,1,,143,1.07,9,,184,-20,
