DATE,PLOT,INITALS,SPECIES,A1_cover,A1_pheno,A2_cover,A2_pheno,A3_cover,A3_pheno,A4_cover,A4_pheno,B4_cover,B4_pheno,C4_cover,C4_pheno,D4_cover,D4_pheno,D3_cover,D3_pheno,D2_cover,D2_pheno,D1_cover,D1_pheno,C1_cover,C1_pheno,B1_cover,B1_pheno,NOTES
20160415,1315,"MFO, PW",MELGEY,2,FLR,1,VEG,,,,,,,,,,,1,VEG,,,,,,,1,VEG,
20160415,1315,"MFO, PW",RANOCC,4,FRT,4,FRT,1,VEG,1,VEG,,,2,VEG,,,1,FRT,3,VEG,3,FRT,2,VEG,2,FRT,
20160415,1315,"MFO, PW",BRIMAX,2,FLR,4,FLR,5,FLR,15,FLR,1,FLR,1,FLR,1,VEG,2,FLR,8,FLR,2,FLR,30,FLR,3,FLR,
20160415,1315,"MFO, PW",SANCRA,9,VEG,2,VEG,3,VEG,3,VEG,1,VEG,7,VEG,4,VEG,4,VEG,7,VEG,3,FRT,17,VEG,14,VEG,
20160415,1315,"MFO, PW",TORARV,1,VEG,2,VEG,1,VEG,1,VEG,,,1,VEG,5,VEG,4,VEG,2,VEG,4,VEG,3,VEG,2,VEG,
20160415,1315,"MFO, PW",BRODIA,1,FLR,1,FLR,1,FLR,1,FLR,,,1,FLR,1,FLR,2,FLR,1,FLR,2,FLR,1,FLR,4,FLR,
20160415,1315,"MFO, PW",NEMHET,,,,,,,,,,,,,2,FLR,2,FLR,1,FRT,2,FLR,2,FLR,1,FRT,
20160415,1315,"MFO, PW",LATVES,,,9,FRT,,,,,,,,,2,VEG,2,VEG,,,,,,,,,
20160415,1315,"MFO, PW",VICSAT,2,FLR,1,FLR,,,2,FLR,1,FLR,1,FLR,2,FRT,2,FLR,2,FRT,2,FRT,2,FRT,1,FRT,
20160415,1315,"MFO, PW",CARCAL,1,VEG,1,VEG,1,VEG,,,1,FRT,1,VEG,,,2,FRT,,,1,VEG,1,VEG,1,FRT,
20160415,1315,"MFO, PW",GALAPA,1,FRT,1,FRT,1,FRT,,,1,FRT,,,1,FRT,1,FRT,1,FRT,1,FRT,1,FRT,1,FRT,
20160415,1315,"MFO, PW",GALPOR,,,,,,,,,,,2,VEG,1,VEG,,,1,VEG,,,,,,,
20160415,1315,"MFO, PW",PRIHEN,3,FRT,,,2,FRT,2,VEG,3,FRT,2,VEG,,,2,VEG,4,FRT,,,,,,,
20160415,1315,"MFO, PW",TOXDIV,,,,,1,VEG,,,,,1,VEG,,,2,VEG,,,,,,,,,
20160415,1315,"MFO, PW",DICCAP,2,VEG,,,1,VEG,2,VEG,,,,,1,VEG,,,,,1,VEG,1,VEG,1,VEG,
20160415,1315,"MFO, PW",STARIG,,,,,1,VEG,,,,,,,,,,,,,,,,,,,
