DATE,PLOT,INITALS,SPECIES,A1_cover,A1_pheno,A2_cover,A2_pheno,A3_cover,A3_pheno,A4_cover,A4_pheno,B4_cover,B4_pheno,C4_cover,C4_pheno,D4_cover,D4_pheno,D3_cover,D3_pheno,D2_cover,D2_pheno,D1_cover,D1_pheno,C1_cover,C1_pheno,B1_cover,B1_pheno,NOTES
20160413,1307,"RO, MFO, PW",UNKPER,,,1,VEG,1,VEG,1,VEG,,,,,,,,,,,1,VEG,,,1,VEG,agrostis species (flowers in June -- collect for ID)
20160413,1307,"RO, MFO, PW",LAT_SP,,,1,VEG,1,VEG,4,VEG,4,VEG,5,VEG,3,VEG,,,,,1,VEG,1,VEG,,,either latsph or latang (ID in flower)
20160413,1307,"RO, MFO, PW",VICSAT,,,1,FLR,1,VEG,1,FLR,1,FLR,,,1,FLR,3,FLR,,,,,1,VEG,1,FLR,***REBAR AT D4 MISSING**
20160413,1307,"RO, MFO, PW",OSMBER,1,VEG,1,VEG,,,1,VEG,2,FLR,3,FRT,1,VEG,2,FLR,,,1,VEG,1,VEG,,,
20160413,1307,"RO, MFO, PW",TORARV,,,1,VEG,1,VEG,1,VEG,2,VEG,,,1,VEG,1,VEG,1,VEG,,,1,VEG,,,
20160413,1307,"RO, MFO, PW",MELGEY,,,1,VEG,1,VEG,1,VEG,1,VEG,1,VEG,,,,,,,1,VEG,,,,,
20160413,1307,"RO, MFO, PW",LONHIS,,,2,VEG,,,,,,,,,,,,,,,,,,,,,
20160413,1307,"RO, MFO, PW",TOXDIV,8,VEG,,,10,VEG,1,VEG,,,,,,,,,1,VEG,3,VEG,,,,,
20160413,1307,"RO, MFO, PW",MELTOR,,,,,2,FLR,1,FLR,,,,,,,,,,,,,,,,,
20160413,1307,"RO, MFO, PW",GALAPA,,,,,1,FRT,1,FLR,1,FLR,1,FLR,1,FRT,,,,,1,FRT,,,1,FLR,
20160413,1307,"RO, MFO, PW",SANCRA,1,VEG,,,1,VEG,6,VEG,22,VEG,6,VEG,3,VEG,2,VEG,,,,,12,FRT,1,VEG,
20160413,1307,"RO, MFO, PW",BRODIA,,,,,1,VEG,1,VEG,1,VEG,1,FLR,1,FLR,1,FLR,,,,,,,,,
20160413,1307,"RO, MFO, PW",CARCAL,,,,,1,VEG,1,VEG,1,VEG,1,FRT,1,FRT,,,,,,,,,,,
20160413,1307,"RO, MFO, PW",DICCAP,,,,,,,2,VEG,,,1,VEG,,,,,,,,,,,,,
20160413,1307,"RO, MFO, PW",GALCAL,,,,,,,1,VEG,,,,,,,,,,,,,,,,,
20160413,1307,"RO, MFO, PW",RANOCC,,,,,,,1,VEG,,,,,1,VEG,,,,,,,,,,,
20160413,1307,"RO, MFO, PW",YABMIC,,,,,,,,,1,VEG,,,,,,,,,,,,,,,
20160413,1307,"RO, MFO, PW",ANIMAD,,,,,,,,,2,VEG,,,,,,,,,,,1,VEG,,,
20160413,1307,"RO, MFO, PW",LUZCOM,,,,,,,,,1,FLR,,,,,,,,,,,,,,,
20160413,1307,"RO, MFO, PW",STARIG,,,,,,,,,,,7,VEG,1,VEG,,,,,,,3,VEG,,,
20160413,1307,"RO, MFO, PW",STEMED,,,,,,,,,,,1,FRT,1,FRT,2,FRT,,,,,,,,,
20160413,1307,"RO, MFO, PW",NEMHET,,,,,,,,,,,,,1,FLR,1,FLR,,,,,,,,,
20160413,1307,"RO, MFO, PW",VICAME,,,,,,,,,,,,,,,,,,,,,,,,,
20160413,1307,"RO, MFO, PW",HIEALB,,,,,,,,,,,,,,,,,,,,,,,,,
20160413,1307,"RO, MFO, PW",LATVES,,,,,,,,,,,,,,,12,FRT,,,2,VEG,,,,,
20160413,1307,"RO, MFO, PW",CORSTR,,,,,,,,,,,,,,,,,,,,,,,,,
20160413,1307,"RO, MFO, PW",PTEAQU,,,,,,,,,,,,,,,,,,,,,2,VEG,,,
20160413,1307,"RO, MFO, PW",BROCAR,,,,,,,,,,,,,,,,,,,,,3,VEG,,,
20160413,1307,"RO, MFO, PW",TRIBIF,,,,,,,,,,,,,,,,,,,,,1,VEG,,,
20160413,1307,"RO, MFO, PW",GALPOR,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
