Plot ID,1327,,Sampler(s),"MO, AC, KO, MK",,,,,Date ,20180803,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,Notes
A1,TR,4347,,,PSEMEN,1,0,0,1,2,,,,14.2,,,0,
A1,TR,4354,,,QUEAGR,1,0,0,1,3,,,,82.4,,,0,
A1,TR,4354.1,,,QUEAGR,1,0,0,1,2,,,,64.1,,,0,
A1,TR,4352,,,PSEMEN,1,0,0,1,2,,,,4.06,,,0,
A1,TR,4356,,,PSEMEN,1,0,0,1,2,,,,3.37,,,0,
A1,TR,4359,,,PSEMEN,1,0,0,1,2,,,,5.5,,,0,
A1,TR,4363,,,PSEMEN,1,0,0,1,3,,,,3.87,,,0,
A1,SA,4351,,,HETARB,1,0,,,,154.3,0.95,2,,,,0,
A1,TR,4357,,,PSEMEN,1,0,0,1,2,,,,4.45,,,0,
A1,TR,4358,,,PSEMEN,1,0,0,1,2,,,,2.62,,,0,
A1,SA,4353,,,HETARB,1,0,,,,100.3,0.34,5,,,,0,
A1,SA,4361,,,HETARB,1,0,,,,206.3,0.41,6,,,,0,
A1,SA,4348,,,HETARB,1,0,,,,155.7,1.28,5,,,,0,
A1,TR,4350,,,HETARB,0,1,0,0,0,,,,1.89,67.1,2,0,
A1,TR,4350.1,,,HETARB,1,0,0,1,4,,,,3.85,,,0,
A1,TR,4350.2,,,HETARB,0,0,0,0,0,,,,1.17,,,0,
A1,TS,4350.3,,,HETARB,0,0,,,,,1.07,0,,,,0,
A1,SA,4362,,,HETARB,1,0,,,,235.4,1.05,8,,,,0,
A1,SA,4360,,,QUEBER,1,0,,,,77.7,0.35,0,,,,0,
A1,TR,999.1,,,PSEMEN,0,0,0,0,0,,,,1.65,,,0,
A2,TR,4364,,,PSEMEN,1,0,0,1,2,,,,3.09,,,0,
A2,TR,4365,,,PSEMEN,1,0,0,1,2,,,,2.32,,,0,
A2,TR,4366,,,PSEMEN,1,0,0,1,2,,,,4.5,,,0,
A2,SA,4367,,,PSEMEN,1,0,,,,215,1.39,0,0.81,,,0,
A2,TR,4369,,,PSEMEN,1,0,0,1,2,,,,4.13,,,0,
A2,TR,4370,,,ARBMEN,1,1,0,1,4,,,,25.6,,,0,No basal over 50 cm
A2,TR,4370.1,,,ARBMEN,1,0,0,1,3,,,,21.6,,,0,
A2,TR,4374,,,HETARB,1,0,0,1,1,,,,4.59,,,0,
A2,TR,4374.1,,,HETARB,0,0,0,0,0,,,,3.1,,,0,
A2,TR,4374.2,,,HETARB,1,0,0,1,5,,,,2.73,,,0,
A2,TR,4374.3,,,HETARB,1,0,0,1,1,,,,2.96,,,0,
A2,TR,4374.4,,,HETARB,0,0,0,0,0,,,,1.42,,,0,
A2,TR,4368,,,PSEMEN,0,0,0,0,0,,,,1.23,,,0,New tag
A2,SA,4355,,,HETARB,0,0,,,,,0.26,0,,,,0,
A2,SA,4371,,,QUEBER,1,0,,,,58,0.38,2,,,,0,
A3,TR,4377,,,PSEMEN,1,0,0,1,2,,,,9.8,,,0,
A3,TR,4379,,,HETARB,1,0,0,1,3,,,,2.46,,,0,
A3,TR,4379.1,,,HETARB,0,0,0,0,0,,,,2,,,0,
A3,TR,4379.2,,,HETARB,0,0,0,0,0,,,,1.32,,,0,
A3,TS,4379.3,,,HETARB,0,0,,,,,1.98,1,,,,0,
A3,TR,4372,,,PSEMEN,1,0,0,1,2,,,,27.5,,,0,
A3,SA,4373,,,PSEMEN,1,0,,,,159.8,1.68,0,,,,0,
A3,SA,4381,,,QUEAGR,1,0,,,,90.5,0.81,1,,,,0,
A3,TR,4382,,,HETARB,1,0,0,0,4,,,,2.36,,,0,
A3,TR,4382.1,,,HETARB,1,0,0,0,3,,,,1.23,,,0,
A3,TS,4382.2,,,HETARB,0,0,,,,,0.77,0,,,,0,
A3,TR,4380,,,PSEMEN,1,0,0,0,3,,,,2.17,,,0,
A3,SA,4378,,,UMBCAL,1,0,,,,118.6,1.57,0,,,,0,
A3,TR,4379.4,,,HETARB,1,0,0,0,5,,,,1.09,,,0,New tag
A3,SA,4375,,,PSEMEN,1,0,,,,155.5,1.45,0,,,,0,
A3,SA,4376,,,QUEAGR,1,0,,,,59.8,0.62,1,,,,0,
A4,TR,4383,,,PSEMEN,1,0,0,0,3,,,,1.94,,,0,
A4,TR,4384,,,PSEMEN,1,0,0,0,3,,,,2.27,,,0,
A4,TR,4385,,,PSEMEN,1,0,0,0,2,,,,5.76,,,0,
A4,SA,4386,,,UMBCAL,1,0,,,,104.9,1.24,0,,,,0,
A4,SA,6126,277,125,QUEBER,1,0,,,,86.5,0.55,2,,,,0,
B4,TR,4392,,,UMBCAL,1,0,0,1,5,,,,1.67,,,0,
B4,TR,4389,,,UMBCAL,1,0,0,1,5,,2.52,0,1.26,,,0,
B4,SA,4388,,,UMBCAL,1,0,,,,138.7,1.14,0,,,,0,
B4,TR,4387,,,PSEMEN,1,0,0,1,2,,,,1.56,,,0,
B4,SA,4394,,,QUEBER,1,0,,,,83.1,0.54,1,,,,0,
B4,TR,4393,,,HETARB,0,0,0,0,0,,,,4.26,,,0,
B4,TS,4393.1,,,HETARB,0,0,,,,,1.09,0,,,,0,
B4,TS,4393.2,,,HETARB,1,0,,,,194.6,1.53,0,0.91,,,0,New tag
B4,SA,4391,,,PSEMEN,0,0,,,,,,,,,,0,"Dead/gone, not found"
B4,SA,4395,,,QUEAGKE,0,0,,,,,,,,,,0,"Dead/gone, not found"
B3,TR,4397,,,PSEMEN,1,0,0,1,3,,,,54.4,,,0,
B3,SA,4396,,,QUEAGR,1,0,,,,82.5,0.77,2,,,,0,
B2,SA,4404,,,QUEBER,1,0,,,,92.4,0.85,0,,,,0,
B3,SA,6127,445,49,HETARB,1,0,,,,70.1,0.44,4,,,,0,
B2,SA,4402,,,HETARB,1,0,,,,80,0.7,3,,,,0,
B2,SA,6128,470,340,QUEBER,1,0,,,,51.2,0.5,0,,,,0,
B2,SA,4405,,,QUEBER,1,0,,,,53.2,0.69,0,,,,0,
B2,SA,4409,,,QUEBER,1,0,,,,90.6,0.56,1,,,,0,
B2,SA,4410,,,QUEAGR,1,0,,,,62.1,0.66,1,,,,0,
