Plot ID,1339,,Sampler(s),AC MO MK KO,,,,,Date ,20180725,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,Notes
B4,SA,2542,,,UMBCAL,0,0,,,,,,,,,,1,DEAD AND GONE TAG REC
A4,SA,999.1,,,ARCMAN,0,0,,,,,1.2,0,,,,0,
B4,TR,2543,,,QUEAGR,1,1,0,1,4,,,,26.7,65,1,0,
B4,TR,2543.1,,,QUEAGR,1,0,1,0,1,,,,8.24,,,0,
B4,TR,2543.2,,,QUEAGR,1,0,1,1,2,,,,27.1,,,0,
B4,SA,2563,,,UMBCAL,0,0,,,,,1.36,0,,,,0,
B4,TR,2539,,,UMBCAL,0,1,0,0,0,,2.63,0,1.31,62.3,1,0,NOW A TR
