Plot ID,1337,,Sampler(s),"MK,MO,AC,KO",,,,,Date ,20180718,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,Notes
D1,TR,3193,,,PSEMEN,1,0,0,1,3,,,,44.1,,,,
D1,TR,3229,,,PSEMEN,1,0,0,1,3,,,,67.6,,,,
D1,TR,3312,,,PSEMEN,1,0,0,1,3,,,,31.3,,,,
D1,TR,3316,,,QUEKEL,1,0,1,1,2,,,,41.3,,,,
D1,TR,3313,,,PSEMEN,1,0,0,1,3,,,,31.5,,,,
D2,TR,3315,,,PSEMEN,0,0,0,0,0,,,,,,,,CUT DOWN
D2,SA,3314,,,QUEAGR,0,0,,,,,2.6,1,,,,,
D2,SA,3311,,,QUEAGR,0,0,,,,,1.4,0,,,,,
D2,SA,5801,77,338,BACPIL,1,,,,,50.8,0.37,2,,,,,NEW SA
D3,SA,3317,,,ARBMEN,0,0,,,,,2.4,1,,,,,
D3,SA,3319,,,ARBMEN,0,0,,,,,1.6,0,,,,,
D3,SA,3318,,,ARBMEN,0,0,,,,,,,,,,1,DEAD/GONE
D3,SA,3320,,,QUEAGR,0,0,,,,,,,,,,1,DEAD/GONE
D4,TR,3321,,,PSEMEN,0,0,0,0,0,,,,27.1,,,,
D4,SA,3338,,,QUEAGR,0,0,,,,,0.96,1,,,,,
C4,TR,3304,,,ARBMEN,0,1,0,0,0,,3.03,1,1.12,141.1,2,,
C4,TR,3302,,,ARBMEN,0,1,0,0,0,,2.75,2,1.24,133.8,3,,
C4,SA,3301,,,ARBMEN,0,1,,,,,2.54,0,,93.4,1,,
C4,TR,3329,,,PSEMEN,0,0,0,0,0,,,,31.6,,,,
C4,SA,3328,,,ARBMEN,0,0,,,,,2.5,0,,,,,
C4,SA,999.1,,,ARBMEN,0,0,,,,,1.08,1,,,,,
C4,SA,999.2,,,ARBMEN,0,0,,,,,1.69,1,,,,,
C4,SA,3303,,,ARBMEN,0,0,,,,,1.52,0,,,,,
C4,SA,3326,,,PSEMEN,0,0,,,,,,,,,,1,DEAD/GONE
C4,TR,3331,,,PSEMEN,0,0,0,0,0,,,,14.1,,,,CUT DOWN
C4,TR,3330,,,PSEMEN,1,0,0,0,1,,,,65.4,,,,
C3,SA,3325,,,ARBMEN,0,0,,,,,5.9,0,,,,,
C3,SA,3332,,,ARBMEN,0,0,,,,,2.9,0,,,,,
C3,TR,3334,,,PSEMEN,0,0,0,0,0,,,,10.6,,,,CUT DOWN
C3,SA,3333,,,QUEAGR,0,1,,,,,1.2,2,,56.3,1,,
C3,TR,3335,,,PSEMEN,0,0,0,0,0,,,,26.9,,,,"CUT DOWN, TAG NOT FOUND"
C3,TR,3084,,,ARBMEN,0,1,0,0,0,,,,1.75,110.5,1,,
C3,TS,3084.1,,,ARBMEN,0,0,,,,,1.23,0,,,,,
C3,TR,3336,,,PSEMEN,1,0,1,1,2,,,,61.6,,,,
C4,TR,3310,,,PSEMEN,1,0,0,1,3,,,,28.3,,,,
C3,SA,5786,410,109,BACPIL,1,0,,,,50,0.32,0,,,,,NEW SA
C2,SA,999.4,,,ARBMEN,0,0,,,,,1.04,1,,,,,
C2,SA,999.5,,,ARBMEN,0,0,,,,,0.68,0,,,,,
C2,SA,999.6,,,ARBMEN,0,0,,,,,1.61,0,,,,,
C2,SA,999.7,,,ARBMEN,0,0,,,,,0.88,0,,,,,
C2,SA,5787,84,226,UMBCAL,0,1,,,,,1.69,0,,37.1,0,,"NEW SA, OG DEAD"
C4,SA,5788,205,423,QUEAGR,0,1,,,,,0.95,0,,43,0,,"NEW SA, OG DEAD"
C4,SA,5789,94,498,BACPIL,0,0,,,,83.1,0.54,0,,,,,NEW SA
C2,SA,999.8,,,ARBMEN,0,0,,,,,0.86,0,,,,,
A2,SA,3271,,,ARBMEN,0,0,,,,,,,,,,,DEAD/GONE TAG NOT FOUND
A2,SA,3270,,,PSEMEN,0,0,,,,,,,,,,,DEAD/GONE TAG NOT FOUND
B2,TR,3299,,,PSEMEN,1,0,0,1,4,,,,81.2,,,,
B2,SA,3305,,,UMBCAL,0,1,,,,,2.37,1,,57.2,4,,OG DEAD
B1,SA,999.2,,,QUEAGR,0,0,,,,,0.72,1,,,,,DEAD
B1,SA,3300,,,ARBMEN,0,0,,,,,,,,,,,DEAD/GONE TAG NOT FOUND
B3,TR,3298,,,ARBMEN,0,1,0,0,0,,,,5.14,140.5,3,,
B3,TR,3298.1,,,ARBMEN,0,0,0,0,0,,,,2.23,,,,
B3,TR,3298.2,,,ARBMEN,0,0,0,0,0,,,,,,,,DEAD/GONE TAG NOT FOUND
B3,SA,3297,,,UMBCAL,0,1,,,,,1.21,0,,57.1,1,,OG DEAD/ conf species is umbcal and nor arbmen in 2019 
B3,SA,3296,,,QUEAGR,0,1,,,,,1.43,1,,65.2,3,,OG DEAD
B3,TR,3295,,,ARBMEN,0,0,0,0,0,,,,2.27,,,,WAS 3293 IN DB
B3,TS,3295.1,,,ARBMEN,0,0,,,,,,,,,,,WAS 3293 IN DB
B3,SA,3294,,,ARBMEN,0,1,,,,,2.45,0,,69.1,2,,OG DEAD
B3,SA,3292,,,ARBMEN,0,1,,,,,2.97,0,,104.5,4,,OG DEAD
B3,SA,3291,,,ARBMEN,0,1,,,,,2.37,0,,93.4,1,,OG DEAD
B3,SA,3323,,,BACPIL,0,0,,,,,0.44,0,,,,,BD @ 5CM
B3,SA,999.3,,,ARBMEN,0,0,,,,,0.32,1,,,,,
B3,SA,3293,,,ARBMEN,0,0,,,,,,,,,,,
A3,SA,3278,,,ARBMEN,0,0,,,,,1.7,0,,,,,
A3,TR,3275,,,ARBMEN,0,0,0,0,0,,,,2.27,,,,
A3,TR,3276,,,QUEAGR,0,1,0,0,0,,,,1.79,55.5,1,,
A3,TR,3277,,,ARBMEN,0,1,0,0,0,,,,4.05,118.5,2,,
A3,TR,3277.1,,,ARBMEN,0,0,0,0,0,,,,1.64,,,,
A3,SA,3322,,,ARBMEN,0,0,,,,,,,,,,,DEAD/GONE TAG NOT FOUND
A4,TR,3285,,,PSEMEN,1,0,0,1,2,,,,27,,,,
A4,SA,3279,,,ARBMEN,0,0,,,,,4.06,0,,,,,DEAD
