Plot ID,1326,,Sampler(s),"MK, MF, BM, RF",,,,,Date ,20201116,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
A1,TR,3397,,,PSEMEN,1,0,0,1,3,,,,,,,,,
A1,TR,3501,,,UMBCAL,0,0,0,0,0,,,,,,,,,was psemen- changed to match prev yrs -mkqc2022
A1,TR,3400,,,PSEMEN,1,0,0,1,3,,,,,,,,,
A1,TR,3512,,,PSEMEN,1,0,0,1,4,,,,,,,,,
A1,SA,3513,,,UMBCAL,1,0,,,,118.6,1.26,2,,,,,,
A1,TR,3543,,,UMBCAL,0,0,0,0,0,,,,,,,1,,NOTHING TO RESPROUT
A2,SA,5642,,,UMBCAL,0,1,,,,46.1,0.42,2,,,,,,
A2,SA,3520,,,UMBCAL,0,1,,,,61.3,0.41,3,,,,,,
A2,SA,5641,,,UMBCAL,0,1,,,,67,0.53,2,,,,,,
A2,SA,3519,,,UMBCAL,0,1,,,,153.6,1.84,0,,,,,,
A2,TR,3522,,,PSEMEN,1,0,0,1,3,,,,,,,,,
A2,TR,3515,,,PSEMEN,1,0,0,1,3,,,,,,,,,
A2,SA,5650,,,UMBCAL,1,0,,,,69.2,0.63,0,,,,,1,
A2,SA,5651,,,UMBCAL,1,0,,,,64.3,0.69,0,,,,,,
A2,SA,3516,,,UMBCAL,1,0,,,,71.5,1.11,1,,,,,,
A2,SA,5644,,,UMBCAL,1,0,,,,86.3,1.04,0,,,,,,
A2,SA,5649,,,UMBCAL,1,0,,,,72,0.51,1,,,,,,
A3,TR,3523,,,QUEGAR,1,0,0,1,99,,,,,,,,,
A3,SA,3527,,,UMBCAL,0,1,,,,117.1,0.69,6,,,,,,
A3,TR,3526,,,UMBCAL,0,1,0,0,0,,1,,,164.3,9,,,
A3,SA,5663,,,UMBCAL,1,0,,,,67.9,0.64,1,,,,,,
A3,SA,3524,,,UMBCAL,1,0,,,,86.7,0.92,0,,,,,1,
A3,SA,5664,,,UMBCAL,1,0,,,,89.9,0.92,0,,,,,,
A4,TR,3542,,,PSEMEN,1,0,0,1,4,,,,,,,,,
A4,SA,3529,,,UMBCAL,0,1,,,,48.2,0.34,2,,,,,,
A2,SA,3518,,,UMBCAL,0,0,,,,,,,,,,,,NOT FOUND
A4,TR,3540,,,QUEGAR,1,0,0,1,99,,,,,,,,,
A4,TR,3536,,,QUEGAR,1,0,0,1,99,,,,,,,,,
C1,TR,3601,,,PSEMEN,1,0,1,1,3,,,,,,,,,
C1,TR,3596,,,UMBCAL,0,1,0,0,0,,0.49,,,54.5,1,,,
C1,SA,5662,,,UMBCAL,0,1,,,,92.4,0.68,2,,,,,,
C1,SA,3629,,,UMBCAL,0,1,,,,109.7,1.53,0,,,,,,
C1,TR,3604,,,UMBCAL,0,1,0,0,0,,0.21,,,,0,,,
C1,TR,3600,,,PSEMEN,0,0,0,0,0,,,,,,,,,
C1,SA,5661,,,UMBCAL,0,1,,,,41.7,0.3,1,,,,,,
C1,SA,3607,,,UMBCAL,0,0,,,,,,,,,,1,,
C1,SA,3630,,,UMBCAL,0,1,,,,22.1,0.16,3,,,,,,
C1,TR,3632,,,PSEMEN,1,0,0,1,4,,,,,,,,,
C1,SA,3631,,,UMBCAL,0,0,,,,,,,,,,1,,
D1,TR,3652,,,UMBCAL,0,1,0,0,0,81.1,0.65,7,,,,,,TR BUT WITH SA MEASUREMENGTS…WHY?
C1,SA,3408,,,UMBCAL,0,0,,,,,,,,,,1,,
C1,TR,3599,,,QUEAGRI,0,0,0,0,0,,,,,,,1,,NOT FOUND; DEAD IN '19- should have had tag pulled in 2019- says so on datasheet- adding it here- iftag is found in future- remove
C1,SA,3610,,,UMBCAL,0,0,,,,,,,,,,1,,
C1,SA,3608,,,UMBCAL,0,0,,,,,,,,,,1,,
C1,SA,3660,,,UMBCAL,0,0,,,,,,,,,,1,,
D2,TR,3697,,,PSEMEN,1,0,0,1,3,,,,,,,,,
D2,SA,3653,,,UMBCAL,0,1,,,,67,0.62,4,,,,,1,
C2,SA,3621,,,UMBCAL,0,1,,,,66.5,0.59,1,,,,,,
C1,SA,3613,,,UMBCAL,0,0,,,,,,,,,,1,,
C2,TR,3636,,,UMBCAL,1,1,1,1,4,,,,,148.5,19,,,
C2,TR,3636.1,,,UMBCAL,1,0,0,1,,,,,2.28,,,,,TAG ADDED cc cover value missing
C2,SA,3620,,,UMBCAL,0,0,,,,,,,,,,1,,
C2,SA,3622,,,UMBCAL,0,0,,,,,,,,,,,,TAG NOT FOUND
C2,TR,3654,,,PSEMEN,0,0,0,0,0,,,,,,,,,TAG NOT FOUND; DEAD IN '19/ deleted a dup in c3 with same number and no data 
C3,TR,3655,,,PSEMEN,0,0,0,0,0,,,,,,,,,
A4,SA,3534,,,UMBCAL,0,1,,,,56.6,0.35,1,,,,,,
A4,TR,3537,,,QUEGAR,1,0,0,1,99,,,,,,,,,
A4,TR,3538,,,QUEGAR,1,0,0,1,99,,,,,,,,,
A4,SA,3528,,,UMBCAL,0,1,,,,75.9,0.65,3,,,,,,
A4,TR,3541,,,QUEGAR,0,0,0,0,0,,,,,,,1,,NO TAG
A4,SA,3533,,,UMBCAL,0,0,,,,,,,,,,1,,TYPO 3583 IN '19 DB ( fixed there- 3583 was pulled in 2018 so not in 2019 or 2020)
A4,SA,3532,,,UMBCAL,0,0,,,,,,,,,,,,TAG NOT FOUND; TYPO 2532 IN '19 DB
A4,SA,3530,,,UMBCAL,0,0,,,,,,,,,,1,,
B4,TR,3557,,,PSEMEN,1,0,0,1,4,,,,,,,,,
B4,TR,3550,,,PSEMEN,1,0,0,1,4,,,,,,,,,
B4,SA,3548,,,UMBCAL,0,1,,,,49.3,0.4,3,,,,,,
B4,SA,3545,,,UMBCAL,0,0,,,,,,,,,,1,,
B4,SA,3549,,,UMBCAL,0,0,,,,,,,,,,1,,
B4,SA,3552,,,UMBCAL,0,0,,,,,,,,,,1,,
B3,SA,3555,,,UMBCAL,1,0,,,,57.2,0.43,1,,,,,,
B2,SA,5652,,,UMBCAL,0,1,,,,44.4,0.43,1,,,,,,
