Plot ID,1331,,Sampler(s),"MO, MF, RF, CM",,,,,Date ,20201111,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
A2,TR,2667,,,QUEGAR,1,0,0,1,99,,,,,,,,,
A2,TR,2664,,,QUEAGR,1,0,1,1,3,,,,,,,,,
A1,SA,2662,,,UMBCAL,0,1,,,,25.8,0.22,1,,,,,,
B1,TR,2682,,,QUEAGR,0,0,0,0,0,,,,,,,,,
B1,TR,2680,,,QUEAGR,1,0,1,1,4,,,,,,,,,
B1,TR,2679,,,QUEAGR,1,0,0,1,4,,,,,,,,,
B1,TR,2685,,,QUEAGR,1,0,1,1,4,,,,,,,,,
B1,TR,2684,,,PSEMEN,1,0,0,1,3,,,,,,,,,
D1,SA,2719,,,UMBCAL,0,1,,,,42.5,0.39,1,,,,,,
B2,TR,2673,,,PSEMEN,1,0,0,1,3,,,,,,,,,
D1,TR,2717,,,PSEMEN,1,0,0,1,4,,,,,,,,,
C2,TR,2691,,,HETARB,0,1,0,0,0,,0.46,,,,0,,,
C2,TR,2691.1,,,HETARB,0,0,0,0,0,,,,,,,,,TAG NOT FOUND 
C2,TR,2691.2,,,HETARB,0,0,0,0,0,,,,,,,,,TAG NOT FOUND 
B2,TR,2678,,,QUEGAR,0,0,,,,,,,,,,,,
C2,TR,2689,,,PSEMEN,1,0,0,1,4,,,,,,,,,
C3,TR,2693,,,PSEMEN,0,0,0,1,4,,,,,,,,,
C3,TR,2695,,,QUEAGR,0,0,,,,,,,,,,,,
C3,TR,2701,,,PSEMEN,1,0,0,1,4,,,,,,,,,
C4,TR,5606,,,PSEMEN,0,0,0,1,4,,,,,,,,,
D3,SA,2709,,,ARBMEN,0,0,,,,,,,,,,,,NOT FOUND
C4,TR,2707,,,HETARB,0,1,,,,,0.34,,,,0,,,
C4,TR,2707.1,,,HETARB,0,0,,,,,,,,,,1,,
C4,TR,2707.4,,,HETARB,0,1,,,,,0.15,,,,0,,,
C4,SA,2703,,,UMBCAL,0,0,,,,,,,,,,1,,
B1,SA,5604,,,UMBCAL,0,0,,,,,,,,,,1,,confirm tag is gone- may use elsewhere and change to 999
