Plot ID,1324,,Sampler(s),"MO, MF, RF, CM",,,,,Date ,20201111,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
A2,TR,2721,,,QUEGAR,1,0,1,1,99,,,,,,,,,
A3,TR,2722,,,ARBMEN,1,1,0,1,2,,0.81,,,54.4,2,,,
A3,TR,2723,,,QUEKEL,1,1,0,1,99,,0.39,,,,0,,,BASAL COUL BE DEAD OR SCENESED 
B4,TR,2725,,,QUEKEL,1,0,1,1,99,,,,,,,,,SCAR ON LOWER TRUNK
C2,TR,2726,,,QUEGAR,1,0,0,1,99,,,,,,,,,
C3,TR,2727,,,QUEAGR,1,0,1,1,4,,,,,,,,,
D2,TR,2735,,,QUEKEL,1,0,1,1,99,,,,,,,,,
D2,TR,2736,,,QUEKEL,1,0,1,1,99,,,,,,,,,
D2,TR,2737,,,QUEKEL,0,0,0,0,0,,,,,,,,,
D3,TR,2733,,,QUEAGR,1,0,1,1,3,,,,,,,,,
D4,TR,2731,,,QUEAGR,1,0,0,1,3,,,,,,,,,
A1,TR,2731.1,,,QUEAGR,1,0,0,1,3,,,,,,,,,
A1,SA,2713,,,UMBCAL,0,1,,,,33,0.4,10,,,,,,
A1,SA,5601,,,UMBCAL,0,1,,,,6,0.17,1,,,,,,BD @5 CM
A1,SA,5602,,,UMBCAL,0,1,,,,16,0.18,1,,,,,,
A4,SA,5608,,,ARBMEN,0,1,,,,15,0.16,1,,,,,,
