Plot ID,1345,,Sampler(s),MK/BM/CM/RF,,,,,Date ,11/9/20,,,,,,,,,
Notes,"13 forty fucker, sampled up to 2020/11/10",TO 2020/11/10,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
B4,TR,2248,,,QUEGAR,1,0,0,1,99,,,,,,,,,DEFO A QUEGAR TREE- fixed in prev yrs-mkqc2022
B4,TR,2246,,,QUEGAR,1,0,0,1,99,,,,,,,,,NEEDS TAG
B4,TR,2247,,,HETARB,0,1,0,0,0,165,1.4,6,,165,,,,measured as an SA- so dtat is weird-mkqc23
B3,TR,2283,,,HETARB,0,0,0,0,0,,0.57,,,73,7,,,
B3,TR,2283.1,,,HETARB,0,0,0,0,0,,,,,,,1,,TAG PULLED
B3,TR,2283.2,,,HETARB,0,0,0,0,0,,,,,,,1,,TAG PULLED
B3,TR,2283.3,,,HETARB,0,0,0,0,0,,,,,,,1,,TAG PULLED
B3,TR,2281,,,QUEGAR,1,0,1,1,99,,,,,,,,,
B3,TR,2282,,,QUEAGRI,0,1,0,0,0,,,,,,0,,,
B3,TR,2253,,,HETARB,0,1,0,0,0,,0.82,,,88.5,11,,,
B3,TR,2253.1,,,HETARB,0,0,0,0,0,,,,,,,1,,
B3,TR,2253.2,,,HETARB,0,0,0,0,0,,,,,,,1,,
B3,TR,2253.3,,,HETARB,0,1,0,0,0,,0.6,,,101.5,18,,,
B3,TR,2252,,,HETARB,0,1,0,0,0,,0.7,,,78,2,,,
B3,TR,2252.1,,,HETARB,0,1,0,0,0,,0.54,,,73.5,5,,,
B3,SA,5592,80,499,HETARB,0,1,,,,16.1,0.22,0,,,,,,SAYS 5593 IN 2019 DB
B4,TR,2243,,,QUEAGRI,0,1,0,0,0,,0.29,,,,0,,,
B4,TR,2244,,,UMBCAL,0,1,0,0,0,,0.25,,,,0,,,
B4,TR,2245,,,UMBCAL,0,0,0,0,0,,,,,,,,,BLUE FLAG
B4,TR,2242,,,HETARB,0,1,0,0,0,,0.49,,,63.5,7,1,,ALL POINTS GONE/ TAG PULLED
B4,TR,2242.1,,,HETARB,0,0,0,0,0,,,,,,,1,,
B4,TR,2242.2,,,HETARB,0,0,0,0,0,,,,,,,1,,
B4,TR,2242.3,,,HETARB,0,0,0,0,0,,,,,,,1,,
B3,TR,2284,,,HETARB,0,1,0,0,0,,0.65,,,74.5,2,,,
B3,TR,2284.1,,,HETARB,0,0,0,0,0,,,,,,,,,NOT FOUND IN '19 OR '20/ was typo 2248- mkqc2022
B3,TR,2284.2,,,HETARB,0,0,0,0,0,,,,,,,,,was typo 2248- mkqc2022
B3,TR,2284.3,,,HETARB,0,1,0,0,0,,0.59,,,89.5,4,,,was typo 2248- mkqc2022
B3,TR,2284.4,,,HETARB,0,1,0,0,0,,0.31,,,73,5,,,was typo 2248- mkqc2022
B3,TR,2255,,,HETARB,0,1,0,0,0,,0.31,,,,0,,,
B3,TR,2255.1,,,HETARB,0,1,0,0,0,,0.38,,,54.1,2,,,
B3,TR,2254,,,QUEGAR,1,0,0,1,99,,,,,,,,,SAYS QUEAGRI IN '19 DATA
C4,TR,1942,,,ARCMAN,0,0,0,0,0,,,,,,,1,,TAG PULLED
C4,TR,1941,,,ARCMAN,0,0,0,0,0,,,,,,,1,,TAG PULLED
D4,SA,1935,,,HETARB,0,1,,,,36.4,0.25,7,,,,,,
D4,SA,1943,,,HETARB,0,1,,,,25.1,0.28,1,,,,,,
D4,SA,5587,442,16,HETARB,0,1,,,,48.4,0.32,0,,,,,,
D4,TR,1944,,,ARCMAN,0,0,0,0,0,,,,,,,,,
D4,TR,1944.1,,,ARCMAN,0,0,0,0,0,,,,,,,1,,TAG PULLED
D4,TR,1944.2,,,ARCMAN,0,0,0,0,0,,,,,,,,,NOT FOUND
D4,TR,1944.3,,,ARCMAN,0,0,0,0,0,,,,,,,1,,TAG PULLED
D4,TR,1944.4,,,ARCMAN,0,0,0,0,0,,,,,,,1,,TAG PULLED
D4,TR,1944.5,,,ARCMAN,0,0,0,0,0,,,,,,,1,,TAG PULLED
D4,SA,1917,,,HETARB,0,1,,,,36.2,0.23,3,,,,,,
D4,TR,1919,,,PSEMEN,0,0,0,0,0,,,,,,,1,,TAG PULLED
D3,TR,1957,,,ARCMAN,0,0,0,0,0,,,,,,,1,,TAG PULLED
D3,TR,1957.1,,,ARCMAN,0,0,0,0,0,,,,,,,,,NOT FOUND IN '19 OR '20
D4,SA,1918,,,HETARB,0,0,,,,,,,,,,,,NOT FOUND IN '19 OR '20
D3,TR,1955,,,QUEGAR,1,0,1,1,99,,,,,,,,,
D3,SA,1956,,,BACPIL,0,0,,,,,,,,,,1,,"DEAD AS FUCK, TAG PULLED"
D4,SA,1920,,,QUEAGRI,0,0,,,,,,,,,,,,NOT FOUND/OG DEAD '19
D2,TR,1952,,,QUEGAR,1,0,1,1,99,,,,,,,,,misrecorded as queagri-mkqc2022
D2,SA,1949,,,QUEAGRI,0,0,0,0,0,,,,,,,1,,TAG PULLED (was entered as gar- mkqc22
D1,SA,1948,,,HETARB,0,1,,,,16.8,0.1,2,,,,,,
D1,TR,1951,,,HETARB,0,0,0,0,0,,,,,,,,,TREE DISINEGRATED NOT FOUND
D1,TR,1951.1,,,HETARB,0,0,0,0,0,,,,,,,,,TREE DISINEGRATED NOT FOUND
D1,TR,1951.2,,,HETARB,0,0,0,0,0,,,,,,,,,TREE DISINEGRATED NOT FOUND
D1,TR,1951.3,,,HETARB,0,0,0,0,0,,,,,,,,,TREE DISINEGRATED NOT FOUND
D1,TR,1951.4,,,HETARB,0,0,0,0,0,,,,,,,1,,TREE DISINEGRATED/ONLY TAG FOUND AND REMOVED
D1,TR,1947,,,QUEAGRI,0,0,1,0,0,,,,,,,,,
D1,TR,1945,,,QUEGAR,1,0,1,1,99,,,,,,,,,misentered as agri-mkqc2022
D1,TR,1946,,,QUEAGRI,0,0,0,0,0,,,,,,,,,BURNED VERY HOT/NOT FOUND
D1,TR,1950,,,HETARB,0,0,0,0,0,,,,,,,,,BURNED VERY HOT/NOT FOUND
D1,SA,1953,,,QUEAGRI,0,0,,,,,,,,,,,,BURNED VERY HOT/NOT FOUND
D1,TR,1954,,,HETARB,0,0,0,0,0,,,,,,,,,BURNED VERY HOT/NOT FOUND
D1,TR,1954.1,,,HETARB,0,0,0,0,0,,,,,,,,,BURNED VERY HOT/NOT FOUND
D1,TR,1954.2,,,HETARB,0,0,0,0,0,,,,,,,,,BURNED VERY HOT/NOT FOUND
C1,TR,1934,,,ARCMAN,1,0,0,1,2,,,,,,,,,was data entery typo 1951- mkqc2022
