Plot ID,1327,,Sampler(s),"MK, MF, CM, TT",,,,,Date ,11/19/20,TO 2020/11/20,,,,,,,,
Notes,CHANGE LOTS OF QUEBER FROM QUEBAR IN '19 DATABASE,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
A1,TR,4354,,,QUEAGRI,1,0,1,1,2,,,,,,,,,TYPO QUEGAR IN '19 DB- fixed it- mkqc2022
A1,TR,4354.1,,,QUEAGRI,1,0,1,1,3,,,,,,,,,
A1,TR,6129,,,PSEMEN,0,0,0,0,0,,,,,,,,,
A1,TR,4347,,,PSEMEN,0,0,0,0,0,,,,,,,,,
A1,TR,4350,,,HETARB,0,1,0,0,0,,0.99,,,97.1,26,,,".1 AND .0 LOST TAGS, INDISTINGUISHABLE, COMBINING BSPROUTS"
A1,TR,4350.1,,,HETARB,0,0,0,0,0,,,,,,,1,,".1 AND .0 LOST TAGS, INDISTINGUISHABLE, COMBINING BSPROUTS"
A1,TR,4350.2,,,HETARB,0,0,0,0,0,,,,,,,1,,".1 AND .0 LOST TAGS, INDISTINGUISHABLE, COMBINING BSPROUTS"
A1,TR,4350.3,,,HETARB,0,0,0,0,0,,,,,,,1,,".1 AND .0 LOST TAGS, INDISTINGUISHABLE, COMBINING BSPROUTS"
A1,TR,4362,,,HETARB,0,1,0,0,0,41.5,0.53,15,,,,,,
A1,TR,4363,,,PSEMEN,0,0,0,0,0,,,,,,,1,,TAG PULLED
A1,TR,4356,,,PSEMEN,0,0,0,0,0,,,,,,,1,,TAG PULLED
A1,SA,4361,,,HETARB,0,1,,,,17.5,0.28,0,,,,,,
A1,TR,4352,,,PSEMEN,0,0,0,0,0,,,,,,,1,,TAG PULLED
A1,TR,4357,,,PSEMEN,0,0,0,0,0,,,,,,,1,,TAG PULLED
A1,TR,4358,,,PSEMEN,0,0,0,0,0,,,,,,,1,,TAG PULLED
A1,TR,4359,,,PSEMEN,0,0,0,0,0,,,,,,,1,,TAG PULLED
A1,SA,4353,,,HETARB,0,0,,,,,,,,,,1,,TAG PULLED
A1,SA,4348,,,HETARB,0,1,,,,19.4,0.25,3,,,,,,
A1,SA,4351,,,HETARB,0,1,,,,18,0.16,2,,,,,,
A1,SA,4360,,,QUEBEGA,0,0,,,,,,,,,,,,BLUE FLAGGED
B1,TR,4411,,,PSEMEN,0,0,0,0,0,,,,,,,,,
B1,TR,4412,,,PSEMEN,0,0,0,0,0,,,,,,,,,
B1,TR,4413,,,HETARB,0,1,0,0,0,,0.75,,,56,1,,,
B1,TR,4413.1,,,HETARB,0,0,0,0,0,,,,,,,,,
B1,TR,4414,,,PSEMEN,1,0,0,1,1,,,,,,,,,
C1,TR,4416,,,PSEMEN,0,0,0,0,0,,,,,,,,,
C1,TR,4417,,,ARBMEN,1,1,1,1,3,,1.87,,0.91,195.5,51,,,
C1,SA,6130,,,HETARB,0,0,,,,,,,,,,,,BLUE FLAGGED
C1,SA,4415,,,HETARB,0,0,,,,,,,,,,,,BLUE FLAGGED
A2,TR,4374,,,HETARB,0,1,0,0,0,,0.61,,,77.6,20,,,
A2,TR,4374.1,,,HETARB,0,0,0,0,0,,,,,,,1,,TAG PULLED
A2,TR,4374.2,,,HETARB,0,0,0,0,0,,,,,,,1,,TAG PULLED
A2,TR,4374.3,,,HETARB,0,0,0,0,0,,,,,,,1,,TAG PULLED
A2,TR,4374.4,,,HETARB,0,0,0,0,0,,,,,,,1,,TAG PULLED
A2,TR,4364,,,PSEMEN,0,0,0,0,0,,,,,,,1,,TAG PULLED
A2,TR,4365,,,PSEMEN,0,0,0,0,0,,,,,,,1,,TAG PULLED
A2,TR,4366,,,PSEMEN,0,0,0,0,0,,,,,,,1,,TAG PULLED
A2,TR,4369,,,PSEMEN,0,0,0,0,0,,,,,,,1,,TAG PULLED
A2,SA,4367,,,PSEMEN,0,0,,,,,,,,,,1,,TAG PULLED
A2,TR,4368,,,PSEMEN,0,0,0,0,0,,,,,,,1,,TAG PULLED
A2,TR,4370,,,ARBMEN,0,1,0,0,0,,1.59,,,147.9,39,,,
A2,TR,4370.1,,,ARBMEN,0,1,0,0,0,,1.91,,,159.5,18,,,
A2,SA,4371,,,QUEBER,0,0,,,,,,,,,,,,
A2,SA,4355,,,HETARB,0,0,,,,,,,,,,,,NOT FOUND
D1,TR,4496,,,QUEWIZ,0,1,0,0,0,,0.99,,,115.5,3,,,
D1,TR,4496.1,,,QUEWIZ,0,0,0,0,0,,,,,,,,,
D1,SA,4481,,,PSEMEN,0,0,0,0,0,,,,,,,1,,TAG PULLED
D1,SA,6150,,,RHACRO,0,1,,,,,,,,,,,,BLUE FLAGGED
D1,SA,6864,,,QUEBEGA,0,1,,,,33.5,0.4,5,,,,,,
D1,SA,4488,,,QUEBER,0,1,,,,37.6,0.34,7,,,,,,
D1,SA,6837,120,102,RHACRO,0,1,,,,21,0.11,4,,,,,,
D1,SA,6838,,,QUEBER,0,0,,,,,,,,,,,,BLUE FLAG
