Plot ID,1321,,Sampler(s),"MK, MO",,,,,Date ,20210119,,,,,,,,,
Notes,"DOZED, A1 TOTALLY (DK = DOZERKILL)",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
A1,SA,2350,,,UMBCAL,0,0,,,,,,,,,,LOST,,DK
A1,SA,2353,,,CERBET,0,0,,,,,,,,,,LOST,,DK
A1,SA,5850,,,FRACAL,0,0,,,,,,,,,,LOST,,DK
A1,SA,5957,,,UMBCAL,0,0,,,,,,,,,,LOST,,DK
B1,TR,2403,,,QUEGAR,1,0,0,1,99,,,,,,,,,
B1,SA,5857,,,UMBCAL,0,1,,,,42,0.57,0,,,,,,
B1,SA,5855,,,UMBCAL,0,1,,,,82.5,0.88,1,,,,,,
B1,SA,5856,,,FRACAL,0,1,,,,33.7,0.36,1,,,,,,TAG REPLACED
B1,SA,6437,,,FRACAL,0,0,,,,,,,,,,LOST,,DK
C1,TR,2405,,,QUEGAR,1,1,0,1,99,,,,,57.8,1,,,
C1,SA,6438,,,FRACAL,0,0,,,,,,,,,,,,BF
C1,TR,2407,380,412,QUEGAR,1,0,0,1,99,,,,,,,,,CORRECTED X
C1,SA,5978,420,492,UMBCAL,0,1,,,,68.9,0.78,2,,,,,,
C1,SA,6439,420,460,FRACAL,0,0,,,,,,,,,,,,BF
C1,SA,2408,420,430,FRACAL,1,0,,,,46.3,0.42,3,,,,,,"NF IN 2019, WRONG X"
B1,SA,2404,180,170,FRACAL,0,0,,,,,,,,,,1,,"POSSIBLY JW IN B1, 2404 NOT ASSIGNED TO IT"
B1,SA,2406,,,UMBCAL,0,0,,,,,,,,,,LOST,,NOT FOUND
C2,TR,2418,,,QUEGAR,0,0,0,0,0,,,,,,,,,SNAG
C2,SA,2416,,,UMBCAL,0,1,,,,84.2,1.42,7,,,,,1,SOD
C2,SA,2415,,,UMBCAL,0,0,,,,,,,,,,1,,DK
C2,SA,6985,320,175,UMBCAL,0,1,,,,18.5,0.26,3,,,,,,XY MATCHES 5976 BUT NEW TAG
B2,SA,5858,,,FRACAL,0,0,,,,,,,,,,LOST,,
A2,TR,2356,,,QUEGAR,1,1,0,1,99,,,,,55,1,,,
A2,TR,2357,,,QUEGAR,0,0,0,0,0,,,,,,,,,
A2,SA,2358,,,UMBCAL,0,1,,,,43.8,0.38,1,,,,,,NO SOD
A2,SA,2354,,,UMBCAL,0,0,,,,,,,,,,LOST,,DK
A2,SA,5851,,,UMBCAL,0,0,,,,,,,,,,LOST,,DK
A2,SA,6986,335,480,ARBMEN,1,0,,,,51.5,0.76,1,,,,,,NEW SA
D1,TR,2475,,,QUEKEL,1,0,1,1,99,,,,,,,,,
D1,SA,2482,,,AMOCAL,0,1,,,,91.7,0.89,11,,,,,,
D1,SA,2474,,,UMBCAL,0,1,,,,80.5,0.75,0,,,,,,NO SOD
D1,SA,2476,,,UMBCAL,0,1,,,,67,0.91,1,,,,,,NO SOD
D1,SA,2477,,,FRACAL,0,1,,,,24.7,0.2,2,,,,,,
D2,SA,2465,,,UMBCAL,0,1,,,,38.7,0.4,0,,,,,,NO SOD
D1,SA,2480,,,AMOCAL,0,1,,,,80.8,0.92,3,,,,,,
D1,SA,2481,,,AMOCAL,0,1,,,,96.4,0.93,6,,,,,,
D1,SA,2483,,,FRACAL,0,0,,,,,,,,,,,,NOT FOUND IN 19 OR 21
D1,SA,5945,,,UMBCAL,0,1,,,,40.8,0.31,2,,,,,,NO SOD
D2,SA,2479,,,UMBCAL,0,1,,,,27.6,0.14,0,,,,,,NO SOD
D2,TR,2463,,,UMBCAL,0,1,0,0,0,,0.38,,,40.8,0,,,NO SOD
D2,SA,2471,,,UMBCAL,0,1,,,,98.5,0.78,0,,,,,,NO SOD
D2,SA,5947,,,UMBCAL,0,1,,,,60.4,0.72,1,,,,,,NO SOD
D2,SA,5948,,,UMBCAL,0,1,,,,31.8,0.31,2,,,,,,NO SOD
D2,SA,2460,,,AMOCAL,0,1,,,,101,0.93,8,,,,,,
D2,SA,2478,,,AMOCAL,0,1,,,,110.5,0.78,17,,,,,,
D2,SA,5949,,,AMOCAL,0,1,,,,34.8,0.32,4,,,,,,XY SWITCHED
D2,TR,2450,,,UMBCAL,0,0,0,0,0,,,,,,,1,,"TR PULLED, OK"
D2,SA,2470,,,AMOCAL,0,1,,,,62,0.47,34,,,,,,
D2,SA,2443,,,UMBCAL,0,1,,,,54.4,0.87,1,,,,,,NO SOD
D2,TR,2448,,,QUEKEL,0,0,0,0,0,,,,,,,,,"DK, NOT FOUND"
D2,SA,2444,,,AMOCAL,0,1,,,,51.2,0.54,41,,,,,,
D2,SA,2446,,,AMOCAL,0,0,,,,,,,,,,,,"NOT FOUND, COULD BE SAME AS 2444"
D2,SA,2447,,,AMOCAL,0,0,,,,,,,,,,,,TAG NOT FOUND IN 19 OR 21
D2,SA,2449,,,UMBCAL,0,0,,,,,,,,,,,,NOT FOUND 
D2,SA,2451,,,UMBCAL,0,0,,,,,,,,,,,,NOT FOUND
D2,SA,2454,,,AMOCAL,1,0,,,,69.5,0.64,18,,,,,,
A3,TR,2363,,,ARBMEN,1,1,0,1,4,,,,,84.5,4,,,
A3,SA,2359,,,UMBCAL,1,0,,,,107.4,1.19,3,,,,,1,SOD
A3,SA,2360,,,UMBCAL,1,0,,,,81,0.88,4,,,,,,NO SOD
A3,SA,2361,,,UMBCAL,1,0,,,,76.6,0.93,1,,,,,,NO SOD
A3,SA,2362,,,UMBCAL,1,0,,,,53.7,0.7,4,,,,,,NO SOD
A3,SA,5852,,,UMBCAL,1,0,,,,63.8,0.71,2,,,,,,NO SOD
A3,SA,2366,,,UMBCAL,1,0,,,,92.3,1.08,0,,,,,,NO SOD
A3,SA,6474,,,UMBCAL,1,0,,,,58,0.56,1,,,,,,
A4,SA,2368,,,UMBCAL,0,0,,,,,,,,,,,,
A3,SA,2365,,,ARBMEN,0,0,,,,,,,,,,,,NOT FOUND
A3,SA,2364,,,UMBCAL,0,0,,,,,,,,,,,,NOT FOUND
A3,SA,2367,,,UMBCAL,0,0,,,,,,,,,,,,NOT FOUND
A3,SA,2373,,,FRACAL,0,0,,,,,,,,,,,,NOT FOUND
B3,SA,5859,,,ARBMEN,0,1,,,,48.3,0.62,0,,,,,,
B3,SA,2400,,,UMBCAL,1,0,,,,90.2,1.19,2,,,,,,NO SOD
B3,SA,2393,,,UMBCAL,1,0,,,,97.4,1.09,3,,,,,,NO SOD
B3,SA,5860,,,UMBCAL,1,0,,,,79.9,0.76,1,,,,,1,SOD
B3,SA,6481,,,UMBCAL,1,0,,,,93.6,1.05,2,,,,,,
B3,SA,2396,,,UMBCAL,1,0,,,,53.7,0.53,2,,,,,,
B3,SA,6479,,,FRACAL,1,0,,,,68.7,0.6,2,,,,,,
B3,SA,6477,250,1,FRACAL,1,0,,,,47.5,0.44,6,,,,,,BURRIED
B4,SA,5861,,,FRACAL,1,0,,,,94.1,0.9,0,,,,,,
B3,SA,6993,125,90,FRACAL,1,0,,,,50.5,0.36,1,,,,,,NEW SA
C3,SA,2419,,,UMBCAL,1,0,,,,80.3,0.9,2,,,,,,
C3,TR,2420,,,QUEGAR,1,0,1,1,99,,,,,,,1,,
C3,TR,2425,,,QUEKEL,0,0,0,0,0,,,,,,,,,
C3,SA,5974,,,UMBCAL,1,0,,,,117.5,1.12,0,,,,,,
