Plot ID,1316,,Sampler(s),"MO, MK, TT, CM",,,,,Date ,20201113,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
A4,TR,2849,,,QUEAGRI,1,1,1,1,4,,,,,,,,,
A4,TR,2849.1,,,QUEAGRI,1,0,1,1,4,,,,,,,,,
A4,TR,2849.2,,,QUEAGRI,0,0,0,0,0,,,,,,,,,TAG NOT FOUND
A4,SA,6452,,,UMBCAL,0,1,,,,21,0.2,3,,,,,,
A4,SA,2848,,,BACPIL,0,1,,,,58.5,0.33,17,,,,,,
A4,TR,2849.3,,,QUEAGRI,0,0,0,0,0,,,,,,,,,TAG NOT FOUND
A4,SA,2850,,,UMBCAL,0,0,,,,,,,,,,1,,TAG PULLED
A3,TR,2846,,,QUEAGRI,1,1,1,1,,,0.49,,,,0,,,was typo 2864- mkqc2022
A3,TR,2841,,,QUEAGRI,0,0,0,0,0,,,,,,,,,
A3,SA,2847,,,QUEAGRI,0,1,,,,31,0.5,3,,,,,,
A2,TR,2843,,,QUEAGRI,1,1,1,1,4,,,,,55.6,3,,,
B1,TR,2845,,,QUEAGRI,1,1,1,1,2,,,,,,0,,,
B1,SA,2803,,,UMBCAL,0,1,,,,59.7,0.6,6,,,,,,
B1,SA,2844,,,UMBCAL,0,1,,,,23.5,0.24,1,,,,,,
B2,TR,2853,,,QUEAGRI,1,0,1,1,2,,,,,,,,,
B3,TR,2852,,,QUEGAR,1,0,0,1,99,,,,,,,,,
C2,TS,2854.1,,,QUEAGRI,0,0,,,,,0.53,,,37.2,7,,,
C2,TR,2854,,,QUEAGRI,1,0,1,1,4,,,,,,0,,,
C3,TR,2855,,,QUEAGRI,1,1,1,1,3,,0.57,,,,0,,,
C3,TR,2856,,,QUEAGRI,1,0,0,1,2,,,,,,,,,
C3,TR,2856.1,,,QUEAGRI,1,0,0,1,3,,,,,,,,,
D4,TR,2839,,,QUEAGRI,0,0,0,0,0,,,,,,,,,
D4,TR,2839.1,,,QUEAGRI,0,0,0,0,0,,,,,,,,,
D4,TR,2839.2,,,QUEAGRI,1,0,1,1,3,,,,,,,,,
C4,SA,5611,,,QUEAGRI,0,1,,,,34.1,0.26,0,,,,,,C3 IN DB 2019
D1,SA,2858,,,UMBCAL,0,1,,,,49.6,0.52,7,,,,,,
D2,TR,2857,,,QUEAGRI,1,0,1,1,4,,,,,,,,,
