Plot ID,1319,,Sampler(s),"MO, MK, TT, CM, MF",,,,,Date ,20201113,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
A1,TR,2864,,,UMBCAL,1,0,1,1,,,,,,,,,,
A1,TR,2864.1,,,UMBCAL,1,0,1,1,,,,,,,,,,
A1,TR,2864.2,,,UMBCAL,1,1,1,1,,,,,,,0,,,
A1,TR,2864.3,,,UMBCAL,1,0,1,1,,,,,,,,,,
A1,TR,2864.4,,,UMBCAL,1,1,1,1,,,,,,74,1,,,
A1,SA,2862,,,QUEAGRI,0,1,,,,26.7,0.15,5,,,,,,
A1,TR,2859,,,PSEMEN,1,0,0,1,4,,,,,,,,,
A1,SA,2863,,,QUEAGRI,0,1,,,,10.9,,1,,,,,,MAINSTEM UNDER 10
A1,SA,2865,,,QUEAGRI,0,1,,,,25.1,0.27,5,,,,,,
A1,TR,2861,,,PSEMEN,1,0,1,1,4,,,,,,,,,"IN 19 DB TYPO ""DEAD W/RSPRT"
A1,SA,5600,,,QUEAGRI,0,0,,,,,,,,,,,,
A2,TR,2866,,,UMBCAL,1,1,0,1,3,,,,,69,1,,,
A2,TR,2866.1,,,UMBCAL,1,0,0,1,3,,,,,,,,,
A2,TR,2868,,,PSEMEN,1,0,1,1,3,,,,,,,,,
A2,TR,2867,,,UMBCAL,1,1,0,1,3,,,,,,0,,,BROWSED
A2,TR,2867.1,,,UMBCAL,1,0,0,1,3,,,,,,,,,
A2,TR,2869,,,QUEGAR,1,0,1,1,99,,,,,,,,,
A2,TR,2870,,,QUEAGRI,1,1,0,1,3,,,,,,0,,,GORGEOUS
B3,TR,2876,,,QUEGAR,1,0,1,1,99,,,,,,,,,BEAUTIFUL
A3,TR,2871,,,QUEAGRI,1,0,1,1,3,,,,,,,,,
A3,TS,2872,,,QUEAGRI,0,0,0,0,0,,,,,,,,,NOT FOUND
B4,TR,2873,,,UMBCAL,1,1,1,1,3,,,,,86.3,1,,,
B4,TR,2873.1,,,UMBCAL,1,0,1,1,4,,,,,,,,,
B4,TR,282873.2,,,UMBCAL,1,0,1,1,1,,,,,,,,,
B4,TR,2875,,,UMBCAL,1,1,1,1,3,,,,,,,,,
B4,TR,2875.1,,,UMBCAL,0,0,0,0,0,,,,,,,,,
B4,TR,2875.2,,,UMBCAL,0,1,0,0,0,,,,,,0,,,
B4,TR,2875.3,,,UMBCAL,0,1,0,0,0,,,,,65.5,2,,,
B4,TR,2874,,,PSEMEN,0,0,0,0,0,,,,,,,1,,NO TAG
D4,TR,2879,,,UMBCAL,1,1,1,1,2,,,,,,0,,,
D4,TR,2879.1,,,UMBCAL,0,1,0,0,0,,0.54,,,,0,,,
C1,SA,5622,,,QUEGAR,0,1,,,,16.3,0.24,2,,,,,,
C1,SA,5623,,,UMBCAL,0,0,0,0,0,,,,,,,,,
C4,TR,2878,,,PSEMEN,0,0,0,0,0,,,,,,,1,,
