Plot ID,1332,,Sampler(s),"MF, MK, RF, BM",,,,,Date ,20201116,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
D1,SA,5683,,,UMBCAL,0,1,,,,15.5,0.15,2,,,,,,
D1,SA,5682,,,UMBCAL,0,1,,,,23.5,0.32,1,,,,,,
C1,TR,2612,,,AESCAL,1,1,0,,,,,,,182.3,4,,,HEIGHT TO TIP OF TALLER RESPROUT
C1,TR,2612.1,,,AESCAL,1,1,0,,99,,,,,168.9,3,,,
C1,TR,2612.2,,,AESCAL,1,1,0,,99,,,,,216.4,9,,,
C1,TR,2612.3,,,AESCAL,,,,,,,,,,,,,,TAG NOT FOUND
C1,TR,2612.4,,,AESCAL,1,1,0,,99,,,,,155.6,6,,,
D1,TR,2629,,,QUEGAR,1,0,0,0,99,,,,,,,,,
D2,TR,2622,,,AESCAL,1,1,0,,99,,,,,149,2,,,
D2,TR,2622.1,,,AESCAL,1,1,0,,99,,,,,73.1,2,,,
D2,TR,2622.2,,,AESCAL,0,1,,,,,1.28,,,96.3,4,,,
B1,SA,2608,,,UMBCAL,1,,,,,79.1,1.05,1,,,,,,
D2,TR,2630,,,QUEGAR,1,0,0,1,99,,,,,,,,,
D2,TR,2623,,,QUEGAR,1,0,0,1,99,,,,,,,,,
C2,TR,2628,,,AESCAL,1,1,0,,99,,,,,59.8,2,,,
D4,TR,2624,260,420,UMBCAL,1,1,0,1,3,,,,,85,2,,,NEW XY IS CORRECT
C1,TR,2613,,,QUEGAR,1,1,0,1,99,,,,,,0,,,
C1,TR,2616,,,QUEGAR,1,0,0,1,99,,,,,,,,,
C1,SA,5684,,,UMBCAL,0,1,,,,20.7,,1,,,,,1,
D4,TR,2626,,,QUEGAR,1,1,1,1,99,,,,,,,,,
D4,TR,2627,,,QUEGAR,0,1,,,,,0.52,,,58.9,1,,,
D4,TR,2611,,,UMBCAL,0,1,0,0,0,,0.4,,,,0,,,
D4,TR,2611.1,,,UMBCAL,0,1,0,0,0,,0.86,,,119.3,2,,,
D4,TR,2625,,,UMBCAL,1,1,1,1,4,,,,,129.1,2,,1,
B1,TR,2607,,,QUEGAR,1,0,0,1,99,,,,,,,,,
B1,TR,2606,,,UMBCAL,1,1,0,1,4,,,,,81.9,15,,,
C4,TR,2619,,,UMBCAL,1,1,1,1,4,,,,,88.5,3,,,
C4,TR,2618,,,UMBCAL,1,1,1,1,2,,,,,107,19,,,
C4,TR,2617,,,UMBCAL,1,1,1,1,4,,,,,193.1,5,,,
A2,TR,2595,,,UMBCAL,1,1,1,1,4,,,,,164.8,8,,,
C4,TR,2621,,,UMBCAL,1,1,1,1,4,,,,,,0,,,
C4,SA,2610,,,UMBCAL,0,0,,,,,,,,,,,,NOT FOUND IN 19 OR 20
C4,SA,2609,,,UMBCAL,0,1,,,,35.4,0.53,2,,,,,,
A2,TR,2585,,,UMBCAL,1,1,1,1,4,,,,,,,,,
A2,TR,2594,,,QUEGAR,1,0,0,0,99,,,,,96.3,,,,
A2,TR,2567,,,UMBCAL,1,1,1,1,,,,,,,4,,,
A3,TR,2596,,,QUEGAR,1,0,0,1,99,,,,,129.5,14,,,
A3,TR,2597,,,QUEGAR,1,0,0,1,99,,,,,,,,,
A4,TR,2598,,,QUEGAR,1,0,,,,,,,,,,,,
C3,TR,2620,,,UMBCAL,1,0,1,1,4,,,,,,,,,
C2,TR,2614,,,QUEGAR,1,0,0,1,99,,,,,,,,,CHANGE FROM B2 IN 2019
C2,TR,2615,,,QUEGAR,1,0,0,1,99,,,,,,,,,
B3,TR,2604,,,UMBCAL,1,1,1,1,99,,,,,176.2,11,,,
B3,TR,2602,,,UMBCAL,0,1,0,0,0,,0.9,,,105,6,,,
B3,SA,2603,,,AESCAL,0,1,,,,9.5,0.33,0,,,,,,BD @ 5CM
B3,TR,2601,,,QUEGAR,1,1,0,1,99,,,,,,0,,,
B3,TR,2600,,,UMBCAL,1,1,1,1,5,,,,,107,5,,,
B3,TR,2600.1,,,UMBCAL,1,1,1,1,4,,,,,68.1,2,,,
B3,TR,2599,,,QUEGAR,1,0,0,1,99,,,,,,,,,
B2,TR,2605,,,QUEGAR,1,0,0,1,99,,,,,,,,,
