Plot ID,1318,,Sampler(s),CM RF MF,,,,,Date ,20201203,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
A1,TR,4430,,,QUEGAR,1,1,1,1,99,,,,,,0,,,
A1,TR,4430.1,,,QUEGAR,1,0,1,1,99,,,,,,,,,
A1,TR,4430.2,,,QUEGAR,1,0,1,1,99,,,,,,,,,
A1,TR,4430.3,,,QUEGAR,1,0,1,1,99,,,,,,,,,
D1,TR,4504,,,QUEGAR,1,1,1,1,99,,,,,66.9,3,,,REPLACED TAG
D1,SA,4505,,,QUEAGRI,0,1,,,,42.9,0.34,9,,,,,,
D1,SA,5618,,,QUEGAR,0,1,,,,18.5,0.18,8,,,,,,
B2,TR,4503,,,QUEGAR,1,0,1,1,99,,,,,,,,,
B3,TR,4502,,,QUEGAR,1,1,1,1,99,,,,,,0,,,
A4,TR,4501,,,QUEAGRI,0,0,0,0,0,,,,,,,,,
A4,TR,4501.1,,,QUEAGRI,0,0,0,0,0,,,,,,,,,FELL OFF TREE
D4,TR,4506,,,QUEKEL,0,0,0,0,0,,,,,,,,,
D4,TR,4506.1,,,QUEKEL,0,0,0,0,0,,,,,,,,,
D4,TR,4506.2,,,QUEKEL,0,0,0,0,0,,,,,,,,,
D4,TR,4507,,,QUEAGRI,1,1,1,1,3,,,,,,0,,,
