Plot ID,1348,,Sampler(s),MK MF MO CM,,,,,Date ,20210112,,,,,,,,,
Notes,,"MANY SAs LISTED IN C4 ARE ACTUALLY IN C3--FIX IN DB; IS 6486 REALLY 6886?(no, 6486 is in a differnet plot, leftover typo from 2019 data entry-mkqc2022)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
A1,TR,3063,,,QUEKEL,0,1,0,0,0,,0.77,,,78,2,,,
A1,TR,3103,,,PSEMEN,0,0,0,0,0,,,,,,,,,
A1,TR,3102,,,HETARB,0,1,0,0,0,,1.25,,,161.6,46,,,
A1,TR,3102.3,,,HETARB,0,0,0,0,0,,,,,,,1,,
A1,TR,3102.1,,,HETARB,0,0,0,0,0,,,,,,,1,,
B1,TR,3152,,,HETARB,0,1,0,0,0,,1.49,,,160.5,39,,,
B1,TR,3154,,,QUEGAR,1,1,1,1,99,,,,,,0,,,
B1,TR,3155,,,QUEGAR,1,1,1,1,99,,,,,,0,,,
B1,TR,3156,,,QUEGAR,1,1,1,1,99,,,,,,0,,,
B1,SA,6003,,,AMOCAL,0,1,,,,67.4,0.67,7,,,,,,
B1,SA,3149,,,AMOCAL,0,1,,,,82.7,0.62,13,,,,,,
B1,SA,3092,,,HETARB,0,1,,,,135.4,0.91,12,,,,,,
A2,TR,3064,,,QUEGAR,1,0,1,1,99,,,,,,,,,
A2,TR,3105,,,PSEMEN,1,0,0,1,2,,,,,,,,,
A2,SA,3106,,,AMOCAL,0,1,,,,116.9,0.68,10,,,,,,
A2,SA,3070,,,AMOCAL,0,1,,,,96.4,0.53,23,,,,,,
A2,SA,6165,,,AMOCAL,0,1,,,,81.2,0.44,6,,,,,,
A2,SA,6164,,,AMOCAL,0,1,,,,70.2,0.6,9,,,,,,
A2,SA,3065,,,QUEAGRI,0,1,,,,40.1,0.43,1,,,,,,
A2,TR,3153,,,AMOCAL,0,1,0,0,0,,0.55,,,122.8,9,,,
A2,TS,3153.1,,,AMOCAL,0,0,,,,,,,,,,1,,
A2,TR,3066,,,QUEGAR,1,1,0,1,99,,,,,,0,,,
A2,SA,6166,,,AMOCAL,0,1,,,,120.5,0.7,1,,,,,,
A2,SA,6178,,,AMOCAL,0,0,,,,,,,,,,,,NOT FOUND
A2,SA,6976,203,155,AMOCAL,0,1,,,,140.4,1.14,20,,,,,,NEW SA
B2,TR,3090,,,QUEGAR,1,0,1,1,99,,,,,,,,,
