Plot ID,1335,,Sampler(s),"MK, RF, CM",,,,,Date ,20201202,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
A1,TR,2544,,,QUEGAR,0,0,,,,,,,,,,,,
A1,SA,5723,,,UMBCAL,0,1,,,,29,0.42,2,,,,,,
A1,SA,5722,,,UMBCAL,0,0,,,,,,,,,,,,NOT FOUND
A2,SA,5727,,,UMBCAL,0,1,,,,28,0.21,2,,,,,,
A2,SA,5724,,,UMBCAL,0,1,,,,26.1,0.23,2,,,,,,
A1,SA,6434,,,UMBCAL,0,1,,,,36.5,0.36,0,,,,,,
A1,SA,5726,,,UMBCAL,0,1,,,,37.5,0.32,3,,,,,,
A1,SA,5725,,,UMBCAL,0,1,,,,27.6,0.22,1,,,,,,
A1,SA,6433,,,UMBCAL,0,1,,,,20.3,0.16,6,,,,,,
A3,SA,5739,,,UMBCAL,0,1,,,,37.9,0.29,1,,,,,,
A3,SA,5596,,,UMBCAL,0,1,,,,27.4,0.22,2,,,,,,
A3,TR,2545,,,QUEGAR,1,1,0,1,99,,,,,,0,,,
A3,SA,5740,,,UMBCAL,0,0,,,,,,,,,,,,NOT FOUND
A4,SA,5742,,,UMBCAL,0,1,,,,18.8,0.16,0,,,,,,
A4,SA,5741,,,UMBCAL,0,1,,,,22.1,0.19,0,,,,,,
B1,SA,5736,,,UMBCAL,0,1,,,,29.2,0.25,2,,,,,,
B1,TR,2571,,,QUEGAR,1,1,0,1,99,,,,,,0,,,
B1,SA,2570,,,UMBCAL,0,1,,,,61.6,0.63,5,,,,,1,
B2,TR,2569,,,QUEGAR,1,1,0,1,99,,,,,,0,,,
B2,SA,5733,,,UMBCAL,0,1,,,,29.1,0.22,2,,,,,,
B1,SA,5738,,,UMBCAL,0,1,,,,66.2,0.55,3,,,,,1,
B2,SA,6432,,,UMBCAL,0,1,,,,25.4,0.23,2,,,,,,
C2,SA,2573,,,UMBCAL,0,1,,,,46.1,0.32,0,,,,,,
B1,SA,5773,,,UMBCAL,0,1,,,,61.5,0.52,1,,,,,,
B1,SA,6411,,,UMBCAL,0,1,,,,21.1,0.19,0,,,,,,BD @ 5CM 
B1,SA,6412,,,UMBCAL,0,1,,,,11.4,0.13,1,,,,,,
B2,SA,5737,375,5,UMBCAL,0,0,,,,24.5,0.15,0,,,,,,BF
B2,SA,5734,125,55,UMBCAL,0,0,,,,,,,,,,,,BF
B2,SA,5732,,,UMBCAL,0,1,,,,35.6,0.25,1,,,,,,
B1,SA,5761,,,UMBCAL,0,0,,,,,,,,,,,,BF
B3,SA,5730,,,UMBCAL,0,1,,,,28.8,0.32,2,,,,,,
B3,TR,2566,,,QUEGAR,1,1,0,1,99,,,,,,0,,,
B3,SA,5728,28,310,UMBCAL,0,1,,,,44.3,0.35,3,,,,,,
B3,SA,5729,,,UMBCAL,0,1,,,,37.2,0.3,2,,,,,,
B3,TR,2568,,,QUEGAR,1,0,0,1,99,,,,,,,,,"FULLY SCENESED, POSSIBLY DEAD"
B3,SA,5731,,,UMBCAL,0,1,,,,23.5,0.2,2,,,,,,
B4,SA,6435,,,UMBCAL,0,1,,,,29.6,0.28,1,,,,,,
B4,SA,5743,,,UMBCAL,0,1,,,,18,0.11,1,,,,,,
B4,SA,5744,,,UMBCAL,0,1,,,,28.9,0.26,2,,,,,,
C1,SA,5774,,,UMBCAL,0,1,,,,24.4,0.24,2,,,,,,
C1,SA,5775,,,UMBCAL,0,1,,,,29.9,0.27,0,,,,,,
C1,SA,5779,,,UMBCAL,0,1,,,,40.2,0.32,0,,,,,,
C1,SA,6431,,,UMBCAL,0,1,,,,58,0.49,2,,,,,,
C1,SA,2574,,,UMBCAL,0,1,,,,89,0.65,0,,,,,,
C1,SA,6430,,,UMBCAL,0,1,,,,32.5,0.25,2,,,,,,
C1,SA,5777,,,UMBCAL,0,1,,,,19.9,0.16,1,,,,,,
C1,SA,5776,,,UMBCAL,0,1,,,,22,0.21,0,,,,,,
C1,SA,5778,,,UMBCAL,0,1,,,,38.1,0.35,0,,,,,,
C1,TR,2578,,,QUEGAR,1,0,1,1,99,,,,,,,,,
C1,TR,2577,,,QUEGAR,1,0,1,1,99,,,,,,,,,
C1,SA,2579,,,UMBCAL,0,1,,,,56.5,0.48,1,,,,,,
C1,SA,5764,215,495,UMBCAL,0,1,,,,0.7,,1,,,,,,NO BD TOO SMALL
C1,SA,2575,,,UMBCAL,0,0,,,,,,,,,,,,NOT FOUND IN 19 OR 20- was typo 2525 in both years- changed to 2575 mkqc2022- real 2525 is in 1339
C1,SA,2572,,,UMBCAL,0,0,,,,,,,,,,,,NOT FOUND IN 19 OR 21
C2,SA,5759,,,UMBCAL,0,1,,,,44.7,0.59,0,,,,,,
C2,SA,5760,,,UMBCAL,0,1,,,,29.5,0.3,0,,,,,,
C2,SA,5757,,,UMBCAL,0,1,,,,61,0.53,0,,,,,,
C3,SA,5752,,,UMBCAL,0,1,,,,28,0.22,0,,,,,,
C3,SA,5751,,,UMBCAL,0,0,,,,,,,,,,,,BF
C2,SA,5758,,,UMBCAL,0,1,,,,60,0.51,1,,,,,,
C2,SA,5763,,,UMBCAL,0,1,,,,36.9,0.31,0,,,,,,
C4,TR,2582,,,QUEGAR,1,0,0,1,99,,,,,,,,,
C4,TR,2583,,,QUEGAR,1,1,1,1,99,,,,,,0,,,
C4,SA,5745,,,UMBCAL,0,0,,,,,,,,,,,,BF- was typo 2745- mkqc2022
D4,TR,2584,,,QUEGAR,1,0,1,1,99,,,,,,,,,
D4,SA,5746,,,UMBCAL,1,0,,,,64.7,0.8,0,,,,,1,
D4,SA,5747,,,UMBCAL,0,1,,,,62.5,0.53,0,,,,,,
D4,SA,5748,,,UMBCAL,0,0,,,,,,,,,,,,NOT FOUND
D3,SA,2586,,,UMBCAL,0,1,,,,76,0.61,1,,,,,,
D3,TR,2587,,,QUEGAR,1,0,1,1,99,,,,,,,,,
D3,SA,2593,,,UMBCAL,0,1,,,,39.8,0.33,2,,,,,,
D3,SA,5750,,,UMBCAL,0,1,,,,49.1,0.46,0,,,,,1,
