Plot ID,PPW1327,,,,Sampler(s),"GA, REB, PDP, VAF",,,Date ,20150405
Notes,,,,,,,,,,
,,,,,,,,,,
Quad,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A1,PSEMEN,9,,0,,,,,,
A1,ARBMEN,4,,0,,,,,,
A2,PSEMEN,14,,0,,,,,,
A2,ARBMEN,6,,0,,,,,,
A2,QUEAGR,0,,1,,,,,,
A2,QUEBER,1,,4,,,,,,
A4,PSEMEN,3,,0,,,,,,
A4,ARBMEN,4,,0,,,,,,
A4,UMBCAL,0,,1,,,,,,
A4,QUEBER,0,,1,,,,,,
B2,PSEMEN,1,,0,,,,,,
B2,QUEGAR,0,,1,,,,,,
B2,QUEBER,0,,7,,,,,,
B2,HETARB,0,,3,,,,,,
A3,UMBCAL,0,,4,,,,,,
A3,QUEBER,0,,5,,,,,,
A3,QUEAGR,0,,1,,,,,,
A3,ARBMEN,3,,0,,,,,,
A3,PSEMEN,2,,0,,,,,,
B1,QUEAGR,1,,2,,,,,,
B1,ARBMEN,4,,0,,,,,,
B1,QUEBER,0,,3,,,,,,
B1,UMBCAL,0,,2,,,,,,
B1,PSEMEN,3,,0,,,,,,
B1,QUEGAR,0,,1,,,,,,
B3,ARBMEN,3,,0,,,,,,
B3,PSEMEN,2,,0,,,,,,
B3,QUEAGR,1,,0,,,,,,
B3,QUEBER,2,,0,,,,,,
C1,PSEMEN,6,,0,,,,,,
C1,ARBMEN,1,,0,,,,,,
C1,HETARB,1,,2,,,,,,
C1,QUEAGR,0,,4,,,,,,
D1,PSEMEN,2,,3,,,,,,
D1,QUEGAR,0,,1,,,,,,
D1,QUEAGR,0,,2,,,,,,
D1,QUEBER,2,,3,,,,,,
D1,ARBMEN,0,,1,,,,,,
B4,QUEBER,0,,3,,,,,,
C4,ARBMEN,2,,0,,,,,,
C4,QUEAGR,0,,1,,,,,,
C4,QUEBER,0,,1,,,,,,
C2,QUEBER,0,,3,,,,,,
C2,HETARB,0,,5,,,,,,
C2,ARBMEN,1,,0,,,,,,
C2,CERBET,0,,1,,,,,,
C3,ARBMEN,1,,0,,,,,,
C3,PSEMEN,1,,0,,,,,,
C3,HETARB,0,,1,,,,,,
D3,ARBMEN,1,,0,,,,,,
D3,HETARB,1,,1,,,,,,
D3,UMBCAL,0,,3,,,,,,
D3,QUEBER,1,,1,,,,,,
D3,PSEMEN,2,,0,,,,,,
D4,ARBMEN,8,,0,,,,,,
D4,PSEMEN,0,,1,,,,,,
D4,QUEBER,0,,1,,,,,,
D4,QUEAGR,1,,1,,,,,,
D2,ARBMEN,1,,0,,,,,,
D2,PSEMEN,3,,0,,,,,,
