Plot ID,PPW1347,,,,Sampler(s),"MFO, PDP",,,Date ,20150520
Notes,,,,,,,,,,
,,,,,,,,,,
Quad,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
D1,FRACAL,0,,1,,,,,,
D1,QUEGAR,0,,1,,,,,,
D1,UMBCAL,0,,1,,,,,,
D2,UMBCAL,0,,1,,,,,,
D3,UMBCAL,0,,1,,,,,,
A1,QUEAGR,0,,2,,,,,,
C4,QUEAGR,0,,1,,,,,,
C4,UMBCAL,0,,2,,,,,,
A1,QUEGAR,0,,2,,,,,,
C3,QUEGAR,0,,1,,,,,,
C2,UMBCAL,0,,2,,,,,,
A2,PRUNUS,0,,1,,,,,,
C1,UMBCAL,0,,3,,,,,,
C1,QUEAGR,0,,1,,,,,,
B1,AMOCAL,0,,1,,,,,,
A3,UMBCAL,0,,1,,,,,,
B1,PSEMEN,1,,0,,,,,,
B1,FRACAL,0,,2,,,,,,
A3,AMOCAL,0,,3,,,,,,
B1,UMBCAL,0,,4,,,,,,
B1,QUEKEL,0,,1,,,,,,
B2,QUEAGR,0,,1,,,,,,
B2,UMBCAL,0,,1,,,,,,
B3,UMBCAL,0,,3,,,,,,
B3,QUEAGR,0,,1,,,,,,
B3,AMOCAL,0,,1,,,,,,
A4,QUEAGR,0,,1,,,,,,
A4,UMBCAL,0,,3,,,,,,
B4,UMBCAL,0,,4,,,,,,
B4,QUEAGR,0,,2,,,,,,
